time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/entropy_loss,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/std,rollout/ep_len_mean,train/explained_variance,train/clip_range_vf,train/n_updates,train/loss,train/approx_kl,train/learning_rate
2171,23986176,11043,183,1.9354297471232713,29.777933329343796,53.829463958740234,0.1,0.11753311157226562,-0.002130120646006617,0.07360883057117462,982.02,0.1886887550354004,0.2,1820,1.9320054054260254,0.0024155588,1e-05
2171,24117248,11105,184,0.4454317465191707,29.72335810661316,54.8048095703125,0.1,0.12597427368164063,-0.0021993070953158166,0.07376687228679657,1000.0,0.3794320225715637,0.2,1830,0.7287430763244629,0.0024552646,1e-05
2171,24248320,11164,185,1.7059059789404274,29.666524283587933,54.463436126708984,0.1,0.11387405395507813,-0.002227239765079503,0.073942631483078,1000.0,0.38141292333602905,0.2,1840,1.6461728811264038,0.002238817,1e-05
2171,24379392,11225,186,0.35897291466826575,29.61184564679861,54.24954605102539,0.1,0.12267227172851562,-0.0023396046188736363,0.07409283518791199,1000.0,0.41091644763946533,0.2,1850,0.5687040090560913,0.0024089336,1e-05
2172,24510464,11284,187,1.7364292697981,29.56164227873087,54.179405212402344,0.1,0.10325164794921875,-0.0020142612226663912,0.07424251735210419,1000.0,0.34365832805633545,0.2,1860,1.7624080181121826,0.0020743993,1e-05
2171,24641536,11345,188,0.33258127046283337,29.505778834223747,54.75862121582031,0.1,0.11802902221679687,-0.0023047739444336914,0.07441934198141098,1000.0,0.39478325843811035,0.2,1870,0.599381685256958,0.002369952,1e-05
2172,24772608,11403,189,2.063058690633625,29.450703552365304,54.593135833740234,0.1,0.11420822143554688,-0.0017821550497501449,0.07457128167152405,1000.0,0.17498350143432617,0.2,1880,2.208923816680908,0.0023284918,1e-05
2172,24903680,11465,190,0.31550846206373534,29.394813226163386,54.70949172973633,0.1,0.13031387329101562,-0.002410832677333019,0.07475282996892929,1000.0,0.32508665323257446,0.2,1890,0.500721275806427,0.0024706293,1e-05
2172,25034752,11523,191,1.8222750328481196,29.337122060358524,54.967464447021484,0.1,0.09993896484375,-0.00238740162421891,0.07491884380578995,1000.0,0.28826284408569336,0.2,1900,2.3733179569244385,0.0021188483,1e-05
2172,25165824,11584,192,0.26477817425038663,29.28241257965565,54.937538146972656,0.1,0.12297821044921875,-0.002372377528490688,0.07508344948291779,1000.0,0.39127659797668457,0.2,1910,0.5245996713638306,0.0023364648,1e-05
2172,25296896,11643,193,2.0698004187084735,29.228930059075356,54.8066291809082,0.1,0.10840682983398438,-0.002095529893767889,0.07523632049560547,1000.0,0.21501362323760986,0.2,1920,2.335798501968384,0.0021933513,1e-05
2172,25427968,11704,194,0.28922667692531834,29.174244478344917,54.529930114746094,0.1,0.11870803833007812,-0.0022962364427257854,0.07541128247976303,1000.0,0.2953798770904541,0.2,1930,0.5985963344573975,0.002321748,1e-05
2172,25559040,11762,195,1.9992782433517278,29.116692507266997,54.211036682128906,0.1,0.10399322509765625,-0.002083754604245769,0.07558390498161316,1000.0,0.2642337679862976,0.2,1940,2.495788335800171,0.0022180737,1e-05
2172,25690112,11823,196,0.2506581888126675,29.062180878221987,54.52592468261719,0.1,0.12180099487304688,-0.0023674262712120252,0.07574227452278137,1000.0,0.31751227378845215,0.2,1950,0.5496665835380554,0.0023913109,1e-05
2173,25821184,11882,197,2.1044484506361187,29.00556359142065,54.429866790771484,0.1,0.11222152709960938,-0.0019097857938504604,0.07592423260211945,1000.0,0.2127487063407898,0.2,1960,2.3605051040649414,0.0022602153,1e-05
2172,25952256,11943,198,0.22820471284212546,28.95264575481415,54.975677490234375,0.1,0.1140411376953125,-0.002132966022372784,0.07606799900531769,1000.0,0.31830906867980957,0.2,1970,0.5423475503921509,0.0022644526,1e-05
2173,26083328,12002,199,2.0845162382349374,28.899847176671027,54.80491638183594,0.1,0.1092987060546875,-0.0020386157532811923,0.07624421268701553,1000.0,0.2054244875907898,0.2,1980,2.4653828144073486,0.0022125242,1e-05
2173,26214400,12063,200,0.22845495080109685,28.848464925587177,54.072265625,0.1,0.11806411743164062,-0.0022632061173680994,0.07638247311115265,983.75,0.33436334133148193,0.2,1990,0.4958744943141937,0.0023096153,1e-05
2173,26345472,12122,201,2.0553711355663835,28.79887220710516,54.12177276611328,0.1,0.10876922607421875,-0.0020636397458474675,0.07654574513435364,983.75,0.2500067353248596,0.2,2000,2.830202341079712,0.002250776,1e-05
2173,26476544,12183,202,0.21656287199584767,28.74749314337969,54.655086517333984,0.1,0.1205718994140625,-0.0024119907136082473,0.07669972628355026,1000.0,0.3832898736000061,0.2,2010,0.6396744251251221,0.0024011922,1e-05
2173,26607616,12242,203,1.9212413566187023,28.693164674937726,54.592960357666016,0.1,0.09664077758789062,-0.0023155324488470796,0.07687842100858688,1000.0,0.3311769366264343,0.2,2020,2.2164735794067383,0.0020717462,1e-05
2173,26738688,12303,204,0.23043397830915638,28.64149975627661,55.394039154052734,0.1,0.1079315185546875,-0.0022287359619440395,0.07701875269412994,1000.0,0.4328910708427429,0.2,2030,0.567467451095581,0.002134969,1e-05
2173,26869760,12362,205,1.9230993715114892,28.590429636836053,55.306800842285156,0.1,0.10481338500976563,-0.0022094035888585496,0.07719048857688904,1000.0,0.33048439025878906,0.2,2040,1.7474277019500732,0.0021674894,1e-05
2173,27000832,12423,206,0.2453167882282287,28.53736704289913,55.151702880859375,0.1,0.11133041381835937,-0.00240767092900569,0.07734356075525284,1000.0,0.3610045313835144,0.2,2050,0.5193849802017212,0.002241971,1e-05
2173,27131904,12483,207,1.8626068763434886,28.487148858606815,55.09181213378906,0.1,0.10474014282226562,-0.0020632381059840555,0.0775066539645195,1000.0,0.34590470790863037,0.2,2060,2.1338229179382324,0.0021975804,1e-05
2173,27262976,12543,208,0.23690818846807815,28.434616188704968,54.883766174316406,0.1,0.11077728271484374,-0.0023688040233082576,0.07766557484865189,1000.0,0.3578457236289978,0.2,2070,0.4954817295074463,0.0022370564,1e-05
2173,27394048,12604,209,1.801883201301098,28.380013237893582,54.693660736083984,0.1,0.10839996337890626,-0.002009118468959059,0.07785004377365112,1000.0,0.2585216760635376,0.2,2080,2.0223610401153564,0.00227647,1e-05
2173,27525120,12663,210,1.0194145211251453,28.31907725930214,55.287418365478516,0.1,0.1209381103515625,-0.0022059981371967295,0.07804223895072937,1000.0,0.21957242488861084,0.2,2090,1.2012416124343872,0.0024092314,1e-05
2173,27656192,12723,211,1.115099682006985,28.26180967092514,55.153507232666016,0.1,0.12631301879882811,-0.0025397355850145685,0.07821223139762878,1000.0,0.37320226430892944,0.2,2100,1.423972487449646,0.0024869381,1e-05
2173,27787264,12783,212,1.1654710012022407,28.200779542326927,55.42396545410156,0.1,0.13189773559570311,-0.0021174012112169295,0.0784154161810875,1000.0,0.07301539182662964,0.2,2110,1.5685269832611084,0.002604575,1e-05
2173,27918336,12843,213,1.189064825279638,28.143367746472357,55.735923767089844,0.1,0.12851104736328126,-0.0022570386955521825,0.07858311384916306,1000.0,0.225774347782135,0.2,2120,1.7722594738006592,0.0024462033,1e-05
2173,28049408,12903,214,1.1371535521466285,28.090699453651904,55.489559173583984,0.1,0.13381500244140626,-0.002025511255033052,0.07874429225921631,1000.0,0.14817816019058228,0.2,2130,1.278441071510315,0.0025659376,1e-05
2173,28180480,12963,215,1.1271459533367305,28.03899452239275,55.24913024902344,0.1,0.13724899291992188,-0.002255158080970432,0.0789114385843277,1000.0,0.19497406482696533,0.2,2140,1.4594426155090332,0.002694155,1e-05
2173,28311552,13023,216,1.3002110217232257,27.982827532291413,55.500370025634766,0.1,0.12504196166992188,-0.002016303880691339,0.0790962502360344,1000.0,0.1173408031463623,0.2,2150,1.5519837141036987,0.0024703986,1e-05
2173,28442624,13083,217,0.8267471618251875,27.924784211814405,55.40394973754883,0.1,0.14029922485351562,-0.002274555692474678,0.0792793333530426,1000.0,0.2526834011077881,0.2,2160,1.2325830459594727,0.002703314,1e-05
2174,28573696,13143,218,1.5423800020478666,27.866401921212674,55.049339294433594,0.1,0.12264022827148438,-0.002010183146740019,0.0794633999466896,1000.0,0.24106508493423462,0.2,2170,1.7377607822418213,0.0024399369,1e-05
2173,28704768,13204,219,0.7095688384957611,27.80773400515318,54.818878173828125,0.1,0.13619461059570312,-0.0021701479031435156,0.07965565472841263,1000.0,0.2902032136917114,0.2,2180,1.0916999578475952,0.0026350012,1e-05
2174,28835840,13263,220,1.6139662091154605,27.75214882940054,54.992088317871094,0.1,0.1072662353515625,-0.001630090549679153,0.07981684803962708,1000.0,0.17141330242156982,0.2,2190,1.8850359916687012,0.002212285,1e-05
2174,28966912,13323,221,0.6274942036485299,27.699799977242947,55.00770950317383,0.1,0.14291305541992189,-0.0023761473045851743,0.07999289780855179,1000.0,0.22830194234848022,0.2,2200,0.6584904193878174,0.0027430006,1e-05
2174,29097984,13383,222,1.6027860591653735,27.645103625953197,54.804134368896484,0.1,0.11119308471679687,-0.0023038046002056946,0.08016577363014221,1000.0,0.2295956015586853,0.2,2210,1.8897655010223389,0.0022820663,1e-05
2174,29229056,13444,223,0.5341393931186758,27.586035206913948,54.80454635620117,0.1,0.14313888549804688,-0.0024298313451254216,0.08036521822214127,1000.0,0.34133708477020264,0.2,2220,1.0116225481033325,0.0026653104,1e-05
2174,29360128,13503,224,1.661036387924105,27.52897941619158,54.472782135009766,0.1,0.1070556640625,-0.002057237734879891,0.08053581416606903,1000.0,0.3332100510597229,0.2,2230,1.9642274379730225,0.002201176,1e-05
2174,29491200,13564,225,0.43079983617644757,27.474111948907375,54.91292953491211,0.1,0.13476409912109374,-0.002437627601193526,0.08072133362293243,1000.0,0.36385512351989746,0.2,2240,0.7628751993179321,0.002515675,1e-05
2174,29622272,13622,226,1.834902833495289,27.417382438480853,54.840126037597656,0.1,0.11362457275390625,-0.0020386930859103815,0.08090125769376755,991.58,0.2671244740486145,0.2,2250,1.9351019859313965,0.0022650147,1e-05
2174,29753344,13683,227,0.3832158291654196,27.360339970886706,56.36677551269531,0.1,0.13699111938476563,-0.0022886587800257986,0.08109123259782791,1000.0,0.35779011249542236,0.2,2260,0.5987461805343628,0.0026140725,1e-05
2174,29884416,13743,228,2.037940435297787,27.302434839308262,55.856040954589844,0.1,0.11940994262695312,-0.0019565850159779076,0.08127399533987045,1000.0,0.1927688717842102,0.2,2270,2.271812915802002,0.0023436188,1e-05
