rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/clip_range_vf,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/policy_gradient_loss
6.459891319274902,12,9161,165.22,1572864,171,110,0.2,35.94634910225868,0.6803599156904966,0.054297491908073425,1e-05,2.4501914978027344,0.13297805786132813,0.1,0.0031069228,0.5295908451080322,-0.001369795673781482
6.198917865753174,13,9132,159.26,1703936,186,120,0.2,35.75599743425846,0.6705033783335239,0.05473490059375763,1e-05,2.414391040802002,0.13235931396484374,0.1,0.0030921516,0.5697386860847473,-0.0014597439989302075
6.630941867828369,14,9102,167.91,1835008,201,130,0.2,35.566503369808196,0.660772165749222,0.055163055658340454,1e-05,2.4193975925445557,0.13350601196289064,0.1,0.0031098507,0.6027008891105652,-0.0016083431732113241
6.241173267364502,15,9101,157.35,1966080,216,140,0.2,35.37880772054196,0.6179540910758078,0.05559819936752319,1e-05,2.4213242530822754,0.128759765625,0.1,0.0030689717,0.6422960162162781,-0.0015618467817148484
6.129480361938477,16,9082,156.48,2097152,230,150,0.2,35.18942086994648,0.6062956548761577,0.056039534509181976,1e-05,2.323124408721924,0.13115768432617186,0.1,0.0030693344,0.6607314348220825,-0.0016082357145933202
6.354673385620117,17,9056,160.73,2228224,246,160,0.2,35.000232794880866,0.6120519717223942,0.056482523679733276,1e-05,2.3594729900360107,0.13102493286132813,0.1,0.0030642885,0.6740008592605591,-0.0016812983641102618
6.50499153137207,18,9044,164.12,2359296,260,170,0.2,34.810134223103525,0.5861905060475692,0.05693453550338745,1e-05,2.370584487915039,0.12615814208984374,0.1,0.0030101151,0.6890445351600647,-0.0015724279942332942
6.297464370727539,19,9054,161.31,2490368,275,180,0.2,34.61871338188648,0.5929809584282338,0.05739172548055649,1e-05,2.2976624965667725,0.1260040283203125,0.1,0.0030647437,0.6996769309043884,-0.0017844062361291435
6.210470199584961,20,9031,159.93,2621440,290,190,0.2,34.42715948820114,0.5838150820927694,0.057850152254104614,1e-05,2.2637228965759277,0.126458740234375,0.1,0.0030462728,0.7142962217330933,-0.0015993690765753854
6.678861618041992,21,9029,172.21,2752512,304,200,0.2,34.23441508412361,0.5562327459920198,0.058320850133895874,1e-05,2.280046224594116,0.1274627685546875,0.1,0.0030943986,0.7272871732711792,-0.001916383474963368
6.5316057205200195,22,9025,166.43,2883584,319,210,0.2,34.041086772084235,0.5830018426524475,0.05879117175936699,1e-05,2.295762538909912,0.12282257080078125,0.1,0.002964485,0.7086911797523499,-0.00154120609158781
6.4813103675842285,23,9014,162.61,3014656,334,220,0.2,33.850835838913916,0.5580300896428525,0.05925215408205986,1e-05,2.2164454460144043,0.12112503051757813,0.1,0.0029312638,0.7250915765762329,-0.0015461647208212526
6.056254863739014,24,9026,155.73,3145728,348,230,0.2,33.66175338327885,0.555597943556495,0.0597248300909996,1e-05,2.1933932304382324,0.12044448852539062,0.1,0.0029133684,0.7263743281364441,-0.0015304786829801742
6.634807586669922,25,9027,165.53,3276800,362,240,0.2,33.47032354474068,0.5508165698964149,0.06020372733473778,1e-05,2.236663579940796,0.12343292236328125,0.1,0.0029950554,0.7276002168655396,-0.0018173990866671374
6.629523277282715,26,9028,173.52,3407872,377,250,0.2,33.27824123799801,0.5390586709836498,0.06068944185972214,1e-05,2.1869375705718994,0.12347640991210937,0.1,0.003002242,0.7282344102859497,-0.0018108466849298566
5.988828659057617,27,9024,150.6,3538944,392,260,0.2,33.08449148535728,0.5282402199460193,0.06118347495794296,1e-05,2.1600677967071533,0.1222625732421875,0.1,0.0030225255,0.7350689172744751,-0.0017869362662167986
6.202960968017578,28,9028,158.51,3670016,406,270,0.2,32.89027234315872,0.5134063754463568,0.06167852133512497,1e-05,2.157651662826538,0.11876678466796875,0.1,0.0029321508,0.7491835355758667,-0.0017855802633675922
