rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range_vf,train/clip_range,train/approx_kl,train/learning_rate
27.749313354492188,188,2097152,11144,16,640.96,0.13221893310546876,0.0562276653945446,35.11343204975128,-0.002162266152936354,0.4941658573690802,2.2631235122680664,0.7234766483306885,150,0.2,0.1,0.0032184473,1e-05
24.751020431518555,200,2228224,11122,17,581.73,0.13236923217773439,0.05668836086988449,34.916967272758484,-0.0022272317643910354,0.5055674350820482,2.2863447666168213,0.7434949278831482,160,0.2,0.1,0.0032781786,1e-05
27.011886596679688,212,2359296,11098,18,629.79,0.12980499267578124,0.057146888226270676,34.72333714663982,-0.0023282138987269717,0.4402358897728845,2.132128953933716,0.7891193628311157,170,0.2,0.1,0.0031919684,1e-05
27.058494567871094,224,2490368,11081,19,620.04,0.13341751098632812,0.057621609419584274,34.52646945416927,-0.0020495606107033383,0.4519881793530658,2.1748640537261963,0.7692163586616516,180,0.2,0.1,0.0032221195,1e-05
26.443222045898438,236,2621440,11079,20,613.11,0.13374710083007812,0.058095306158065796,34.329560005664824,-0.002225759699831542,0.49385995308402925,2.200853109359741,0.7659491896629333,190,0.2,0.1,0.0032915522,1e-05
25.866798400878906,248,2752512,11071,21,602.39,0.132354736328125,0.058573395013809204,34.132837837934495,-0.0023676605639593616,0.5364050063071772,2.220649003982544,0.7909038066864014,200,0.2,0.1,0.0032798846,1e-05
24.340072631835938,260,2883584,11049,22,563.16,0.12790145874023437,0.05905316397547722,33.93669940829277,-0.0021544889499637066,0.48586522820405664,2.169088840484619,0.8162316083908081,210,0.2,0.1,0.0031936616,1e-05
24.857824325561523,272,3014656,11048,23,580.23,0.131549072265625,0.05954444408416748,33.73915508687496,-0.0022435692600993205,0.586126899253577,2.3066153526306152,0.8147655129432678,220,0.2,0.1,0.0032138852,1e-05
25.235029220581055,285,3145728,11013,24,583.77,0.12577896118164061,0.060027629137039185,33.54297776520252,-0.002031567670746881,0.556434238050133,2.207097053527832,0.8255581855773926,230,0.2,0.1,0.0031133362,1e-05
26.965639114379883,297,3276800,11007,25,624.18,0.1273590087890625,0.06050839275121689,33.35058088004589,-0.0019229385745347827,0.5898339111125097,2.2457261085510254,0.819575309753418,240,0.2,0.1,0.0031161278,1e-05
