time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/clip_fraction,train/clip_range_vf,train/std,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance
1081344,66,6.658269882202148,166.57,228,4736,0.1,0.151568603515625,0.2,0.0538354367017746,1e-05,650,0.6199849016964436,-0.012296294633415528,2.3639602661132812,36.08453123569488,0.003398633,0.7049283981323242
1097728,67,6.59222412109375,164.92,231,4739,0.1,0.154541015625,0.2,0.05389680713415146,1e-05,660,0.6292591474950313,-0.012282934479299002,2.384392738342285,36.05573046207428,0.0036024787,0.6653652191162109
1114112,68,6.263381481170654,158.98,235,4740,0.1,0.151953125,0.2,0.053961001336574554,1e-05,670,0.6382915820926428,-0.012234166995040142,2.389594554901123,36.02789659500122,0.003431011,0.6635197997093201
1130496,69,6.154940128326416,157.71,238,4740,0.1,0.15780029296875,0.2,0.054022639989852905,1e-05,680,0.6757944013923407,-0.012745927073410712,2.488564968109131,35.999807024002074,0.0035729844,0.6470984220504761
1146880,70,6.378726959228516,157.59,241,4740,0.1,0.147686767578125,0.2,0.05408697575330734,1e-05,690,0.6371542535722255,-0.012036430487933103,2.497917413711548,35.97185134887695,0.0034133676,0.6849995851516724
1163264,71,6.330616474151611,162.67,245,4743,0.1,0.153607177734375,0.2,0.05415133759379387,1e-05,700,0.6027401804924011,-0.012200368996127508,2.381586790084839,35.94331681728363,0.0035832557,0.6756842136383057
1179648,72,6.5109405517578125,163.66,248,4747,0.1,0.143585205078125,0.2,0.05421613156795502,1e-05,710,0.6207243531942368,-0.011723336030263454,2.362484931945801,35.914748954772946,0.0033469934,0.6796835660934448
1196032,73,6.283502578735352,152.89,251,4747,0.1,0.149066162109375,0.2,0.05428464338183403,1e-05,720,0.6360999431461096,-0.012216707933112048,2.3669795989990234,35.88519597053528,0.0034898142,0.6689918041229248
1212416,74,6.538035869598389,163.78,255,4743,0.1,0.15247802734375,0.2,0.05435055121779442,1e-05,730,0.5954224403947592,-0.012140047969296575,2.3884682655334473,35.85541434288025,0.0034967791,0.7206056118011475
1228800,75,6.597439765930176,163.71,258,4745,0.1,0.138800048828125,0.2,0.054413434118032455,1e-05,740,0.6376868281513453,-0.011568077284027822,2.3760013580322266,35.8270427942276,0.0032668444,0.6613481044769287
1245184,76,6.794759750366211,171.77,262,4748,0.1,0.148358154296875,0.2,0.05447735637426376,1e-05,750,0.6443423695862294,-0.012135840450355317,2.4233508110046387,35.79910719394684,0.0033624398,0.6761507391929626
1261568,77,6.6351823806762695,163.64,265,4749,0.1,0.1578369140625,0.2,0.054546456784009933,1e-05,760,0.6306105013936758,-0.012498358226730488,2.3779635429382324,35.76989758014679,0.0034590792,0.6843833923339844
1277952,78,6.3445329666137695,159.94,269,4746,0.1,0.152227783203125,0.2,0.05461077019572258,1e-05,770,0.6252711292356252,-0.01212258042069152,2.4075727462768555,35.74032864570618,0.0034951414,0.6971981525421143
1294336,79,6.327353000640869,156.83,272,4752,0.1,0.15782470703125,0.2,0.054676130414009094,1e-05,780,0.5802789609879255,-0.013097048114286736,2.3543949127197266,35.71193799972534,0.0036737488,0.7255692481994629
1310720,80,6.554777145385742,164.77,275,4752,0.1,0.159771728515625,0.2,0.05474358797073364,1e-05,790,0.6493524510413409,-0.01284757282701321,2.446645736694336,35.68278698921203,0.0035742642,0.6805312633514404
1327104,81,6.6841840744018555,169.24,279,4751,0.1,0.140008544921875,0.2,0.0548090934753418,1e-05,800,0.6137009646743536,-0.01160312444990268,2.3613569736480713,35.65366916656494,0.0032964572,0.6973085403442383
1343488,82,6.373572826385498,164.89,282,4749,0.1,0.151873779296875,0.2,0.054877087473869324,1e-05,810,0.6197010111063719,-0.012810231305775233,2.3858821392059326,35.624523758888245,0.0036118322,0.693924069404602
1359872,83,6.148942947387695,154.98,286,4747,0.1,0.14766845703125,0.2,0.05494379252195358,1e-05,820,0.6497191801667214,-0.012150022969581186,2.430659532546997,35.59501395225525,0.0034694904,0.6655365228652954
1376256,84,6.47561502456665,162.92,290,4741,0.1,0.152880859375,0.2,0.05501360818743706,1e-05,830,0.609174232557416,-0.012145753364893607,2.4044620990753174,35.56524202823639,0.0034205078,0.6702271699905396
1392640,85,6.6628851890563965,165.26,293,4743,0.1,0.155828857421875,0.2,0.05508088320493698,1e-05,840,0.6378402028232812,-0.012620827124919742,2.333934783935547,35.5353086233139,0.0034410423,0.6755738258361816
1409024,86,6.393733501434326,157.42,297,4742,0.1,0.149737548828125,0.2,0.05515182018280029,1e-05,850,0.602035678550601,-0.011918172529840376,2.37638783454895,35.50513763427735,0.0034371035,0.6970134377479553
1425408,87,6.3165435791015625,159.04,300,4737,0.1,0.151416015625,0.2,0.055216655135154724,1e-05,860,0.61151700951159,-0.01242755921848584,2.4015603065490723,35.47553882598877,0.0034663472,0.7127264738082886
1441792,88,6.686731338500977,169.9,305,4724,0.1,0.15579833984375,0.2,0.05528517812490463,1e-05,870,0.6490734841674566,-0.012343004197464324,2.3903093338012695,35.446553683280946,0.0035504608,0.6708824634552002
1458176,89,6.497746467590332,165.75,309,4706,0.1,0.1495361328125,0.2,0.0553511306643486,1e-05,880,0.5504832908511161,-0.012187736356281675,2.3198113441467285,35.417465233802794,0.0034426758,0.7215646505355835
1474560,90,7.206671714782715,181.15,314,4694,0.1,0.1587890625,0.2,0.05541861057281494,1e-05,890,0.59156399294734,-0.012876708377734757,2.329538345336914,35.38855137825012,0.003532666,0.6974106431007385
1490944,91,6.7056660652160645,173.32,318,4681,0.1,0.146978759765625,0.2,0.05548648163676262,1e-05,900,0.6061814572662115,-0.012296925992995967,2.317472219467163,35.35924828052521,0.0034504698,0.6822279691696167
