rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range_vf,train/std,train/clip_range,train/clip_fraction,train/value_loss,train/loss
615.5,10092544,22.600954055786133,11891,848,77,1e-08,-1.0507144543225877e-05,1.004928e-07,5440,0.8603149652481079,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.607414098479785,0.778087317943573
623.76,10223616,22.887733459472656,11887,860,78,1e-08,-1.1305173484288388e-05,9.781479e-08,5450,0.865554690361023,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5354015031363815,0.6987169981002808
671.78,10354688,25.005346298217773,11892,870,79,1e-08,-1.0406991714262404e-05,9.578798e-08,5460,0.8647209405899048,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6030127368401736,0.7166261076927185
634.75,10485760,23.7053165435791,11893,881,80,1e-08,-1.2138391502958256e-05,1.215567e-07,5470,0.8741236925125122,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5130446180468425,0.6626354455947876
656.99,10616832,24.400094985961914,11893,892,81,1e-08,-1.442053790015052e-05,2.1112737e-07,5480,0.8439461588859558,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6500965712126344,0.7759469747543335
634.77,10747904,23.68035125732422,11893,903,82,1e-08,-1.12769084807951e-05,1.06033895e-07,5490,0.871239960193634,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5408626432996243,0.8557291626930237
600.24,10878976,21.315650939941406,11890,914,83,1e-08,-1.22543243378459e-05,1.255944e-07,5500,0.8522971868515015,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6408627635799349,1.0308018922805786
590.93,11010048,20.978500366210938,11891,925,84,1e-08,-1.4417204965866404e-05,1.4956868e-07,5510,0.8768914937973022,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5214522433932871,0.7260763645172119
614.99,11141120,21.793132781982422,11885,937,85,1e-08,-1.2786219758709195e-05,1.3551744e-07,5520,0.8758183121681213,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5449044155422598,0.6483289003372192
661.53,11272192,24.457422256469727,11886,948,86,1e-08,-1.1781047669501277e-05,1.2482542e-07,5530,0.8627058267593384,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5932531696278602,0.751136064529419
685.71,11403264,26.395784378051758,11887,959,87,1e-08,-1.2665869235206628e-05,1.3453928e-07,5540,0.8735888004302979,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.528834142209962,0.693579912185669
669.29,11534336,25.723691940307617,11887,970,88,1e-08,-1.2923675058118533e-05,1.4112311e-07,5550,0.8458979725837708,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6260139797115698,0.8448260426521301
597.77,11665408,21.56573486328125,11889,981,89,1e-08,-1.0331568410038016e-05,9.7616976e-08,5560,0.8546572923660278,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5699693565722554,0.6897029876708984
560.61,11796480,19.84699249267578,11888,992,90,1e-08,-1.2082434477633796e-05,1.1748352e-07,5570,0.8674117922782898,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5600908233318478,0.7608294486999512
649.43,11927552,23.020849227905273,11890,1003,91,1e-08,-1.044299688146566e-05,1.0623671e-07,5580,0.8592466711997986,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6132045472972095,0.8649752140045166
653.95,12058624,24.081279754638672,11888,1014,92,1e-08,-1.3091420623823068e-05,1.4015723e-07,5590,0.8680097460746765,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5823124611051753,0.8623602390289307
586.0,12189696,21.653879165649414,11889,1025,93,1e-08,-1.1530727260833373e-05,1.1181146e-07,5600,0.8738291263580322,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5252743548480794,0.775138258934021
636.27,12320768,23.949951171875,11889,1036,94,1e-08,-1.1632186760834884e-05,1.2659075e-07,5610,0.8537508249282837,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6214865736663342,0.7894031405448914
663.83,12451840,24.566537857055664,11889,1047,95,1e-08,-1.30387673380028e-05,1.6250851e-07,5620,0.8576054573059082,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5759315502829849,0.875682532787323
661.08,12582912,24.947019577026367,11891,1058,96,1e-08,-1.1840386287076399e-05,1.2426335e-07,5630,0.8626397252082825,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5653334426460788,0.777111828327179
623.68,12713984,23.597177505493164,11893,1068,97,1e-08,-1.1200076824025017e-05,1.2131022e-07,5640,0.8559610247612,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5416564636165276,0.7179258465766907
635.26,12845056,23.985733032226562,11893,1079,98,1e-08,-1.0890887642744928e-05,1.090184e-07,5650,0.8348631262779236,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6397073970874771,0.7266184091567993
624.25,12976128,23.484521865844727,11895,1090,99,1e-08,-1.0558066787780262e-05,9.766336e-08,5660,0.850496768951416,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5994332736125216,0.6716440916061401
602.89,13107200,22.310932159423828,11895,1101,100,1e-08,-1.3361884793994249e-05,1.5161777e-07,5670,0.871783971786499,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5613822377985344,0.7651426792144775
614.55,13238272,22.343172073364258,11895,1112,101,1e-08,-1.0496846971363994e-05,1.1214206e-07,5680,0.8679008483886719,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5856538018910215,0.8145537972450256
701.5,13369344,26.49933624267578,11897,1123,102,1e-08,-1.2139390219090273e-05,1.2653982e-07,5690,0.860637903213501,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5612348054302856,0.7615004777908325
682.34,13500416,25.755016326904297,11898,1134,103,1e-08,-1.1026172978745308e-05,1.2832197e-07,5700,0.8337947726249695,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6151566149899736,0.7079638838768005
666.13,13631488,24.540136337280273,11898,1145,104,1e-08,-1.181544530481915e-05,1.286162e-07,5710,0.8510193228721619,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5827930449973792,0.6744006872177124
655.86,13762560,24.2074031829834,11901,1156,105,1e-08,-1.1723613533831667e-05,1.2409055e-07,5720,0.8653141260147095,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5978979196166619,0.684107780456543
653.35,13893632,23.751676559448242,11901,1167,106,1e-08,-1.2950768632435938e-05,1.4239231e-07,5730,0.8789554238319397,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.49992754000704737,0.6501525044441223
658.62,14024704,24.571239471435547,11902,1178,107,1e-08,-1.1423380874475697e-05,1.1815155e-07,5740,0.8698759078979492,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6087769117206335,0.8441523909568787
692.34,14155776,26.244430541992188,11904,1189,108,1e-08,-1.2177481403341517e-05,1.2735882e-07,5750,0.8666053414344788,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5119053803151473,0.7409380674362183
636.61,14286848,23.31808853149414,11905,1200,109,1e-08,-1.1184886170667597e-05,1.07141204e-07,5760,0.8390883803367615,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6118928941432387,0.8582816123962402
628.11,14417920,22.61630630493164,11905,1211,110,1e-08,-1.2696113753918325e-05,1.211406e-07,5770,0.8691476583480835,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5591224918607622,0.6900253295898438
659.91,14548992,24.44829750061035,11906,1221,111,1e-08,-1.2921595225634518e-05,1.2795363e-07,5780,0.8729948997497559,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5822157702874392,0.8703930974006653
676.46,14680064,25.28609848022461,11907,1232,112,1e-08,-1.2288213201827603e-05,1.3089402e-07,5790,0.8649908304214478,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5719958260888234,0.8077151775360107
644.94,14811136,23.717426300048828,11906,1243,113,1e-08,-1.2251362977622194e-05,1.3653607e-07,5800,0.8611303567886353,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5779139632824808,0.6728938221931458
652.03,14942208,24.77978515625,11906,1254,114,1e-08,-1.374431885778904e-05,1.7800312e-07,5810,0.8590118288993835,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.556243701162748,0.6179966926574707
621.72,15073280,22.83356285095215,11907,1265,115,1e-08,-1.1551070110726869e-05,1.1621432e-07,5820,0.8483441472053528,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6229331871727481,0.8050491809844971
646.96,15204352,24.131488800048828,11907,1276,116,1e-08,-1.0617143107083394e-05,1.02163085e-07,5830,0.8677206039428711,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5724761768709868,0.6518334150314331
629.87,15335424,23.22258758544922,11905,1288,117,1e-08,-1.1415730477892794e-05,1.2194141e-07,5840,0.8498607873916626,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5920125072123483,0.7879130840301514
678.61,15466496,25.42998695373535,11905,1299,118,1e-08,-1.1154813273606124e-05,1.05656454e-07,5850,0.8552685379981995,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5748384004225955,0.7579088807106018
608.99,15597568,22.313831329345703,11905,1310,119,1e-08,-1.2300212438276503e-05,1.2965438e-07,5860,0.8424323201179504,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6037076281150803,0.8198934197425842
638.45,15728640,23.3775634765625,11905,1321,120,1e-08,-1.0732285954873077e-05,1.0019312e-07,5870,0.8652854561805725,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6053240429377184,0.7547847032546997
634.0,15859712,23.538663864135742,11906,1332,121,1e-08,-1.3799189946439584e-05,1.4051739e-07,5880,0.8740200996398926,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5439588207285851,0.606679379940033
647.84,15990784,23.879060745239258,11904,1343,122,1e-08,-1.1218984309380175e-05,1.071312e-07,5890,0.8664065599441528,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5713113384786993,0.7396348714828491
650.84,16121856,24.181299209594727,11904,1354,123,1e-08,-1.404932263540104e-05,1.5588193e-07,5900,0.8557288646697998,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5698738413164393,0.6735670566558838
655.47,16252928,24.400117874145508,11903,1365,124,1e-08,-1.2104756933695171e-05,1.240237e-07,5910,0.8528960943222046,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5718803636031226,0.6531233787536621
623.09,16384000,22.759122848510742,11904,1376,125,1e-08,-1.3440786187857156e-05,1.6101421e-07,5920,0.8544936776161194,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6120631241472438,0.7192424535751343
