time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range_vf,train/approx_kl,train/clip_fraction
11070,3538944,541.42,319,22.439193725585938,27,2.1430211067199707,32.95941552817821,0.1,260,1e-05,0.5510163212195038,0.8523268699645996,-0.0017032005417604522,0.06150326132774353,0.2,0.00305947,0.12074432373046876
11075,3670016,549.18,331,22.922407150268555,28,2.1541528701782227,32.76512963473797,0.1,270,1e-05,0.5757743793074042,0.8499851226806641,-0.002170709563233686,0.062006764113903046,0.2,0.0031329396,0.12579269409179689
11076,3801088,520.66,343,21.474782943725586,29,2.1405961513519287,32.569413527846336,0.1,280,1e-05,0.547024944005534,0.8663276433944702,-0.002209296143428219,0.06251451373100281,0.2,0.003131115,0.12589111328125
11077,3932160,558.31,354,23.181682586669922,30,2.079118251800537,32.37244916558266,0.1,290,1e-05,0.5263665550621226,0.8714110851287842,-0.0021054598020782576,0.06303167343139648,0.2,0.0031292099,0.12304916381835937
11081,4063232,583.67,366,23.95549774169922,31,2.0600595474243164,32.175677093863484,0.1,300,1e-05,0.5549657627241686,0.8604853749275208,-0.002176091345063469,0.0635489821434021,0.2,0.0031615454,0.12456741333007812
11077,4194304,569.27,378,23.623746871948242,32,2.083052635192871,31.981429573893546,0.1,310,1e-05,0.5421344239963218,0.8754957914352417,-0.001956983736999973,0.06406253576278687,0.2,0.0030845467,0.12217254638671875
11078,4325376,543.23,390,22.316621780395508,33,2.130889415740967,31.786905796825884,0.1,320,1e-05,0.5625451016239822,0.8657495379447937,-0.0020126006569626043,0.06458469480276108,0.2,0.0031298823,0.12449417114257813
11076,4456448,555.27,402,22.916074752807617,34,2.051225423812866,31.593036891520022,0.1,330,1e-05,0.5615047921892256,0.8738409876823425,-0.0021433989893921536,0.06510762870311737,0.2,0.0031068362,0.12502059936523438
11076,4587520,543.46,414,22.087705612182617,35,2.120922803878784,31.399130460619926,0.1,340,1e-05,0.548614275502041,0.87715744972229,-0.002060707925193128,0.0656367689371109,0.2,0.0031119194,0.12416152954101563
11078,4718592,518.91,425,21.397470474243164,36,2.1363792419433594,31.203779554367067,0.1,350,1e-05,0.5428339308127761,0.8820012211799622,-0.0022106532433099346,0.06617576628923416,0.2,0.003139636,0.122418212890625
11077,4849664,511.33,437,21.11418914794922,37,2.0885486602783203,31.006802578270435,0.1,360,1e-05,0.5539283799240365,0.8737408518791199,-0.001932457814564259,0.06672175228595734,0.2,0.0030442078,0.12066497802734374
11077,4980736,557.71,449,22.794607162475586,38,2.0305745601654053,30.81202236264944,0.1,370,1e-05,0.5574727856786922,0.874567985534668,-0.002122960696578957,0.06726046651601791,0.2,0.003070069,0.12272186279296875
11072,5111808,544.37,461,22.25259017944336,39,2.0399043560028076,30.619939360022546,0.1,380,1e-05,0.5576919452287257,0.88080894947052,-0.0020723003957755282,0.06779893487691879,0.2,0.0030556791,0.12108612060546875
11075,5242880,549.25,473,22.472246170043945,40,2.02315092086792,30.42496434301138,0.1,390,1e-05,0.5924763210350648,0.874687135219574,-0.001999838571236978,0.06835871189832687,0.2,0.0029779617,0.11897201538085937
11075,5373952,536.99,485,22.250083923339844,41,2.032802104949951,30.229177501797675,0.1,400,1e-05,0.5565151871647686,0.8867843151092529,-0.002224752463007462,0.06891578435897827,0.2,0.0030522214,0.1213043212890625
11071,5505024,562.07,497,23.141517639160156,42,2.11367130279541,30.033911660313606,0.1,410,1e-05,0.5405260406900197,0.8812683820724487,-0.0022243769266424352,0.06947945058345795,0.2,0.003116244,0.1230224609375
11070,5636096,562.96,509,22.842426300048828,43,2.02374267578125,29.838705541193484,0.1,420,1e-05,0.521722879842855,0.8898833394050598,-0.0019675560108225907,0.0700482577085495,0.2,0.0029401963,0.1137481689453125
11069,5767168,569.81,520,23.353233337402344,44,1.9903286695480347,29.644739758968353,0.1,430,1e-05,0.5283598048845306,0.8892632126808167,-0.0020302770443777264,0.0706121027469635,0.2,0.0029619085,0.11660079956054688
11067,5898240,545.48,532,22.228805541992188,45,1.9153368473052979,29.45155897885561,0.1,440,1e-05,0.5327076922636479,0.8889164924621582,-0.0018593217231682503,0.0711851567029953,0.2,0.002978452,0.11614837646484374
11069,6029312,564.4,544,22.994592666625977,46,2.02535080909729,29.256686106324196,0.1,450,1e-05,0.530629666801542,0.8888626098632812,-0.002228568063583225,0.07176592200994492,0.2,0.0030578792,0.12009201049804688
11069,6160384,562.04,556,23.31818199157715,47,1.9972949028015137,29.06331433057785,0.1,460,1e-05,0.5311844940297306,0.8917014598846436,-0.0023827149507269496,0.07234333455562592,0.2,0.003057309,0.12150039672851562
11068,6291456,539.47,568,22.255014419555664,48,1.9434254169464111,28.867445316910743,0.1,470,1e-05,0.5379878025501966,0.8879859447479248,-0.002092716770584957,0.0729433000087738,0.2,0.0030702646,0.11830215454101563
11069,6422528,565.35,580,23.29138946533203,49,1.9811939001083374,28.670259143412114,0.1,480,1e-05,0.5493740135105327,0.8888888359069824,-0.0023675387120420054,0.0735422819852829,0.2,0.0030592333,0.12092514038085937
11071,6553600,546.13,591,22.41317367553711,50,1.9602607488632202,28.473972675204276,0.1,490,1e-05,0.5241491463733837,0.89105224609375,-0.0021031439387115825,0.07414694875478745,0.2,0.0030000485,0.11728439331054688
11074,6684672,563.19,603,23.164587020874023,51,1.9760838747024536,28.27948952615261,0.1,500,1e-05,0.5481462500756606,0.8889868855476379,-0.00221904466397973,0.07474544644355774,0.2,0.0029411009,0.11591033935546875
11070,6815744,559.59,615,23.223060607910156,52,1.8940656185150146,28.084859520196915,0.1,510,1e-05,0.5401978283654898,0.8862965106964111,-0.002119117357960931,0.07535792887210846,0.2,0.00296035,0.11517486572265626
11068,6946816,580.4,627,23.766508102416992,53,1.8753538131713867,27.889211998879908,0.1,520,1e-05,0.5306512179085985,0.8886643648147583,-0.002124848019138881,0.07597479224205017,0.2,0.0029888062,0.11720352172851563
11064,7077888,569.38,639,23.39626693725586,54,1.9647109508514404,27.692755080759525,0.1,530,1e-05,0.5359211931703612,0.8870320320129395,-0.0018812353898283618,0.07660208642482758,0.2,0.0029144962,0.11277084350585938
11062,7208960,567.1,651,23.435264587402344,55,1.836918592453003,27.49610033929348,0.1,540,1e-05,0.5184889962198213,0.8968837857246399,-0.002155769575983868,0.0772310122847557,0.2,0.0029591625,0.11469650268554688
11063,7340032,565.79,663,23.4322566986084,56,1.8846609592437744,27.301495084166525,0.1,550,1e-05,0.5239263069350273,0.8927175998687744,-0.0019446811550551501,0.07785375416278839,0.2,0.0029577916,0.11304550170898438
11062,7471104,570.36,675,23.505107879638672,57,1.9160432815551758,27.10825090110302,0.1,560,1e-05,0.5210984248435124,0.8978191018104553,-0.0020886669401079415,0.0784858986735344,0.2,0.0029467186,0.1145751953125
11061,7602176,526.72,687,21.339462280273438,58,1.8280067443847656,26.91457754075527,0.1,570,1e-05,0.5209128489252179,0.8986908197402954,-0.002026761217530293,0.07911910861730576,0.2,0.0028809514,0.11223220825195312
11056,7733248,526.32,699,21.54834747314453,59,1.850919246673584,26.72082900851965,0.1,580,1e-05,0.5274791426490992,0.9031497240066528,-0.00234541415638887,0.07976105809211731,0.2,0.0029501743,0.11719818115234375
11053,7864320,548.69,711,22.534168243408203,60,1.7705001831054688,26.52871852815151,0.1,590,1e-05,0.5356822974514216,0.9043576717376709,-0.002108107245658175,0.08040022850036621,0.2,0.0029199964,0.11021575927734376
11049,7995392,553.93,723,22.420146942138672,61,1.8008828163146973,26.334232546389103,0.1,600,1e-05,0.5210702163167298,0.8995251655578613,-0.002444712007400085,0.08106084167957306,0.2,0.0030242733,0.11639175415039063
11048,8126464,524.87,735,21.486635208129883,62,1.8099008798599243,26.14065978229046,0.1,610,1e-05,0.5162711949786172,0.9040778279304504,-0.002131206499325344,0.08171136677265167,0.2,0.0028995513,0.11134796142578125
11047,8257536,534.53,747,21.89459991455078,63,1.7843294143676758,25.94656726717949,0.1,620,1e-05,0.531626801402308,0.8978852033615112,-0.0021304146766851773,0.08237951993942261,0.2,0.002962663,0.11344375610351562
