rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/clip_range,train/approx_kl,train/adaptive_lr,train/value_loss,train/clip_range_vf,train/n_updates,train/std,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss
14.600196838378906,354.9,21889024,167,1889,11583,0.23779067993164063,0.1,0.0046660285,5e-05,0.607885608356446,0.2,4720,0.16994251310825348,0.6343770027160645,8.86789637580514,5e-05,0.8874267935752869,-0.0020088328445126537
15.561144828796387,375.53,22020096,168,1889,11651,0.23643569946289061,0.1,0.0045111487,5e-05,0.6478131321957334,0.2,4730,0.1704832911491394,0.7829486131668091,8.786082942038774,5e-05,0.8812673091888428,-0.001839681948672478
15.3646879196167,367.23,22151168,169,1890,11718,0.2405609130859375,0.1,0.004701752,5e-05,0.6350891504436731,0.2,4740,0.1711236983537674,0.7834112644195557,8.695418614149094,5e-05,0.8825057148933411,-0.001968049111610526
14.870993614196777,358.86,22282240,170,1890,11785,0.24180221557617188,0.1,0.0046191122,5e-05,0.6318828746909275,0.2,4750,0.1717740297317505,0.7452592849731445,8.60094674155116,5e-05,0.8785998225212097,-0.0018786690103297587
14.972450256347656,353.14,22413312,171,1890,11853,0.23364944458007814,0.1,0.0045255115,5e-05,0.631193086784333,0.2,4760,0.17239214479923248,0.679206371307373,8.510663369297982,5e-05,0.8794996738433838,-0.001805280681082877
15.505931854248047,375.26,22544384,172,1891,11920,0.23031997680664062,0.1,0.004474582,5e-05,0.6504139201715589,0.2,4770,0.17292866110801697,0.7791745662689209,8.431365512311459,5e-05,0.8717628717422485,-0.0016698249199180281
15.51719856262207,365.63,22675456,173,1891,11987,0.23779525756835937,0.1,0.004603577,5e-05,0.6080087626818568,0.2,4780,0.17352436482906342,0.6568058133125305,8.345922164618969,5e-05,0.88149493932724,-0.0018118485917511863
15.281315803527832,360.42,22806528,174,1891,12055,0.23217239379882812,0.1,0.0044756653,5e-05,0.6435098255285994,0.2,4790,0.17401495575904846,0.730269730091095,8.271681214123964,5e-05,0.8729388117790222,-0.0015729064258721338
15.170265197753906,363.91,22937600,175,1891,12123,0.24047775268554689,0.1,0.004737808,5e-05,0.5955180062912404,0.2,4800,0.17465126514434814,0.7259982824325562,8.185138638317586,5e-05,0.8868355751037598,-0.0021245671254291666
15.146496772766113,369.41,23068672,176,1892,12191,0.2315338134765625,0.1,0.004433019,5e-05,0.6013831769116222,0.2,4810,0.17517785727977753,0.6868994832038879,8.107707994431257,5e-05,0.8860841989517212,-0.0018590373716506291
14.958399772644043,358.51,23199744,177,1892,12258,0.240863037109375,0.1,0.0046388926,5e-05,0.5626293163048104,0.2,4820,0.17577055096626282,0.6085854768753052,8.024802567064762,5e-05,0.8989028930664062,-0.0022574453280867603
14.825387001037598,357.7,23330816,178,1892,12326,0.23463134765625,0.1,0.0044568907,5e-05,0.5682776488829404,0.2,4830,0.17638008296489716,0.5909504890441895,7.9381876852363344,5e-05,0.8955351710319519,-0.001971207443239109
14.36050796508789,348.9,23461888,179,1893,12393,0.2301788330078125,0.1,0.0044152206,5e-05,0.5373911759117618,0.2,4840,0.176961287856102,0.5972835421562195,7.855189407989383,5e-05,0.9063805341720581,-0.0019499036792240076
14.346967697143555,350.37,23592960,180,1893,12460,0.2365966796875,0.1,0.004598969,5e-05,0.5213989777257666,0.2,4850,0.1775101274251938,0.5945043563842773,7.778170939162374,5e-05,0.9103896021842957,-0.0021647458227789683
14.765776634216309,366.15,23724032,181,1893,12528,0.240142822265625,0.1,0.0045540165,5e-05,0.5549020685022696,0.2,4860,0.17807409167289734,0.728501558303833,7.698039545491338,5e-05,0.9068392515182495,-0.0022060573291128095
14.2761812210083,355.81,23855104,182,1894,12594,0.24429092407226563,0.1,0.004732323,5e-05,0.49596893941052256,0.2,4870,0.17872768640518188,0.5891335606575012,7.6089881982654335,5e-05,0.918477475643158,-0.0024047910435456288
14.471880912780762,355.06,23986176,183,1894,12662,0.2417877197265625,0.1,0.0045795813,5e-05,0.556828835932538,0.2,4880,0.17929378151893616,0.6287232637405396,7.528321970254183,5e-05,0.9052783846855164,-0.0020707280963051743
14.648641586303711,370.51,24117248,184,1894,12729,0.23477935791015625,0.1,0.00444205,5e-05,0.5512230270775035,0.2,4890,0.17987754940986633,0.5155386328697205,7.448063414543867,5e-05,0.9061124920845032,-0.002108722223601944
14.574790000915527,367.03,24248320,185,1894,12799,0.24736175537109376,0.1,0.0046119457,5e-05,0.5479680713498964,0.2,4900,0.18051466345787048,0.5664622783660889,7.360691504180432,5e-05,0.9058063626289368,-0.002155003320240212
14.464752197265625,372.87,24379392,186,1895,12861,0.2418975830078125,0.1,0.0046141935,5e-05,0.5801220173249021,0.2,4910,0.18113325536251068,0.5877152681350708,7.275900281220674,5e-05,0.903178334236145,-0.0023723117055396868
14.269186973571777,356.32,24510464,187,1895,12930,0.242529296875,0.1,0.0046235453,5e-05,0.5615585301071405,0.2,4920,0.18169927597045898,0.5543519258499146,7.195943634957075,5e-05,0.906585156917572,-0.0022640001020135967
14.4150972366333,362.32,24641536,188,1895,13000,0.240380859375,0.1,0.004444905,5e-05,0.602192283491604,0.2,4930,0.18234997987747192,0.7413077354431152,7.109128393605351,5e-05,0.8985325694084167,-0.0022554803450475446
14.344870567321777,360.12,24772608,189,1895,13070,0.24076690673828124,0.1,0.0046388768,5e-05,0.60786219954025,0.2,4940,0.1830521821975708,0.6222880482673645,7.01305343285203,5e-05,0.9004741907119751,-0.0023427918216839317
