time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_range_vf,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl
2752512,1050,2619,937.33,42.464420318603516,21,0.9115471778437495,-0.002411740363459103,0.1,1.504949688911438,0.2,5e-06,0.4155348539352417,0.16207052767276764,1930,0.07393646240234375,9.673702164739371,0.0021339061
2883584,1101,2617,975.55,44.506553649902344,22,0.6894552840152756,-0.0023444410805041117,0.1,1.1553351879119873,0.2,5e-06,0.5105118751525879,0.1627998650074005,1940,0.07518768310546875,9.564065755903721,0.0021988
3014656,1152,2615,927.54,41.979976654052734,23,0.8656844237819314,-0.002393979639327881,0.1,1.1635053157806396,0.2,5e-06,0.4548896551132202,0.16356833279132843,1950,0.07503280639648438,9.453221487998963,0.0022399332
3145728,1203,2613,967.28,43.89493179321289,24,0.6981917097000405,-0.0023318080243370787,0.1,1.1637802124023438,0.2,5e-06,0.5165762305259705,0.1643274575471878,1960,0.07521209716796876,9.34167972356081,0.0022122213
3276800,1254,2612,933.08,42.64653396606445,25,0.8871996663510799,-0.002166613966028308,0.1,1.1872695684432983,0.2,5e-06,0.39975643157958984,0.16508664190769196,1970,0.06868667602539062,9.230671822279692,0.0021174597
3407872,1305,2611,937.85,42.51155090332031,26,0.7036893222015351,-0.0023702300055447267,0.1,1.299322485923767,0.2,5e-06,0.5590009689331055,0.1658499389886856,1980,0.07537994384765626,9.120039318501949,0.0021594604
3538944,1355,2609,939.46,42.820098876953125,27,0.873473679390736,-0.0023887682317308644,0.1,1.1670113801956177,0.2,5e-06,0.5093015432357788,0.16659455001354218,1990,0.07358322143554688,9.010891807079314,0.0021702787
3670016,1406,2608,979.63,44.74345397949219,28,0.7051824976224452,-0.0024161833994639894,0.1,1.173316240310669,0.2,5e-06,0.4280325174331665,0.16737757623195648,2000,0.07682876586914063,8.900636464357376,0.00218209
3801088,1457,2607,968.71,44.302276611328125,29,0.9076252406695857,-0.0022251795631291317,0.1,1.3375014066696167,0.2,5e-06,0.35094863176345825,0.16815640032291412,2010,0.07342910766601562,8.788527953624726,0.002076192
3932160,1508,2606,936.09,42.715633392333984,30,0.7315298981964589,-0.0022439129413214685,0.1,0.9868646860122681,0.2,5e-06,0.3482856750488281,0.1689419001340866,2020,0.07195816040039063,8.677276791632176,0.0021250322
4063232,1559,2606,948.7,43.49330139160156,31,0.87187983347103,-0.002194760398560902,0.1,1.0178406238555908,0.2,5e-06,0.4490712285041809,0.1697356104850769,2030,0.07043609619140626,8.565010563284158,0.0021187519
4194304,1609,2605,948.54,43.179710388183594,32,0.7348961724434048,-0.002409075332070643,0.1,1.2033370733261108,0.2,5e-06,0.44600504636764526,0.1705273538827896,2040,0.07237701416015625,8.45305169224739,0.0021694903
4325376,1660,2605,954.74,43.73067855834961,33,0.8606897338991985,-0.0021958183124297648,0.1,1.1778790950775146,0.2,5e-06,0.4514937996864319,0.17132054269313812,2050,0.06515426635742187,8.34151554852724,0.0020063291
4456448,1711,2604,951.51,43.37336730957031,34,0.7205110175069421,-0.0024706278412850225,0.1,1.401633620262146,0.2,5e-06,0.38912349939346313,0.17212407290935516,2060,0.08058395385742187,8.229489000886678,0.002269778
4587520,1761,2603,889.04,40.87016296386719,35,0.9121072156354785,-0.0023469575920898934,0.1,1.0380808115005493,0.2,5e-06,0.43180572986602783,0.17293931543827057,2070,0.07079086303710938,8.116443116962909,0.0021215337
4718592,1812,2603,946.5,43.550350189208984,36,0.7311429556226358,-0.002115210839519932,0.1,1.0186097621917725,0.2,5e-06,0.5647951364517212,0.1737285852432251,2080,0.063330078125,8.005547712370753,0.002011423
4849664,1862,2603,938.84,43.01665115356445,37,0.838794264337048,-0.00254497429091316,0.1,1.1741228103637695,0.2,5e-06,0.41470271348953247,0.17455460131168365,2090,0.07747268676757812,7.893744510039687,0.0021512825
4980736,1913,2603,956.97,43.680267333984375,38,0.8104575232835487,-0.002380121528858581,0.1,1.1276344060897827,0.2,5e-06,0.4852091073989868,0.17535336315631866,2100,0.073529052734375,7.782098273560405,0.00215696
