time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/clip_range_vf,train/loss,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate
159,1835008,23.579519271850586,14,662.23,11489,-0.001946659412351437,0.3522920811315998,0.2,2.075610876083374,0.6127246022224426,130,0.05549070984125137,35.43420518934727,0.1,0.13718490600585936,0.003328253,1e-05
171,1966080,23.353351593017578,15,664.36,11453,-0.0016499549994478003,0.3179376512067392,0.2,2.054682731628418,0.7167881727218628,140,0.055958233773708344,35.2327811986208,0.1,0.13087310791015624,0.003274962,1e-05
183,2097152,25.911296844482422,16,718.25,11442,-0.0015642806083633332,0.3446723341010511,0.2,2.041346311569214,0.7084999084472656,150,0.05642741918563843,35.03198057711124,0.1,0.13182525634765624,0.0032247999,1e-05
195,2228224,24.379098892211914,17,674.47,11426,-0.0019025915893507773,0.3211410882533528,0.2,2.021092176437378,0.7296289205551147,160,0.05691332370042801,34.8291993200779,0.1,0.13703536987304688,0.0033849597,1e-05
206,2359296,26.167516708374023,18,715.42,11429,-0.0015621350971741776,0.34507719257380814,0.2,2.140669345855713,0.7106994390487671,170,0.05741048604249954,34.62140837311745,0.1,0.13741378784179686,0.0033919949,1e-05
217,2490368,25.388229370117188,19,707.41,11426,-0.0013461774076859,0.35191243374720216,0.2,2.1391592025756836,0.7366601824760437,180,0.057908736169338226,34.414391458034515,0.1,0.13150863647460936,0.0032799088,1e-05
229,2621440,26.368860244750977,20,722.95,11432,-0.001287833117203263,0.37377858251566065,0.2,2.129572868347168,0.7400099039077759,190,0.05840141698718071,34.20872125029564,0.1,0.13918609619140626,0.0033649248,1e-05
240,2752512,24.084157943725586,21,667.68,11430,-0.0016072090013949491,0.37065347846364605,0.2,2.000605583190918,0.7575379014015198,200,0.05890895426273346,34.00349009037018,0.1,0.14061355590820312,0.0033771258,1e-05
252,2883584,26.25301742553711,22,726.75,11411,-0.0014227739334273792,0.3732907381257974,0.2,2.154780387878418,0.7435243129730225,210,0.05941002070903778,33.79803257882595,0.1,0.1386260986328125,0.003361653,1e-05
264,3014656,28.20102310180664,23,769.11,11417,-0.0012882075853667629,0.4674508603289723,0.2,2.198620319366455,0.7520039081573486,220,0.05992179736495018,33.593791553378104,0.1,0.13875961303710938,0.0033839494,1e-05
275,3145728,23.981712341308594,24,664.07,11408,-0.0014756906516595336,0.4252477707224898,0.2,2.0904810428619385,0.7677800059318542,230,0.06043904274702072,33.38796991407871,0.1,0.14046478271484375,0.0033895695,1e-05
287,3276800,28.568096160888672,25,775.58,11404,-0.0011662465742119821,0.49243179433979095,0.2,2.053067445755005,0.7600192427635193,240,0.06095021963119507,33.18354965746403,0.1,0.13854522705078126,0.003370386,1e-05
298,3407872,28.185802459716797,26,767.88,11403,-0.0013839814334460244,0.4810460601118393,0.2,2.127410888671875,0.7554861307144165,250,0.061481162905693054,32.97812124490738,0.1,0.142926025390625,0.003465854,1e-05
310,3538944,23.733299255371094,27,667.62,11398,-0.0014034810225894035,0.5243551420047879,0.2,2.218984365463257,0.7683753967285156,260,0.06200725957751274,32.77209326922893,0.1,0.14117202758789063,0.0034725768,1e-05
322,3670016,28.440011978149414,28,782.11,11397,-0.0015055281306558753,0.48951749014668167,0.2,2.0685837268829346,0.8092570900917053,270,0.06253579258918762,32.56851012408733,0.1,0.140960693359375,0.003402936,1e-05
333,3801088,24.85589027404785,29,681.96,11388,-0.001064051520643261,0.5050844772951677,0.2,2.1507186889648438,0.7526924014091492,280,0.06308196485042572,32.361749827861786,0.1,0.14018630981445312,0.0034930073,1e-05
345,3932160,24.087963104248047,30,682.0,11394,-0.0011958847349887946,0.5336007083300501,0.2,1.9813563823699951,0.7851524949073792,290,0.06362214684486389,32.15530450344086,0.1,0.13476028442382812,0.0033772313,1e-05
356,4063232,24.03705406188965,31,678.19,11393,-0.0014507026386127108,0.5229746817378327,0.2,2.156816005706787,0.8109474182128906,300,0.06416482478380203,31.95143855959177,0.1,0.13752899169921876,0.003303635,1e-05
367,4194304,23.993515014648438,32,671.21,11399,-0.0017483881607404327,0.5480913802515716,0.2,2.1863372325897217,0.8098533153533936,310,0.06473380327224731,31.742398178577425,0.1,0.14543991088867186,0.0035203476,1e-05
379,4325376,25.142988204956055,33,692.62,11392,-0.0012956865109117644,0.49154709896538407,0.2,1.929875373840332,0.8167980313301086,320,0.06528596580028534,31.535755278170107,0.1,0.13727798461914062,0.0033558416,1e-05
391,4456448,23.202917098999023,34,655.46,11395,-0.0011035786990760243,0.5493740755366161,0.2,2.1038880348205566,0.7787338495254517,330,0.06586312502622604,31.32724374383688,0.1,0.13187713623046876,0.0033089998,1e-05
402,4587520,25.908281326293945,35,717.46,11392,-0.0014136740886897315,0.5172379129799083,0.2,2.197584867477417,0.8035234808921814,340,0.06641239672899246,31.1232852101326,0.1,0.13958358764648438,0.0034076958,1e-05
414,4718592,25.473886489868164,36,705.61,11397,-0.0012959334855622729,0.5806407035328448,0.2,2.255948066711426,0.7958250641822815,350,0.06697970628738403,30.920662420988084,0.1,0.139373779296875,0.003346896,1e-05
425,4849664,25.567785263061523,37,709.14,11396,-0.0013056904965196737,0.4752281842054799,0.2,2.1404361724853516,0.7977491021156311,360,0.06756381690502167,30.714250382781028,0.1,0.13921737670898438,0.0034328683,1e-05
437,4980736,25.365890502929688,38,702.01,11396,-0.0010446395668623153,0.636375664244406,0.2,2.2199506759643555,0.7918327450752258,370,0.06814324110746384,30.507972246408464,0.1,0.13640060424804687,0.0033363658,1e-05
448,5111808,28.121442794799805,39,769.49,11385,-0.0014480088499112752,0.5116950733587146,0.2,2.1278281211853027,0.8209349513053894,380,0.06872028112411499,30.304791167378426,0.1,0.13773574829101562,0.0034635332,1e-05
460,5242880,25.952831268310547,40,712.52,11385,-0.0011625968618318439,0.5610676342854276,0.2,2.3183510303497314,0.7924621105194092,390,0.06931757181882858,30.09920785278082,0.1,0.13458328247070311,0.003424319,1e-05
