rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range_vf,train/clip_fraction,train/approx_kl,train/clip_range,train/value_loss,train/loss,train/std,train/n_updates
889.61,3276800,451,7260,26.055288314819336,25,-0.003696873236228438,8.665047926061293,0.8041560053825378,0.0001,0.3,0.014705882352941176,0.004736645,0.3,0.4507018134874456,0.4802641272544861,0.13580121099948883,24
888.27,3407872,468,7266,25.99536895751953,26,-0.004347281694850501,8.664348265703987,0.8041901588439941,0.0001,0.3,0.0234375,0.0063529247,0.3,0.4325801081517163,0.5263616442680359,0.13580431044101715,25
930.79,3538944,486,7271,27.547531127929688,27,0.0008779312192928046,8.663472473621368,0.7821409106254578,0.0001,0.3,0.027099609375,0.007047565,0.3,0.3894132664427161,0.4700106084346771,0.13581524789333344,26
924.62,3670016,504,7272,27.770280838012695,28,0.0010540284704239596,8.662257466997419,0.7101710438728333,0.0001,0.3,0.010788690476190476,0.004370772,0.3,0.4187342666444324,0.33415648341178894,0.13582874834537506,27
915.7,3801088,522,7278,27.857955932617188,29,-0.0007179207168519497,8.660731533595493,0.7102949619293213,0.0001,0.3,0.024776785714285713,0.0066800355,0.3,0.4490904573883329,0.6657649874687195,0.13583140075206757,28
905.07,3932160,540,7278,27.42548370361328,30,-0.0010297694864372412,8.66112569173177,0.7428277134895325,0.0001,0.3,0.0203125,0.0059762206,0.3,0.3675450747211774,0.4585645794868469,0.1358298510313034,29
894.5,4063232,558,7281,27.112890243530273,31,-0.0012907271229778416,8.661827802658081,0.7560859322547913,0.0001,0.3,0.025390625,0.006704302,0.3,0.41630631824955344,0.47519296407699585,0.13581915199756622,30
890.44,4194304,575,7286,27.085664749145508,32,8.510028372608846e-05,8.662263747184507,0.8065970540046692,0.0001,0.3,0.027721774193548387,0.007382337,0.3,0.387190233315191,0.48524799942970276,0.13581982254981995,31
919.98,4325376,593,7287,28.449190139770508,33,-0.001420121061904677,8.661552133231327,0.8076847791671753,0.0001,0.3,0.021821120689655173,0.0057547283,0.3,0.428839811991001,0.298362135887146,0.13583609461784363,32
924.02,4456448,611,7290,28.873126983642578,34,-0.00013874875059208044,8.659270433279184,0.7918511629104614,0.0001,0.3,0.019230769230769232,0.005625641,0.3,0.31948545345893276,0.4703545868396759,0.13586343824863434,33
929.14,4587520,629,7293,29.085731506347656,35,0.0007427196978824213,8.654930174350739,0.798096239566803,0.0001,0.3,0.026123046875,0.0068490044,0.3,0.3832130767405033,0.532136857509613,0.13590751588344574,34
966.2,4718592,646,7293,30.608985900878906,36,0.0023210017409707817,8.652070965085711,0.7696425914764404,0.0001,0.3,0.022042410714285716,0.0061721643,0.3,0.338944887476308,0.4548644721508026,0.13591890037059784,35
960.8,4849664,665,7282,30.325061798095703,37,-0.0004659230155604226,8.651189994812011,0.6895608901977539,0.0001,0.3,0.024330357142857143,0.006184385,0.3,0.34824699759483335,0.36317938566207886,0.13592028617858887,36
973.16,4980736,683,7283,30.933509826660156,38,0.002740343866337623,8.650243949890136,0.7569605112075806,0.0001,0.3,0.0234375,0.006530917,0.3,0.38689825364521574,0.40230661630630493,0.13593851029872894,37
983.91,5111808,702,7279,31.47088050842285,39,0.0016170501398543517,8.649121316274007,0.7116531133651733,0.0001,0.3,0.012239583333333333,0.0046669,0.3,0.4076395288109779,0.37265828251838684,0.13594117760658264,38
994.9,5242880,720,7274,31.979103088378906,40,0.0011797874672886204,8.647195170907413,0.6688651442527771,0.0001,0.3,0.017922794117647058,0.0058163223,0.3,0.33407197629704194,0.43895062804222107,0.13597218692302704,39
988.83,5373952,740,7259,31.762720108032227,41,0.0013903883706417777,8.645932659026116,0.5864770412445068,0.0001,0.3,0.017137096774193547,0.005656224,0.3,0.3921042339455697,0.5010095834732056,0.13596901297569275,40
991.66,5505024,758,7262,32.10002899169922,42,0.0029136723751435056,8.646042555570602,0.5842791795730591,0.0001,0.3,0.027099609375,0.006633416,0.3,0.4309662040323019,0.2975738048553467,0.13597272336483002,41
984.55,5636096,776,7256,31.949567794799805,43,0.0017604796936915767,8.64486623579456,0.6401658058166504,0.0001,0.3,0.021673387096774195,0.0058524995,0.3,0.3873553045334355,0.46031472086906433,0.13597746193408966,42
997.5,5767168,794,7256,32.618831634521484,44,-0.0012285036345322927,8.646082909901937,0.6818616390228271,0.0001,0.3,0.015625,0.0056763543,0.3,0.3774058148264885,0.35979163646698,0.13595595955848694,43
971.07,5898240,813,7246,31.452375411987305,45,0.0014966838352847844,8.647528439760208,0.6528792977333069,0.0001,0.3,0.02099609375,0.0056462227,0.3,0.3599242391064763,0.4543440341949463,0.1359538435935974,44
995.79,6029312,831,7247,32.65489196777344,46,-0.001553765317845729,8.648049877535913,0.7255914211273193,0.0001,0.3,0.019909274193548387,0.0058175386,0.3,0.3846371649734436,0.32555273175239563,0.13594891130924225,45
