time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/value_loss,train/approx_kl
2883584,11358,588.48,21.385692596435547,22,253,1740,0.0068695068359375,0.1,-0.001237671595572465,1e-06,0.8019852638244629,0.18018707633018494,0.8683243989944458,0.2,7.088647580146789,0.5742652824614197,0.00088371994
3014656,11350,539.0,19.057199478149414,23,265,1750,0.005657196044921875,0.1,-0.001204099872848019,1e-06,1.0704902410507202,0.18035730719566345,0.8744770288467407,0.2,7.0663384452462195,0.5613817442674189,0.0008238768
3145728,11366,588.72,21.25247573852539,24,276,1760,0.0091552734375,0.1,-0.0014200164783687796,1e-06,1.0031943321228027,0.18053147196769714,0.8708043694496155,0.2,7.043404595926404,0.564461464388296,0.00095399027
3276800,11372,658.3,24.19772720336914,25,288,1770,0.006624603271484375,0.1,-0.0012410642869326693,1e-06,0.7812642455101013,0.1807028353214264,0.8745174407958984,0.2,7.020467691496014,0.5427615445572883,0.0008615417
3407872,11376,580.8,21.72182846069336,26,299,1780,0.009751129150390624,0.1,-0.0013840027697369806,1e-06,0.9661539793014526,0.18087516725063324,0.8586824536323547,0.2,6.997642797976733,0.6003208186710254,0.0009372109
3538944,11359,573.44,20.64496421813965,27,311,1790,0.00799560546875,0.1,-0.0013981534473714418,1e-06,1.0910154581069946,0.1810489147901535,0.8407962322235107,0.2,6.9746563147753475,0.6066056226613,0.00096785865
3670016,11364,551.17,19.447467803955078,28,322,1800,0.004666900634765625,0.1,-0.0011997364530543565,1e-06,1.0127594470977783,0.18121746182441711,0.875109076499939,0.2,6.952040279656648,0.5638897044816986,0.00081847754
3801088,11369,483.06,16.135807037353516,29,334,1810,0.009343719482421875,0.1,-0.0014331604342260108,1e-06,0.9712412357330322,0.181388258934021,0.8816158771514893,0.2,6.929558792710305,0.5627704974962399,0.0009510071
3932160,11375,582.58,20.492172241210938,30,345,1820,0.004931640625,0.1,-0.0012403319021359494,1e-06,0.7862045764923096,0.1815546154975891,0.8955751657485962,0.2,6.907292447984219,0.5163981355261058,0.00083139015
4063232,11362,615.37,22.1123046875,31,357,1830,0.00560455322265625,0.1,-0.0012580010579767986,1e-06,0.8727144002914429,0.18173083662986755,0.8701019287109375,0.2,6.884547991678119,0.5538805452175438,0.00088100054
4194304,11328,607.79,22.377887725830078,32,370,1840,0.0047607421875,0.1,-0.001153856161272415,1e-06,1.0114200115203857,0.18190038204193115,0.8551223278045654,0.2,6.8617525022476915,0.5940192092675716,0.0008568553
4325376,11296,596.34,21.415353775024414,33,382,1850,0.007508087158203125,0.1,-0.0013283799619784986,1e-06,0.8904680013656616,0.1820710152387619,0.8553902506828308,0.2,6.839309898763895,0.5979900686768815,0.0009663579
4456448,11280,578.65,19.823257446289062,34,395,1860,0.00724945068359375,0.1,-0.001426358682783757,1e-06,0.8845452666282654,0.1822410523891449,0.8683252334594727,0.2,6.816917475685477,0.5377306031063199,0.00092747406
4587520,11248,524.2,17.66545867919922,35,407,1870,0.00507049560546875,0.1,-0.0012817112386983355,1e-06,0.9463897943496704,0.1824108064174652,0.8705649971961975,0.2,6.794532162323594,0.5682369946502149,0.0008570423
4718592,11229,540.05,18.86699867248535,36,420,1880,0.008343505859375,0.1,-0.0015129430311390025,1e-06,0.8965330719947815,0.18258261680603027,0.8843950629234314,0.2,6.772039727121592,0.4924486133502796,0.0009757305
4849664,11219,557.75,19.58110809326172,37,432,1890,0.006900787353515625,0.1,-0.0012526577264907247,1e-06,0.9078460931777954,0.18275976181030273,0.8704559206962585,0.2,6.749072733521461,0.5145894134417176,0.00091254595
4980736,11202,497.22,17.14501953125,38,444,1900,0.005112457275390625,0.1,-0.0013279122086714778,1e-06,0.953610897064209,0.18293070793151855,0.8636840581893921,0.2,6.726260013505817,0.6147285789018497,0.00088210445
5111808,11192,637.79,23.330608367919922,39,456,1910,0.005670928955078125,0.1,-0.001344869960394135,1e-06,0.8716126680374146,0.18310537934303284,0.8874232769012451,0.2,6.703587172552943,0.5075860981829464,0.0008669294
5242880,11186,606.66,21.99066734313965,40,468,1920,0.00521087646484375,0.1,-0.0011717786908775451,1e-06,0.8333680629730225,0.18327920138835907,0.8560607433319092,0.2,6.680742155760527,0.5483875279547646,0.00083570473
5373952,11175,622.31,22.869922637939453,41,480,1930,0.007025146484375,0.1,-0.0012871623217506566,1e-06,0.9104255437850952,0.1834489405155182,0.8559542894363403,0.2,6.65829553231597,0.5471863976214081,0.0009187883
5505024,11175,541.12,18.731029510498047,42,492,1940,0.004108428955078125,0.1,-0.001145553332844429,1e-06,0.9570332765579224,0.18362557888031006,0.8539932370185852,0.2,6.635579532384872,0.6036230377387255,0.00081062
5636096,11168,616.54,22.31882095336914,43,504,1950,0.006206512451171875,0.1,-0.0014092383802562836,1e-06,0.8969737887382507,0.18379506468772888,0.8898906707763672,0.2,6.613031309098005,0.5084697479149327,0.0009004745
5767168,11165,595.05,21.096261978149414,44,516,1960,0.006707763671875,0.1,-0.0012539858760646893,1e-06,0.7705460786819458,0.18396630883216858,0.8654075860977173,0.2,6.590747921913862,0.5323775968747213,0.0009542418
5898240,11163,571.07,20.225793838500977,45,528,1970,0.005377197265625,0.1,-0.0013477637566211343,1e-06,0.875419020652771,0.18414096534252167,0.8619663715362549,0.2,6.568216904997826,0.5819259081501513,0.00087909284
