rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/clip_range,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range_vf,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/n_updates
27.197376251220703,175,5977,32,1048576,888.12,8.635040521621704,0.023828125,0.3,0.41509057879447936,-0.0015588724636472762,0.13607336580753326,0.3,0.005888286,0.8774780631065369,0.0001,0.38203954696655273,31
26.907487869262695,180,5978,33,1081344,886.49,8.633817232572115,0.01141826923076923,0.3,0.4793487259974846,-0.004750316568578665,0.1360858529806137,0.3,0.004291513,0.7593021988868713,0.0001,0.5126953721046448,32
27.421438217163086,186,5979,34,1114112,893.6,8.633001387119293,0.0146484375,0.3,0.4156262259930372,-0.0009099829767365009,0.1360863298177719,0.3,0.0048672743,0.8506684303283691,0.0001,0.6056053638458252,33
29.223264694213867,191,5977,35,1146880,911.23,8.632855483463832,0.018973214285714284,0.3,0.47693117814404623,-0.004450182962630477,0.13608533143997192,0.3,0.005303222,0.8381655812263489,0.0001,0.431000292301178,34
28.5467472076416,197,5969,36,1179648,899.48,8.632757579579073,0.019301470588235295,0.3,0.43654191844603596,0.0004659175653668011,0.13609690964221954,0.3,0.005500225,0.8184922933578491,0.0001,0.4099965989589691,35
30.419635772705078,203,5970,37,1212416,936.01,8.630573431650797,0.018663194444444444,0.3,0.5082417246368196,-0.0014099426981475619,0.13611681759357452,0.3,0.0054162336,0.8256024122238159,0.0001,0.5372996926307678,36
29.8934326171875,208,5973,38,1245184,936.3,8.628901852501762,0.025607638888888888,0.3,0.3864331576559279,-0.003963098887147175,0.13612890243530273,0.3,0.006367687,0.7513748407363892,0.0001,0.39227110147476196,37
30.9116153717041,213,5975,39,1277952,940.11,8.626069795517694,0.026041666666666668,0.3,0.573788447039468,-0.00045548610034443085,0.13617247343063354,0.3,0.0065403273,0.7682273387908936,0.0001,0.6029183268547058,38
30.312551498413086,219,5976,40,1310720,926.44,8.621096338544573,0.019810267857142856,0.3,0.5229381078055927,0.0023690080436478767,0.1362101286649704,0.3,0.0064504347,0.7824596166610718,0.0001,0.36101481318473816,39
30.76580810546875,224,5975,41,1343488,923.6,8.617988586425781,0.024016203703703703,0.3,0.5475018068596169,0.0027757898076540893,0.13623346388339996,0.3,0.0064997366,0.7729319334030151,0.0001,0.601237952709198,40
31.134862899780273,230,5975,42,1376256,926.92,8.617066036571156,0.01455965909090909,0.3,0.47846714745868335,-0.0003122145691039887,0.13622623682022095,0.3,0.0049591083,0.8058161735534668,0.0001,0.6819356083869934,41
31.22446060180664,235,5976,43,1409024,916.48,8.617110557556153,0.0175,0.3,0.45052615165710447,0.001985471807420254,0.13623814284801483,0.3,0.0055412147,0.7977157235145569,0.0001,0.46898311376571655,42
31.338754653930664,241,5977,44,1441792,914.51,8.615143685113816,0.018229166666666668,0.3,0.436394269267718,-0.0032276207182024208,0.13625924289226532,0.3,0.0053999615,0.8373855948448181,0.0001,0.4671763479709625,43
31.858449935913086,246,5979,45,1474560,922.13,8.613841558757581,0.013157894736842105,0.3,0.4125637804207049,-0.00019575062354928568,0.13626576960086823,0.3,0.0048841774,0.8195490837097168,0.0001,0.4117894768714905,44
30.881921768188477,252,5979,46,1507328,902.62,8.61175807317098,0.022786458333333332,0.3,0.4533467081685861,-0.0014423893687004845,0.13628940284252167,0.3,0.0061085466,0.779220700263977,0.0001,0.3553340435028076,45
31.869413375854492,257,5977,47,1540096,920.27,8.610473251342773,0.015625,0.3,0.4119393423199654,-0.0011345536448061466,0.136293426156044,0.3,0.004924968,0.8705278038978577,0.0001,0.517966628074646,46
31.94382095336914,263,5978,48,1572864,925.49,8.610100209712982,0.0263671875,0.3,0.39796001836657524,-0.001870013977168128,0.13629314303398132,0.3,0.0064843995,0.7853790521621704,0.0001,0.522189736366272,47
33.72557067871094,268,5979,49,1605632,960.06,8.61054163393767,0.024796195652173912,0.3,0.4316192042568456,0.0005766085510992485,0.13629184663295746,0.3,0.006299784,0.8293429017066956,0.0001,0.8953466415405273,48
33.7091178894043,273,5981,50,1638400,961.57,8.60945987701416,0.020148026315789474,0.3,0.4421204940268868,-0.0005396292299816483,0.13630439341068268,0.3,0.005722636,0.7349091172218323,0.0001,0.33266738057136536,49
34.534549713134766,279,5981,51,1671168,972.32,8.607954368591308,0.0271875,0.3,0.47465878546237944,0.0011361913196742534,0.13632576167583466,0.3,0.0065398123,0.7664573788642883,0.0001,0.4515237808227539,50
34.12574768066406,284,5981,52,1703936,963.18,8.605973472595215,0.0265625,0.3,0.536312506198883,-0.0009792326297610998,0.1363392472267151,0.3,0.006278242,0.7326638698577881,0.0001,0.9188810586929321,51
34.483707427978516,290,5980,53,1736704,966.3,8.604942917823792,0.0234375,0.3,0.40572336440285045,-0.0032868541311472654,0.13634498417377472,0.3,0.0059681423,0.7680919170379639,0.0001,0.45523568987846375,52
34.80775833129883,295,5982,54,1769472,972.86,8.603474617004395,0.012276785714285714,0.3,0.4155872166156769,-0.0011354593471402214,0.13635770976543427,0.3,0.005027642,0.7110163569450378,0.0001,0.36011749505996704,53
35.365203857421875,301,5982,55,1802240,982.21,8.603039940198263,0.027018229166666668,0.3,0.6093442142009735,0.0003325368355338772,0.13635972142219543,0.3,0.0063496693,0.6766995191574097,0.0001,0.5715370178222656,54
35.178382873535156,306,5983,56,1835008,979.42,8.60203468799591,0.0205078125,0.3,0.4428660615036885,-0.00333678288734518,0.13637736439704895,0.3,0.0054279366,0.7330416440963745,0.0001,0.6612535119056702,55
35.19175720214844,312,5984,57,1867776,979.62,8.599646485370139,0.018002717391304348,0.3,0.44917772256809735,0.0009691151587859443,0.13639838993549347,0.3,0.0057853344,0.786209762096405,0.0001,0.6420446634292603,56
35.028812408447266,317,5982,58,1900544,975.52,8.597971240679422,0.020833333333333332,0.3,0.37470253308614093,-0.0010585103106374543,0.13641676306724548,0.3,0.00575665,0.7888386845588684,0.0001,0.6687988638877869,57
