rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/learning_rate,train/entropy_loss,train/std,train/loss,train/clip_range_vf,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/approx_kl
517.65,18.733476638793945,2792,7208960,2581,55,4000,5e-06,-10.930737510323524,0.38239941000938416,0.0516057014465332,0.2,0.6148173826979473,-0.0021741341912274947,0.881168007850647,0.1,0.03967437744140625,0.0016125431
497.9,18.147293090820312,2843,7340032,2581,56,4010,5e-06,-11.039324307441712,0.38412174582481384,0.04917246103286743,0.2,0.6117275403812528,-0.002343929061498784,0.883979320526123,0.1,0.045671844482421876,0.0016916129
545.23,20.230270385742188,2893,7471104,2581,57,4020,5e-06,-11.147664184123277,0.3858698308467865,0.011993050575256348,0.2,0.5783755863783882,-0.0020269772051506154,0.8877402544021606,0.1,0.03762741088867187,0.0015630575
551.36,20.27300262451172,2944,7602176,2581,58,4030,5e-06,-11.256228113174439,0.387610524892807,-0.03757905960083008,0.2,0.5835827238392085,-0.0022698699988723094,0.8793767690658569,0.1,0.041951751708984374,0.0016332273
548.47,20.440288543701172,2995,7733248,2581,59,4040,5e-06,-11.364979228377342,0.3893817365169525,-0.007485806941986084,0.2,0.5322204605676234,-0.0023224782127272193,0.8888000845909119,0.1,0.04254913330078125,0.0016417634
575.65,21.356294631958008,3045,7864320,2581,60,4050,5e-06,-11.473225801438094,0.39112934470176697,0.16148650646209717,0.2,0.578270325018093,-0.002133125301315886,0.8716509938240051,0.1,0.0415771484375,0.0015989918
593.92,21.754837036132812,3096,7995392,2581,61,4060,5e-06,-11.58130911886692,0.3929031789302826,0.013447999954223633,0.2,0.6181680873734876,-0.001978616587575743,0.8516203761100769,0.1,0.035491943359375,0.0015201385
534.48,19.898630142211914,3147,8126464,2581,62,4070,5e-06,-11.690217827260494,0.39469337463378906,0.09878242015838623,0.2,0.605043121566996,-0.0023209628805943793,0.8740089535713196,0.1,0.043914794921875,0.0016669342
525.5,19.344514846801758,3197,8257536,2582,63,4080,5e-06,-11.798492722958326,0.3964634835720062,0.030909359455108643,0.2,0.6117567595560104,-0.002240556477954669,0.8697206974029541,0.1,0.04188995361328125,0.0016436563
490.55,18.020246505737305,3248,8388608,2582,64,4090,5e-06,-11.906724999845029,0.39827093482017517,-0.002787768840789795,0.2,0.5955570549005642,-0.002185992817794613,0.8754076957702637,0.1,0.04216461181640625,0.0016084302
492.87,18.164880752563477,3299,8519680,2582,65,4100,5e-06,-12.015522781014443,0.40007784962654114,-0.0244637131690979,0.2,0.6254470043350011,-0.0022271219554113484,0.8800873756408691,0.1,0.041202545166015625,0.0015999298
540.27,19.985889434814453,3350,8650752,2582,66,4110,5e-06,-12.123866405338049,0.401879221200943,0.040535926818847656,0.2,0.5930232612416149,-0.0024540536560380133,0.8796480298042297,0.1,0.04400558471679687,0.0016942808
540.33,20.02164077758789,3400,8781824,2582,67,4120,5e-06,-12.231873553991317,0.4036973714828491,-0.08775973320007324,0.2,0.5819605099037289,-0.002129292575500585,0.8834231495857239,0.1,0.03925933837890625,0.0016012073
588.72,21.239538192749023,3451,8912896,2582,68,4130,5e-06,-12.340201772749424,0.4055180549621582,-0.13903692364692688,0.2,0.5595816087676212,-0.0021142251637229492,0.8865476250648499,0.1,0.0388671875,0.0015836351
