time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/value_loss,train/std,train/n_updates,train/learning_rate,train/adaptive_lr,train/loss,train/clip_range_vf,train/clip_range
3440,53,476.8,6946816,18.48737144470215,2019,0.0011310691109429171,0.24554519653320311,0.9101991057395935,35.32683310806751,0.005678636,0.5244077680166811,0.058945637196302414,520,5e-05,5e-05,0.7987143397331238,0.2,0.1
3506,54,449.29,7077888,17.401281356811523,2018,0.0008061968359697857,0.24479522705078124,0.9125931859016418,35.24268515110016,0.00574797,0.4839998501120135,0.05914286524057388,530,5e-05,5e-05,0.7795630693435669,0.2,0.1
3571,55,483.32,7208960,18.580970764160156,2018,0.00084227803149588,0.24244155883789062,0.919843316078186,35.15961464345455,0.005664087,0.4520839725388214,0.05934140831232071,540,5e-05,5e-05,0.7762919664382935,0.2,0.1
3636,56,470.49,7340032,17.916461944580078,2018,0.0008523270205841981,0.2433135986328125,0.918755829334259,35.06558998823166,0.0056210626,0.4359959571622312,0.05956750735640526,550,5e-05,5e-05,0.7651718854904175,0.2,0.1
3702,57,477.47,7471104,18.21699333190918,2017,0.0006843310459771601,0.24131622314453124,0.9261131286621094,34.976814684271815,0.005670891,0.4024869952816516,0.05977854132652283,560,5e-05,5e-05,0.7068355679512024,0.2,0.1
3768,58,533.31,7602176,20.22796630859375,2017,0.0006839068158114969,0.23697662353515625,0.9204944372177124,34.88629877269268,0.00573208,0.4312331600813195,0.05999596044421196,570,5e-05,5e-05,0.8111515045166016,0.2,0.1
3834,59,525.79,7733248,20.016691207885742,2016,0.0004391587639474892,0.24165802001953124,0.9227964878082275,34.80217435956001,0.005592716,0.39683940245304256,0.06019246205687523,580,5e-05,5e-05,0.8294607400894165,0.2,0.1
3899,60,545.09,7864320,20.818567276000977,2016,0.0005991386057758064,0.23588409423828124,0.9169463515281677,34.71650278270245,0.005651829,0.401045596646145,0.06039905175566673,590,5e-05,5e-05,0.7099127173423767,0.2,0.1
3964,61,520.2,7995392,20.222105026245117,2016,0.0005813547039224432,0.2400848388671875,0.9173427820205688,34.624786430597304,0.005597537,0.39620941118337216,0.060632385313510895,600,5e-05,5e-05,0.7218557596206665,0.2,0.1
4030,62,501.79,8126464,19.378442764282227,2016,0.0006284736748057185,0.23728179931640625,0.9165170788764954,34.53889153003693,0.005592638,0.4135108590358868,0.06082284823060036,610,5e-05,5e-05,0.7287411689758301,0.2,0.1
