time/fps,train/action_std_19,rollout/force_onset_mean,train/action_std_05,time/iterations,train/action_std_14,train/action_std_06,train/action_std_11,train/action_std_15,train/action_std_18,rollout/episodes_left,train/action_std_23,train/action_std_08,train/action_std_09,train/action_std_03,train/action_std_00,train/action_std_22,train/action_std_20,rollout/recovery_left,rollout/is_fall_mean,rollout/is_timeout_mean,rollout/ep_len_mean,train/action_std_16,train/action_std_21,rollout/action_saturation_fraction,time/total_timesteps,rollout/recovery_fwd,train/action_std_12,train/action_std_04,train/std_max,train/action_std_17,train/action_std_02,train/std_min,time/time_elapsed,rollout/force_requested_impulse_mean,rollout/force_direction_mean,rollout/episodes_fwd,rollout/ep_rew_mean,train/action_std_01,train/action_std_07,train/action_std_10,train/action_std_24,train/action_std_13,train/clip_range_vf,train/n_updates,rollout/episodes_down,rollout/timeouts,rollout/timeout_without_onset_fraction,train/clip_range,rollout/recovery_right,rollout/episodes_up,rollout/recovery_noforce,train/learning_rate,rollout/episodes_back,rollout/recovery_back,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,rollout/recovery_up,rollout/episodes_noforce,train/std,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,rollout/episodes_right,rollout/recovery_down
4910,0.09569530934095383,1.4456266666666677,0.09432071447372437,23,0.09310903400182724,0.09488891065120697,0.09669502079486847,0.09489227831363678,0.09274269640445709,13,0.09506306797266006,0.09472665935754776,0.09606430679559708,0.09613261371850967,0.09200659394264221,0.09372175484895706,0.09472864866256714,0.7692307692307693,0.10666666666666667,0.8933333333333333,933.91,0.0946207344532013,0.09371167421340942,0.0,3014656,0.9,0.09618162363767624,0.09228479117155075,0.09743190556764603,0.09612710773944855,0.09401609003543854,0.09123591333627701,613,1.2090454000118194,2.1066666666666665,10,661.5908813476562,0.09682963788509369,0.09344989061355591,0.09244506061077118,0.09743190556764603,0.09123591333627701,0.2,2980,9,67,0.0,0.1,0.6666666666666666,12,1.0,1e-05,11,1.0,0.10685272216796875,0.0022967441,-0.003240337387615,1.0,8,0.09452487528324127,23.52979500591755,0.3419025242328644,0.8132500648498535,0.057793293375289066,12,1.0
4903,0.09598352015018463,1.428244680851065,0.09464766830205917,24,0.09339539706707001,0.09510999917984009,0.09699033945798874,0.09514167904853821,0.09305873513221741,29,0.0952669084072113,0.09493278712034225,0.09628698229789734,0.09636258333921432,0.09205219149589539,0.09397425502538681,0.09495401382446289,0.7931034482758621,0.0425531914893617,0.9574468085106383,987.2,0.09476058930158615,0.09385336935520172,0.0,3145728,0.9444444444444444,0.09649167209863663,0.09255694597959518,0.09779742360115051,0.09637560695409775,0.09447803348302841,0.09147921204566956,641,1.0149429173022688,1.75,18,706.918212890625,0.0970190092921257,0.09376077353954315,0.09274908900260925,0.09779742360115051,0.09147921204566956,0.2,2990,24,180,0.0,0.1,0.9583333333333334,24,1.0,1e-05,26,1.0,0.11663055419921875,0.0025173887,-0.003206869606856344,1.0,43,0.09477914869785309,23.466946539282798,0.34307512640953064,0.7180031538009644,0.0803645643100026,24,1.0
4904,0.09626838564872742,1.4282777777777786,0.09492316842079163,25,0.09349259734153748,0.09527534991502762,0.09708567708730698,0.09545508772134781,0.09318462759256363,13,0.09544296562671661,0.0952673852443695,0.09657929092645645,0.09658120572566986,0.09222573786973953,0.09411150217056274,0.09513596445322037,0.7692307692307693,0.05555555555555555,0.9444444444444444,979.05,0.0950251966714859,0.09409429132938385,0.0,3276800,0.8333333333333334,0.09673178195953369,0.09268342703580856,0.09812033176422119,0.09661968797445297,0.09471471607685089,0.09185867011547089,668,1.068894789780054,1.9027777777777777,6,697.0878295898438,0.09724529832601547,0.09402488172054291,0.0928967148065567,0.09812033176422119,0.09185867011547089,0.2,3000,12,68,0.0,0.1,1.0,8,1.0,1e-05,12,1.0,0.10528030395507812,0.002245819,-0.0034556961592898004,1.0,14,0.09500174969434738,23.405040089786052,0.2838611304759979,0.8270912170410156,0.07481309926806716,7,1.0
4898,0.09648739546537399,1.4299270833333342,0.09512729942798615,26,0.09376479685306549,0.09543859213590622,0.09736140072345734,0.09567008167505264,0.09345439821481705,33,0.09568066149950027,0.09552314132452011,0.09679999947547913,0.09674806147813797,0.09234067052602768,0.09433306008577347,0.09535907208919525,0.8484848484848485,0.046875,0.953125,947.95,0.09519561380147934,0.09427808970212936,0.0,3407872,1.0,0.09698735177516937,0.09281878918409348,0.09846126288175583,0.0968378335237503,0.09491080790758133,0.0920335203409195,695,1.0167338800358972,1.8072916666666667,26,674.4935913085938,0.09747323393821716,0.09417692571878433,0.09302663803100586,0.09846126288175583,0.0920335203409195,0.2,3010,22,183,0.0,0.1,0.7777777777777778,34,1.0,1e-05,20,1.0,0.10701980590820312,0.002252989,-0.003228168322948477,1.0,39,0.09521154314279556,23.347389562428,0.2768445909023285,0.7975857257843018,0.043502970116242067,18,1.0
4899,0.09671342372894287,1.411948051948053,0.09542382508516312,27,0.09417670220136642,0.09554976969957352,0.09778083115816116,0.09589746594429016,0.09369337558746338,9,0.09588758647441864,0.0957852452993393,0.09698180109262466,0.09682317823171616,0.09254761040210724,0.09448900073766708,0.09547466784715652,0.7777777777777778,0.11688311688311688,0.8831168831168831,946.34,0.0953909382224083,0.09463733434677124,0.0,3538944,0.8461538461538461,0.09726101160049438,0.09306371212005615,0.09892725944519043,0.09710424393415451,0.09507274627685547,0.09224904328584671,722,1.0139004216927272,1.7792207792207793,13,670.1057739257812,0.09778579324483871,0.09440010786056519,0.09329357743263245,0.09892725944519043,0.09224904328584671,0.2,3020,10,68,0.0,0.1,0.7222222222222222,6,1.0,1e-05,6,1.0,0.12160491943359375,0.0024560553,-0.003286611283874663,1.0,15,0.09545640647411346,23.28760408759117,0.32505548000335693,0.7385814189910889,0.08915326429269044,18,1.0
4895,0.09692054986953735,1.4220769230769241,0.0956861823797226,28,0.09456808865070343,0.09572620689868927,0.09796042740345001,0.09609133750200272,0.0939459353685379,24,0.09629568457603455,0.09598074853420258,0.0972774550318718,0.0970584824681282,0.0925956591963768,0.09478960186243057,0.09566255658864975,0.9166666666666666,0.03296703296703297,0.967032967032967,988.18,0.09563512355089188,0.0948374792933464,0.0,3670016,0.875,0.09747178852558136,0.09329450875520706,0.09918269515037537,0.09731171280145645,0.09511653333902359,0.09250688552856445,749,0.9959434121713505,1.7912087912087913,24,709.2938232421875,0.09809189289808273,0.09475710242986679,0.0936141088604927,0.09918269515037537,0.09250688552856445,0.2,3030,21,176,0.0,0.1,1.0,22,1.0,1e-05,32,1.0,0.113372802734375,0.0023266873,-0.003458818280887499,0.9545454545454546,31,0.09569515287876129,23.22518711835146,0.27482032775878906,0.8392542600631714,0.0665474620720488,28,1.0
4895,0.09714514017105103,1.4027407407407415,0.09592151641845703,29,0.09478311240673065,0.09598299115896225,0.09812361001968384,0.09620336443185806,0.09419500082731247,11,0.09668220579624176,0.09614033252000809,0.0976247787475586,0.09727782756090164,0.09276305884122849,0.0949767529964447,0.09582769125699997,0.5454545454545454,0.07407407407407407,0.9259259259259259,970.12,0.09583012759685516,0.09509718418121338,0.0,3801088,1.0,0.0978187620639801,0.09341107308864594,0.09949812293052673,0.09747869521379471,0.09536139667034149,0.09276305884122849,776,1.0589647016754478,1.7530864197530864,12,696.735595703125,0.09816982597112656,0.09498599171638489,0.093824103474617,0.09949812293052673,0.09277788549661636,0.2,3040,7,75,0.0,0.1,0.9333333333333333,10,1.0,1e-05,13,1.0,0.1141204833984375,0.0023241653,-0.003858401981597126,1.0,13,0.0959160178899765,23.165239307284356,0.3306235671043396,0.7964151501655579,0.07189340590848588,15,1.0
4891,0.09734538942575455,1.4244333333333348,0.09620113670825958,30,0.09503152221441269,0.09617086499929428,0.09847335517406464,0.09636759012937546,0.09440989792346954,21,0.09676697850227356,0.09636297076940536,0.09787385910749435,0.09746010601520538,0.092928946018219,0.0951652079820633,0.09606746584177017,0.7142857142857143,0.06666666666666667,0.9333333333333333,967.68,0.09611540287733078,0.09530948102474213,0.0,3932160,0.95,0.09805801510810852,0.09366632997989655,0.09988731890916824,0.09778758138418198,0.09549740701913834,0.09290511906147003,803,1.046391952701519,2.0388888888888888,20,687.429931640625,0.09827803820371628,0.095225989818573,0.09397362917661667,0.09988731890916824,0.09290511906147003,0.2,3050,31,168,0.0,0.1,0.8333333333333334,22,1.0,1e-05,24,1.0,0.10730133056640626,0.0023231301,-0.0034067118423990904,1.0,32,0.09613317996263504,23.108323599398137,0.2761482894420624,0.8343195915222168,0.05844218619822641,30,1.0
4890,0.09766288846731186,1.4269885057471274,0.09646199643611908,31,0.09542596340179443,0.0964030995965004,0.09887538105249405,0.09659789502620697,0.09459857642650604,12,0.09713517874479294,0.0965205505490303,0.09796757251024246,0.0977926254272461,0.09310445189476013,0.09543276578187943,0.09629503637552261,0.6666666666666666,0.05747126436781609,0.9425287356321839,964.19,0.09618779271841049,0.09540216624736786,0.0,4063232,0.9375,0.09831003099679947,0.0939672663807869,0.10009908676147461,0.0978807657957077,0.09565014392137527,0.09310445189476013,830,1.0691199063491392,1.7241379310344827,16,688.642822265625,0.09851773083209991,0.09562031924724579,0.09417147189378738,0.10009908676147461,0.09314746409654617,0.2,3060,7,82,0.0,0.1,1.0,13,1.0,1e-05,13,1.0,0.1073638916015625,0.0023565595,-0.0035751032432926877,1.0,13,0.09636913239955902,23.04866397678852,0.26826488971710205,0.8549830913543701,0.07789204075670568,13,1.0
4887,0.0978223979473114,1.4125977011494262,0.09672702848911285,32,0.09561364352703094,0.09662432223558426,0.09917432069778442,0.09682769328355789,0.09490031003952026,21,0.09741801768541336,0.09678398072719574,0.09819363057613373,0.09793270379304886,0.09338804334402084,0.09548841416835785,0.09654363244771957,1.0,0.017241379310344827,0.9827586206896551,991.96,0.09635481983423233,0.09566698223352432,0.0,4194304,1.0,0.09862817078828812,0.09414549916982651,0.10029517114162445,0.09811417758464813,0.09591790288686752,0.09333295375108719,858,0.973338604328287,1.6436781609195403,25,712.5978393554688,0.09866843372583389,0.09591523557901382,0.09449812769889832,0.10029517114162445,0.09333295375108719,0.2,3070,21,171,0.0,0.1,0.88,18,1.0,1e-05,28,1.0,0.10890274047851563,0.0023109233,-0.003286873764682241,1.0,36,0.0965990200638771,22.98787155151367,0.26999616622924805,0.831790030002594,0.05480201704340289,25,1.0
4887,0.09815417230129242,1.4173118279569905,0.09692900627851486,33,0.09592476487159729,0.09687931090593338,0.09934341162443161,0.09699049592018127,0.09508886188268661,14,0.09772519022226334,0.09707720577716827,0.09826330095529556,0.09814691543579102,0.09360803663730621,0.09562349319458008,0.09670689702033997,0.8571428571428571,0.043010752688172046,0.956989247311828,978.7,0.09661448746919632,0.09589824080467224,0.0,4325376,1.0,0.09886793792247772,0.09432575851678848,0.10045080631971359,0.09826705604791641,0.09613563120365143,0.09354563802480698,885,1.0169503036264669,2.021505376344086,12,702.8493041992188,0.09888692945241928,0.09605372697114944,0.09470558911561966,0.10045080631971359,0.09354563802480698,0.2,3080,18,89,0.0,0.1,0.8181818181818182,11,1.0,1e-05,10,1.0,0.09910202026367188,0.0021355099,-0.0034648218443180667,1.0,17,0.09680850803852081,22.931494565308093,0.2790166437625885,0.8533658385276794,0.04388367811479839,11,1.0
4885,0.09844492375850677,1.4241058823529422,0.09718786180019379,34,0.09609106183052063,0.09717457741498947,0.09957311302423477,0.09724373370409012,0.09533637017011642,21,0.0978250801563263,0.09728063642978668,0.09836596995592117,0.09850599616765976,0.09362845867872238,0.09603406488895416,0.09694358706474304,0.7619047619047619,0.058823529411764705,0.9411764705882353,963.58,0.096916064620018,0.09617364406585693,0.0,4456448,0.9545454545454546,0.09903652966022491,0.09457298368215561,0.10066591203212738,0.09859640896320343,0.096426822245121,0.09362845867872238,912,1.0449691459474975,1.9705882352941178,22,690.8831176757812,0.09919331222772598,0.09629875421524048,0.09500393271446228,0.10066591203212738,0.09373889118432999,0.2,3090,24,160,0.0,0.1,0.8571428571428571,22,1.0,1e-05,27,1.0,0.10959701538085938,0.002300652,-0.0032561423871811713,1.0,26,0.09705033898353577,22.872518625855445,0.2634855806827545,0.7800421714782715,0.05833298977231607,28,1.0
4884,0.09868800640106201,1.4237400000000011,0.09741771221160889,35,0.09642817825078964,0.0975743979215622,0.09976914525032043,0.09757360816001892,0.09552247822284698,14,0.09806287288665771,0.09743203967809677,0.09858953952789307,0.09878332167863846,0.09378275275230408,0.0962144210934639,0.09726379811763763,0.9285714285714286,0.06,0.94,973.47,0.09718797355890274,0.09642674773931503,0.0,4587520,0.9,0.09912257641553879,0.09489744156599045,0.1009678840637207,0.09888056665658951,0.09672573953866959,0.09378275275230408,939,0.9927702408158132,1.87,10,697.1429443359375,0.09941579401493073,0.09657300263643265,0.09530546516180038,0.1009678840637207,0.09391241520643234,0.2,3100,15,94,0.0,0.1,0.8095238095238095,7,1.0,1e-05,13,1.0,0.11460037231445312,0.002352234,-0.0038067804995080222,1.0,20,0.09730071574449539,22.81092231720686,0.2896753251552582,0.8285701870918274,0.08685215967416297,21,1.0
4883,0.09884702414274216,1.4244023668639063,0.09765052795410156,36,0.09674335271120071,0.0979001373052597,0.09989336878061295,0.0977545976638794,0.09569180011749268,18,0.0982268825173378,0.09763862937688828,0.0988236516714096,0.09897179901599884,0.09389613568782806,0.09644700586795807,0.09754741191864014,0.6111111111111112,0.05325443786982249,0.9467455621301775,959.5,0.09742186963558197,0.0966731458902359,0.0,4718592,1.0,0.0992966741323471,0.09520614892244339,0.10118228942155838,0.09905264526605606,0.09693318605422974,0.09389613568782806,966,1.0054232126404472,1.5917159763313609,27,683.6404418945312,0.09981920570135117,0.09677145630121231,0.09548325091600418,0.10118228942155838,0.09415165334939957,0.2,3110,19,160,0.0,0.1,0.9166666666666666,21,1.0,1e-05,21,1.0,0.10337142944335938,0.0022538323,-0.0034990979683243496,1.0,39,0.09752096235752106,22.74969475120306,0.2739264667034149,0.837928056716919,0.04388448448007694,24,1.0
4883,0.09913531690835953,1.4069126213592242,0.09780248254537582,37,0.09701783210039139,0.09837739914655685,0.1002991646528244,0.09795206040143967,0.09602927416563034,20,0.09849183261394501,0.09793079644441605,0.09912265092134476,0.0990854799747467,0.09401492774486542,0.0967094823718071,0.09776541590690613,0.95,0.05825242718446602,0.941747572815534,982.6,0.09771405905485153,0.09693164378404617,0.0,4849664,0.8333333333333334,0.099541075527668,0.09546369314193726,0.10127740353345871,0.09948623925447464,0.0970730409026146,0.09401492774486542,993,1.076999776513813,2.0485436893203883,12,707.102294921875,0.09998452663421631,0.09691157937049866,0.09580664336681366,0.10127740353345871,0.09430868923664093,0.2,3120,16,97,0.0,0.1,0.8125,10,1.0,1e-05,16,1.0,0.11263351440429688,0.0023988392,-0.0033150770060274225,1.0,13,0.09776929765939713,22.689266633987426,0.27120381593704224,0.8577123880386353,0.0719028268227703,16,1.0
4882,0.09951470792293549,1.4298589743589754,0.09808580577373505,38,0.09711070358753204,0.09871410578489304,0.10030648112297058,0.0982193648815155,0.09621469676494598,20,0.09865877032279968,0.09816650301218033,0.09939415752887726,0.0993400514125824,0.09423438459634781,0.09691650420427322,0.0979229211807251,1.0,0.01282051282051282,0.9871794871794872,984.89,0.09802161157131195,0.0971032977104187,0.0,4980736,0.9523809523809523,0.09980161488056183,0.09574417024850845,0.10153936594724655,0.09978433698415756,0.09748901426792145,0.09423438459634781,1020,1.0440384707755423,1.8653846153846154,21,705.3057250976562,0.10026106983423233,0.09708864241838455,0.09610123187303543,0.10153936594724655,0.09441538900136948,0.2,3130,26,154,0.0,0.1,0.9565217391304348,16,1.0,1e-05,19,1.0,0.105584716796875,0.0022262922,-0.0033744296488293912,1.0,31,0.09800595790147781,22.626970517635346,0.2702349126338959,0.7886730432510376,0.056153916238690725,23,1.0
4881,0.09967518597841263,1.4193333333333344,0.09837871044874191,39,0.09733805060386658,0.09904155135154724,0.10045035928487778,0.09852926433086395,0.09641280025243759,22,0.09891477972269058,0.09835021197795868,0.09958650171756744,0.0994962751865387,0.09436653554439545,0.09714312106370926,0.09813135117292404,0.7272727272727273,0.06306306306306306,0.9369369369369369,982.89,0.09809990972280502,0.09735558182001114,0.0,5111808,1.0,0.09996204823255539,0.09599454700946808,0.10176211595535278,0.09999322146177292,0.0977344661951065,0.09436653554439545,1047,1.025495594515354,1.5855855855855856,22,699.25732421875,0.10050157457590103,0.09723564237356186,0.09627748280763626,0.10176211595535278,0.09469890594482422,0.2,3140,11,104,0.0,0.1,0.8888888888888888,13,1.0,1e-05,16,1.0,0.10316238403320313,0.0021952558,-0.0031006144472485175,1.0,18,0.0982171967625618,22.56976208537817,0.2622896134853363,0.8195155262947083,0.029572910517890703,9,1.0
4880,0.09979478269815445,1.4324666666666679,0.098725326359272,40,0.09747674316167831,0.09915297478437424,0.10073140263557434,0.09880010038614273,0.09660140424966812,14,0.09916240721940994,0.09856399893760681,0.09974954277276993,0.0997493788599968,0.09441586583852768,0.09734918922185898,0.09839355945587158,0.9285714285714286,0.006666666666666667,0.9933333333333333,995.72,0.09834662824869156,0.09752753376960754,0.0,5242880,1.0,0.10019966214895248,0.09609981626272202,0.10195048898458481,0.10018260776996613,0.09789592027664185,0.09441586583852768,1074,1.0447441846298307,1.84,20,711.1560668945312,0.10077346861362457,0.09759935736656189,0.09656612575054169,0.10195048898458481,0.09507407993078232,0.2,3150,17,149,0.0,0.1,1.0,20,1.0,1e-05,21,1.0,0.111492919921875,0.0023017216,-0.0033403527842892798,1.0,28,0.09843529760837555,22.515757562220095,0.2904764413833618,0.8188329339027405,0.05620613203500398,30,1.0
