time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_range_vf
4325376,573,832.63,38.60551452636719,7540,33,1e-06,0.0243377685546875,0.8842602968215942,-0.0020176487031676516,0.6113300246419385,1850,0.06799271702766418,0.85406094789505,0.1,0.0012258965,31.739461226761343,0.2
4456448,591,743.97,34.362335205078125,7535,34,1e-06,0.027399444580078126,1.128948450088501,-0.0021097204057696217,0.7527931714430451,1860,0.06801294535398483,0.8379788398742676,0.1,0.0012674138,31.73264701962471,0.2
4587520,608,791.96,36.599239349365234,7535,35,1e-06,0.025380706787109374,1.0471407175064087,-0.0020756947881636735,0.6585689866915345,1870,0.06802943348884583,0.8820299506187439,0.1,0.0012182102,31.725912012159824,0.2
4718592,626,807.81,37.564334869384766,7533,36,1e-06,0.02639923095703125,0.9870535731315613,-0.002173604365543724,0.6162290121661499,1880,0.06804639846086502,0.8866898417472839,0.1,0.001268005,31.71980090588331,0.2
4849664,643,763.66,35.2979850769043,7532,37,1e-06,0.023047637939453126,0.8206695318222046,-0.002007110194517736,0.6132212345488369,1890,0.0680648535490036,0.8739428520202637,0.1,0.0011771612,31.71325743496418,0.2
4980736,661,829.32,38.766448974609375,7532,38,1e-06,0.02556915283203125,0.9218044281005859,-0.0021389953406469433,0.6410157111939043,1900,0.0680808573961258,0.8770476579666138,0.1,0.0012252529,31.706926050782204,0.2
5111808,678,859.0,40.04716873168945,7529,39,1e-06,0.0275634765625,0.957295835018158,-0.0021716703905440226,0.6413651226321235,1910,0.06810060143470764,0.862470805644989,0.1,0.0012587056,31.70035752058029,0.2
5242880,696,726.7,33.72438430786133,7526,40,1e-06,0.02672882080078125,1.0395511388778687,-0.0021568630560977907,0.6525701092090458,1920,0.06811916828155518,0.8681737780570984,0.1,0.001247071,31.693331721425057,0.2
5373952,714,685.28,31.778038024902344,7525,41,1e-06,0.025847625732421876,1.0974938869476318,-0.0020990155514482465,0.7240502456203103,1930,0.06813595443964005,0.888400137424469,0.1,0.001256783,31.686806048452855,0.2
5505024,731,578.27,26.723310470581055,7522,42,1e-06,0.029024505615234376,1.08524751663208,-0.0023232063246723554,0.7759369467385113,1940,0.06815241277217865,0.8917624354362488,0.1,0.0013178024,31.680744078755378,0.2
5636096,749,626.44,28.853343963623047,7523,43,1e-06,0.027423095703125,1.0924791097640991,-0.0023439891645011812,0.7230003779754043,1950,0.06816962361335754,0.9082058072090149,0.1,0.0012802398,31.67456704378128,0.2
5767168,766,730.08,34.00012969970703,7523,44,1e-06,0.026613616943359376,0.9495022296905518,-0.002129283323210984,0.6386660630581901,1960,0.06818697601556778,0.9034428596496582,0.1,0.0012599572,31.668204167485236,0.2
5898240,783,792.21,36.99138259887695,7523,45,1e-06,0.025595855712890626,0.8757180571556091,-0.0020753573850470276,0.6441335473908112,1970,0.06820232421159744,0.8796045780181885,0.1,0.0012319963,31.662243802845477,0.2
6029312,801,827.5,38.9583625793457,7522,46,1e-06,0.029592132568359374,0.7958781123161316,-0.002176164456841434,0.6207582621835173,1980,0.06822098791599274,0.8680725693702698,0.1,0.001281597,31.656007952988148,0.2
