rollout/episodes_fwd,time/time_elapsed,train/action_std_03,train/action_std_09,rollout/action_saturation_fraction,train/action_std_23,rollout/is_timeout_mean,rollout/is_fall_mean,train/action_std_05,train/action_std_10,train/action_std_17,train/action_std_21,rollout/force_requested_impulse_mean,train/action_std_01,train/std_max,time/total_timesteps,train/action_std_06,train/action_std_04,train/action_std_08,time/fps,train/action_std_18,train/action_std_16,rollout/recovery_right,rollout/episodes_right,rollout/recovery_fwd,rollout/recovery_up,time/iterations,train/action_std_15,train/action_std_00,train/action_std_07,train/std_min,train/action_std_24,rollout/episodes_left,rollout/recovery_left,rollout/ep_rew_mean,rollout/force_onset_mean,train/action_std_12,train/action_std_13,rollout/episodes_up,train/action_std_20,train/action_std_19,rollout/force_direction_mean,rollout/ep_len_mean,train/action_std_22,rollout/recovery_back,rollout/episodes_back,train/action_std_11,train/action_std_14,train/action_std_02,train/entropy_loss,train/n_updates,rollout/timeouts,train/policy_gradient_loss,train/clip_fraction,rollout/recovery_noforce,train/approx_kl,train/learning_rate,train/explained_variance,train/std,rollout/recovery_down,rollout/timeout_without_onset_fraction,rollout/episodes_down,train/clip_range_vf,train/clip_range,train/loss,rollout/episodes_noforce,train/value_loss
35,556,0.09174129366874695,0.09135179966688156,0.0,0.09045425802469254,0.375,0.625,0.08960822969675064,0.08856173604726791,0.09206336736679077,0.08944098651409149,2.110317967796436,0.09215724468231201,0.09215724468231201,2752512,0.09127029031515121,0.08815831691026688,0.09052541106939316,4946,0.0885801911354065,0.09033629298210144,0.125,32,0.37142857142857144,0.3333333333333333,21,0.09082281589508057,0.08865506947040558,0.08905642479658127,0.08722423017024994,0.09210468083620071,54,0.2037037037037037,441.47698974609375,1.426163043478262,0.09190618246793747,0.08722423017024994,24,0.09046532213687897,0.09152502566576004,1.7445652173913044,654.92,0.08977947384119034,0.6,15,0.09185711294412613,0.08863009512424469,0.08927345275878906,24.67002046853304,2960,69,-0.0021935344897428878,0.02429046630859375,1.0,0.0012831613,1e-06,0.7666831612586975,0.09022197872400284,1.0,0.0,5,0.2,0.1,0.8245295286178589,19,0.6858775130240247
24,583,0.09178187698125839,0.0913756713271141,0.0,0.09047261625528336,0.40540540540540543,0.5945945945945946,0.08963841944932938,0.08858110010623932,0.09209034591913223,0.0894770622253418,2.0122412884766905,0.09218809753656387,0.09218809753656387,2883584,0.09130086749792099,0.08818001300096512,0.09054306894540787,4943,0.08859747648239136,0.0903531089425087,0.1,30,0.3333333333333333,0.4,22,0.0908532440662384,0.08867471665143967,0.08907876163721085,0.08725494146347046,0.09211568534374237,42,0.23809523809523808,509.2876281738281,1.4167027027027035,0.09193596988916397,0.08725494146347046,40,0.0904768854379654,0.09154725819826126,2.091891891891892,752.78,0.08979453891515732,0.5238095238095238,21,0.09189110994338989,0.08864429593086243,0.08928271383047104,24.663455341756343,2970,75,-0.00218814456857217,0.02302398681640625,0.9444444444444444,0.0013202663,1e-06,0.8010404109954834,0.09024518728256226,1.0,0.0,10,0.2,0.1,0.859319806098938,18,0.6233779782429337
31,610,0.09180327504873276,0.09139958769083023,0.0,0.09049386531114578,0.4074074074074074,0.5925925925925926,0.08966775983572006,0.0886104628443718,0.09211601316928864,0.0895095095038414,1.9700385205531163,0.09221217036247253,0.09221217036247253,3014656,0.09132497012615204,0.08819493651390076,0.09056305885314941,4939,0.08862461894750595,0.09038355201482773,0.16666666666666666,42,0.3870967741935484,0.2,23,0.09089053422212601,0.08868122100830078,0.08911916613578796,0.0872761532664299,0.09214942902326584,38,0.15789473684210525,480.957275390625,1.4125820105820115,0.09195293486118317,0.0872761532664299,25,0.0905020609498024,0.09156769514083862,1.835978835978836,716.4,0.08981805294752121,0.75,16,0.09190872311592102,0.0886634886264801,0.08930416405200958,24.656886464357378,2980,77,-0.0022130145057417394,0.022900390625,0.9230769230769231,0.0013118825,1e-06,0.7952472567558289,0.09026948362588882,1.0,0.0,11,0.2,0.1,0.8079560399055481,26,0.6179122085217387
31,637,0.09182333201169968,0.09142134338617325,0.0,0.090525783598423,0.4262295081967213,0.5737704918032787,0.08969759196043015,0.08861041814088821,0.09214907884597778,0.0895264521241188,2.054511797572991,0.09223122894763947,0.09223122894763947,3145728,0.09135031700134277,0.08820217102766037,0.09057336300611496,4937,0.08865439891815186,0.09040538966655731,0.1794871794871795,39,0.3225806451612903,0.2727272727272727,24,0.0909038856625557,0.08870871365070343,0.08915457129478455,0.0872972309589386,0.09217328578233719,34,0.35294117647058826,479.9547119140625,1.4178579234972688,0.09197455644607544,0.0872972309589386,33,0.09051132202148438,0.09158354997634888,2.1256830601092895,710.03,0.0898384377360344,0.6363636363636364,11,0.09193550795316696,0.08869678527116776,0.08930953592061996,24.65061522871256,2990,78,-0.0020536123430247243,0.0229736328125,1.0,0.0012725894,1e-06,0.7800019383430481,0.09029032289981842,0.875,0.0,16,0.2,0.1,0.9193341135978699,19,0.6464043371146545
27,663,0.0918472409248352,0.09142804145812988,0.0,0.09054428339004517,0.3867403314917127,0.6132596685082873,0.08972674608230591,0.08863609284162521,0.09218937158584595,0.08954701572656631,2.0815127399207642,0.09225111454725266,0.09225111454725266,3276800,0.09136493504047394,0.08821390569210052,0.09059426933526993,4935,0.08868974447250366,0.09041278064250946,0.22857142857142856,35,0.3333333333333333,0.3,25,0.09094210714101791,0.08874880522489548,0.0891876295208931,0.08732270449399948,0.09221550822257996,47,0.1702127659574468,474.86065673828125,1.4242762430939238,0.09199293702840805,0.08732270449399948,30,0.09053806215524673,0.091617152094841,2.0828729281767955,703.23,0.08984033018350601,0.7647058823529411,17,0.09196054190397263,0.0887199267745018,0.08933234214782715,24.644435927271843,3000,70,-0.002191712131480017,0.022039031982421874,0.9285714285714286,0.0012823762,1e-06,0.7969438433647156,0.09031453728675842,0.9090909090909091,0.0,11,0.2,0.1,0.7827041149139404,14,0.5910553076071665
27,690,0.09186780452728271,0.09145881980657578,0.0,0.09057263284921646,0.39593908629441626,0.6040609137055838,0.08974054455757141,0.08866917341947556,0.09221412241458893,0.089569091796875,1.956041134485535,0.09227295964956284,0.09227295964956284,3407872,0.09138460457324982,0.08823996782302856,0.09063343703746796,4932,0.08870184421539307,0.09043625742197037,0.2,45,0.2962962962962963,0.2571428571428571,26,0.09096888452768326,0.08877790719270706,0.08921502530574799,0.08734611421823502,0.0922236442565918,39,0.1794871794871795,479.7715759277344,1.4234213197969552,0.09202539920806885,0.08734611421823502,35,0.09055213630199432,0.09164803475141525,2.0,710.21,0.08986357599496841,0.7727272727272727,22,0.09198911488056183,0.08872903883457184,0.08934727311134338,24.63783056586981,3010,78,-0.0023709041125584917,0.02355804443359375,1.0,0.0013150538,1e-06,0.7944313883781433,0.09033789485692978,0.875,0.0,8,0.2,0.1,0.9423130750656128,21,0.635180298332125
31,717,0.09189435094594955,0.09147674590349197,0.0,0.09058409929275513,0.366120218579235,0.6338797814207651,0.08975445479154587,0.08868678659200668,0.09224961698055267,0.08958128839731216,2.0337129877044626,0.09229172021150589,0.09229172021150589,3538944,0.09140798449516296,0.08826736360788345,0.0906495749950409,4930,0.08872142434120178,0.09045376628637314,0.14634146341463414,41,0.2903225806451613,0.4074074074074074,27,0.09100419282913208,0.08881459385156631,0.08924324810504913,0.08736562728881836,0.09224995225667953,42,0.21428571428571427,430.77972412109375,1.4089508196721319,0.09204503893852234,0.08736562728881836,27,0.0905766412615776,0.09167496860027313,1.8852459016393444,638.93,0.08989414572715759,0.4166666666666667,12,0.09201714396476746,0.08875036984682083,0.08937761187553406,24.631374260783197,3020,67,-0.0021661933790710465,0.024765777587890624,0.9545454545454546,0.0013319838,1e-06,0.8009942173957825,0.09036130458116531,0.75,0.0,8,0.2,0.1,0.9079829454421997,22,0.6613681984366849
32,744,0.09191293269395828,0.09149902313947678,0.0,0.0906006395816803,0.4187192118226601,0.5812807881773399,0.089773990213871,0.08870237320661545,0.092278853058815,0.08959769457578659,2.1043797312559573,0.09232156723737717,0.09232156723737717,3670016,0.09143514186143875,0.08829489350318909,0.0906706154346466,4928,0.08871761709451675,0.09046295285224915,0.2571428571428571,35,0.1875,0.42857142857142855,28,0.09102720022201538,0.08883293718099594,0.08926261961460114,0.08739023655653,0.0922836884856224,44,0.20454545454545456,471.38787841796875,1.4152019704433505,0.09207206219434738,0.08739023655653,35,0.09060191363096237,0.0917147621512413,1.9901477832512315,700.14,0.08992720395326614,0.5789473684210527,19,0.09205368906259537,0.08877695351839066,0.08939103782176971,24.625005957484245,3030,85,-0.0022965898221627866,0.024651336669921874,1.0,0.0013120077,1e-06,0.7914309501647949,0.0903841033577919,0.8,0.0,15,0.2,0.1,0.952806830406189,23,0.6594641212606802
28,771,0.09195361286401749,0.09151124209165573,0.0,0.09062213450670242,0.32044198895027626,0.6795580110497238,0.08983572572469711,0.08873116225004196,0.09229528158903122,0.08963033556938171,2.2145521421157888,0.09235016256570816,0.09235016256570816,3801088,0.09147929400205612,0.0883110836148262,0.09069052338600159,4927,0.08874059468507767,0.0904899388551712,0.13513513513513514,37,0.25,0.16129032258064516,29,0.09103143960237503,0.08886674046516418,0.08929459005594254,0.08740256726741791,0.09230288118124008,41,0.07317073170731707,434.0037841796875,1.4256243093922663,0.09210129827260971,0.08740256726741791,31,0.09062587469816208,0.09174374490976334,2.138121546961326,644.54,0.0899621993303299,0.7619047619047619,21,0.09208463877439499,0.08879832923412323,0.08941800147294998,24.618130901455878,3040,58,-0.0021573589834588346,0.0233795166015625,1.0,0.0013020145,1e-06,0.8041790127754211,0.09041093289852142,0.9166666666666666,0.0,12,0.2,0.1,0.6518818736076355,11,0.6401560485130176
30,798,0.09196174889802933,0.09153853356838226,0.0,0.09065122902393341,0.44041450777202074,0.5595854922279793,0.08986517786979675,0.08874943852424622,0.09231441468000412,0.08964935690164566,2.0582680377035576,0.09236324578523636,0.09236324578523636,3932160,0.09151607751846313,0.08834473788738251,0.09070934355258942,4925,0.08877451717853546,0.09051384776830673,0.24242424242424243,33,0.36666666666666664,0.3783783783783784,30,0.09106907248497009,0.08890008181333542,0.08932068943977356,0.08741919696331024,0.09232763946056366,44,0.25,479.4962158203125,1.4154507772020735,0.09211030602455139,0.08741919696331024,37,0.09066236019134521,0.09175756573677063,2.1968911917098444,704.59,0.0899924710392952,0.7333333333333333,15,0.09212436527013779,0.08880976587533951,0.08944271504878998,24.610987274348737,3050,85,-0.0023218581434775844,0.025621795654296876,0.875,0.0013467685,1e-06,0.7792712450027466,0.09043551236391068,0.8888888888888888,0.0,18,0.2,0.1,1.0246797800064087,16,0.7259099066955969
30,825,0.09198137372732162,0.09156911820173264,0.0,0.09067044407129288,0.4318181818181818,0.5681818181818182,0.08988023549318314,0.0887787714600563,0.09235183149576187,0.08965076506137848,2.1650921919160853,0.09238581359386444,0.09238581359386444,4063232,0.09154641628265381,0.08836875110864639,0.09073580801486969,4924,0.08878827095031738,0.09054630994796753,0.26666666666666666,45,0.4666666666666667,0.32142857142857145,31,0.09109728038311005,0.0889156311750412,0.08933775871992111,0.08746302127838135,0.09234011918306351,34,0.2647058823529412,490.66058349609375,1.431750000000001,0.09213521331548691,0.08746302127838135,28,0.09069573879241943,0.09179012477397919,2.0795454545454546,727.3,0.09002844244241714,0.6666666666666666,21,0.09215081483125687,0.08884263038635254,0.089472196996212,24.604075513780117,3060,76,-0.002061522756230261,0.022430419921875,1.0,0.0012874769,1e-06,0.7893942594528198,0.09046091884374619,1.0,0.0,8,0.2,0.1,0.7403428554534912,10,0.584540999145247
36,851,0.09200925379991531,0.09157874435186386,0.0,0.09069352596998215,0.3877551020408163,0.6122448979591837,0.08990366011857986,0.08881834149360657,0.09237498044967651,0.08967657387256622,2.166155340294754,0.09241145849227905,0.09241145849227905,4194304,0.09156668931245804,0.08840946853160858,0.09074872732162476,4922,0.08880961686372757,0.09056941419839859,0.1951219512195122,41,0.16666666666666666,0.3548387096774194,32,0.09111122786998749,0.08893460780382156,0.08936621993780136,0.08748181164264679,0.09238090366125107,46,0.2608695652173913,455.4830322265625,1.4181632653061236,0.09216352552175522,0.08748181164264679,31,0.0907229632139206,0.09181062877178192,1.9744897959183674,672.56,0.09006031602621078,0.8333333333333334,18,0.0921766459941864,0.08886301517486572,0.08947861194610596,24.597265078127386,3070,76,-0.0021241174515125747,0.022664642333984374,1.0,0.00128003,1e-06,0.7763041257858276,0.09048483520746231,1.0,0.0,9,0.2,0.1,0.88686203956604,15,0.6534369179047644
27,878,0.09203530102968216,0.09159988164901733,0.0,0.09073148667812347,0.43315508021390375,0.5668449197860963,0.08993164449930191,0.08883477747440338,0.09240387380123138,0.08970185369253159,2.0734215667085,0.09242752194404602,0.09242752194404602,4325376,0.09157149493694305,0.08843689411878586,0.0907607153058052,4921,0.08885040134191513,0.09060227870941162,0.22727272727272727,44,0.2962962962962963,0.39473684210526316,33,0.09114373475313187,0.08895450085401535,0.08938863128423691,0.08749904483556747,0.092413529753685,38,0.34210526315789475,494.2678527832031,1.4288556149732632,0.09217678010463715,0.08749904483556747,38,0.0907517597079277,0.09182599931955338,2.213903743315508,726.92,0.09007442742586136,0.625,8,0.09220405668020248,0.08888504654169083,0.08950930088758469,24.590700295567512,3080,81,-0.0022371389620275293,0.02305755615234375,0.8947368421052632,0.0012968625,1e-06,0.7864532470703125,0.0905085951089859,1.0,0.0,13,0.2,0.1,0.9103304743766785,19,0.6343863632064313
37,905,0.09204139560461044,0.09162060916423798,0.0,0.09075364470481873,0.3910891089108911,0.6089108910891089,0.08997032791376114,0.08885163813829422,0.09241462498903275,0.08972753584384918,2.138618316807649,0.09246062487363815,0.09246062487363815,4456448,0.09158653765916824,0.0884711816906929,0.0907818153500557,4920,0.08886394649744034,0.09061232954263687,0.2692307692307692,52,0.32432432432432434,0.41379310344827586,34,0.09115716069936752,0.08898243308067322,0.0894249826669693,0.08751808851957321,0.09243118017911911,46,0.1956521739130435,457.1827392578125,1.4104356435643577,0.09219548851251602,0.08751808851957321,29,0.09076789766550064,0.09184101969003677,2.0792079207920793,674.44,0.0901046022772789,0.625,8,0.09223395586013794,0.08892006427049637,0.08952329307794571,24.58439655452967,3090,79,-0.0020348000917692842,0.0208465576171875,0.9411764705882353,0.0012440267,1e-06,0.7887952327728271,0.09053025394678116,0.8461538461538461,0.0,13,0.2,0.1,0.8501912951469421,17,0.6221323000267148
31,932,0.09206889569759369,0.09164979308843613,0.0,0.09078384935855865,0.3736842105263158,0.6263157894736842,0.08998532593250275,0.08888170123100281,0.09244958311319351,0.08975190669298172,2.1614303126986174,0.09249727427959442,0.09249727427959442,4587520,0.09161119908094406,0.08848510682582855,0.09081556648015976,4918,0.08888114988803864,0.09065257757902145,0.13953488372093023,43,0.2903225806451613,0.2857142857142857,35,0.09118402749300003,0.08902532607316971,0.08945690095424652,0.08753235638141632,0.09246403723955154,45,0.24444444444444444,481.29119873046875,1.4227684210526326,0.09221445769071579,0.08753235638141632,35,0.09078843146562576,0.09186136722564697,2.1210526315789475,713.81,0.09012840688228607,0.9230769230769231,13,0.09226399660110474,0.08892697840929031,0.08955935388803482,24.577766460180282,3100,71,-0.0023073381782523937,0.025982666015625,1.0,0.001337155,1e-06,0.7889666557312012,0.09055677801370621,1.0,0.0,9,0.2,0.1,0.8132168054580688,14,0.7109447146300226
36,959,0.09209556877613068,0.09165818989276886,0.0,0.09080476313829422,0.3829787234042553,0.6170212765957447,0.09000597149133682,0.08889005333185196,0.09247294813394547,0.08977480977773666,2.053765236122111,0.09251857548952103,0.09251857548952103,4718592,0.09162543714046478,0.08849586546421051,0.09081798791885376,4917,0.0888860821723938,0.09068087488412857,0.1388888888888889,36,0.4722222222222222,0.34615384615384615,36,0.09119322150945663,0.08904100954532623,0.08948279917240143,0.08756734430789948,0.0924922451376915,46,0.13043478260869565,452.0322570800781,1.4197446808510645,0.09222202003002167,0.08756734430789948,26,0.09080173075199127,0.09189163148403168,1.8191489361702127,668.55,0.09016135334968567,0.42857142857142855,14,0.0922882929444313,0.08894648402929306,0.08958468586206436,24.571455501019955,3110,72,-0.002096091384191823,0.022394561767578126,0.9523809523809523,0.0012808129,1e-06,0.7935988903045654,0.09057600051164627,1.0,0.0,9,0.2,0.1,0.9872766733169556,21,0.6840464623179286
24,986,0.09211797267198563,0.09168928861618042,0.0,0.09082388132810593,0.41714285714285715,0.5828571428571429,0.09003043174743652,0.08891207724809647,0.09249837696552277,0.089812271296978,2.0022796205060405,0.09252899140119553,0.09252899140119553,4849664,0.09167134016752243,0.08852043002843857,0.09083667397499084,4916,0.08889833837747574,0.09070118516683578,0.2571428571428571,35,0.16666666666666666,0.3235294117647059,37,0.09121329337358475,0.08906674385070801,0.08949429541826248,0.08758929371833801,0.0925118699669838,38,0.2631578947368421,502.9327392578125,1.4286171428571441,0.0922541469335556,0.08758929371833801,34,0.09083043783903122,0.09190601110458374,2.005714285714286,746.07,0.09018644690513611,0.7333333333333333,15,0.09230959415435791,0.08897032588720322,0.08961023390293121,24.56556302905083,3120,73,-0.002099275478394702,0.022170257568359376,1.0,0.0012741413,1e-06,0.7795472741127014,0.09059935063123703,0.875,0.0,8,0.2,0.1,0.8927562832832336,21,0.6702398261986673
