rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_fraction,train/loss,train/entropy_loss,train/clip_range_vf,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
7.679866313934326,247.66,9916,1835008,185,14,0.08989944458007812,0.4564174711704254,1.2387337757274508,0.2,0.00261546,-0.0022292701649348603,0.1,0.23065170645713806,6340,0.8461410403251648,1e-05,0.40080109585542234
7.747967720031738,257.01,9919,1966080,198,15,0.09032363891601562,0.45207321643829346,1.0462330453097821,0.2,0.0026366734,-0.002285746272355027,0.1,0.23250484466552734,6350,0.8514073491096497,1e-05,0.3925156368874013
7.167332649230957,234.96,9924,2097152,211,16,0.09233474731445312,0.42994949221611023,0.854140586592257,0.2,0.0026605162,-0.002214298350736499,0.1,0.23437967896461487,6360,0.8431201577186584,1e-05,0.41200668367091564
7.482296943664551,252.06,9919,2228224,224,17,0.08814849853515624,0.38874953985214233,0.6622905232943594,0.2,0.002608833,-0.0021984695054925395,0.1,0.236256405711174,6370,0.8514740467071533,1e-05,0.4004878976615146
7.271396636962891,235.49,9926,2359296,237,18,0.0876190185546875,0.42009761929512024,0.4708886065520346,0.2,0.0026164046,-0.0020274199809136918,0.1,0.23815441131591797,6380,0.8507855534553528,1e-05,0.4048914887709543
7.241925239562988,242.22,9938,2490368,250,19,0.09081039428710938,0.3516988754272461,0.279840152990073,0.2,0.0026233539,-0.0023094646154277142,0.1,0.2400500476360321,6390,0.8549141883850098,1e-05,0.3881137875141576
7.402324676513672,251.49,9937,2621440,263,20,0.08727569580078125,0.4178766906261444,0.08922105692327023,0.2,0.0025738622,-0.002126699896689388,0.1,0.2419692575931549,6400,0.8526999950408936,1e-05,0.39666958902962507
7.686431407928467,255.75,9929,2752512,277,21,0.09247207641601562,0.4114536643028259,-0.10009230757132173,0.2,0.0025981506,-0.0022985624898865355,0.1,0.2438735067844391,6410,0.8545315861701965,1e-05,0.4014699525199831
8.640434265136719,275.02,9934,2883584,290,22,0.08950347900390625,0.347913533449173,-0.2892128901556134,0.2,0.0025958046,-0.002232391197776451,0.1,0.24580220878124237,6420,0.8503945469856262,1e-05,0.4005645835772157
7.859830856323242,264.81,9940,3014656,303,23,0.08567581176757813,0.36358797550201416,-0.477976356446743,0.2,0.0025258823,-0.0019500861763845022,0.1,0.24775519967079163,6430,0.8552067875862122,1e-05,0.39239207764621825
8.000260353088379,266.11,9952,3145728,316,24,0.08780593872070312,0.2983229458332062,-0.6692370671778918,0.2,0.0025872267,-0.0022040641681087434,0.1,0.2497478574514389,6440,0.8516677021980286,1e-05,0.40266910623759034
7.522507190704346,247.29,9942,3276800,329,25,0.0839324951171875,0.2995161712169647,-0.8608460306189955,0.2,0.0025499389,-0.002027955317134911,0.1,0.25174838304519653,6450,0.8615445494651794,1e-05,0.3826431401539594
