time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/clip_range_vf,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/std,train/value_loss
3145728,718.38,2621,1199,29.933202743530273,24,0.2,0.14377365112304688,0.1,0.718944251537323,-0.0017937605864972283,2.405625343322754,33.49283170700073,0.0034356387,1e-05,230,0.06016905605792999,0.5961397296050563
3276800,740.07,2619,1250,30.985107421875,25,0.2,0.14118194580078125,0.1,0.7589687705039978,-0.001874104642911334,2.4137721061706543,33.290324836969376,0.0034369407,1e-05,240,0.06067436933517456,0.5820632245857269
3407872,766.12,2617,1301,32.46160888671875,26,0.2,0.14335403442382813,0.1,0.7402031421661377,-0.0015055824102091719,2.3903450965881348,33.09112584888935,0.0033769836,1e-05,250,0.06117868423461914,0.5936884657945484
3538944,720.71,2616,1352,30.276752471923828,27,0.2,0.147637939453125,0.1,0.7445415258407593,-0.001957943623756364,2.2234017848968506,32.888468253612515,0.0034942767,1e-05,260,0.06170467659831047,0.6144714578753337
3670016,773.21,2614,1403,32.342811584472656,28,0.2,0.1442779541015625,0.1,0.7336845397949219,-0.0016671853782099788,2.4136152267456055,32.682246312499046,0.0034873262,1e-05,270,0.06224004551768303,0.6505759779596701
3801088,740.27,2613,1454,31.349157333374023,29,0.2,0.14505767822265625,0.1,0.7276996374130249,-0.0015412805294999997,2.261322498321533,32.47818825244904,0.0034440146,1e-05,280,0.06276588886976242,0.641200182097964
3932160,716.51,2612,1505,30.034555435180664,30,0.2,0.14088592529296876,0.1,0.7331806421279907,-0.0016363190209631284,2.2073311805725098,32.27791902720928,0.0032936116,1e-05,290,0.06328675150871277,0.659138835943304
4063232,708.63,2610,1556,29.662519454956055,31,0.2,0.14819259643554689,0.1,0.771358072757721,-0.0017589997736649821,2.363671064376831,32.080345284938815,0.0034953314,1e-05,300,0.06380873173475266,0.646187569736503
4194304,743.27,2610,1606,31.156627655029297,32,0.2,0.1398895263671875,0.1,0.7609225511550903,-0.001601371620881764,2.091963291168213,31.879555389285088,0.0033876775,1e-05,310,0.06435268372297287,0.6713856309186668
4325376,692.33,2609,1657,28.931018829345703,33,0.2,0.1419281005859375,0.1,0.7679015398025513,-0.0015417486084515985,2.2683968544006348,31.676655079424382,0.0033702566,1e-05,320,0.06489680707454681,0.6920089208288118
4456448,750.03,2608,1708,31.676786422729492,34,0.2,0.14312744140625,0.1,0.7708700895309448,-0.0016717422809961135,2.1810474395751953,31.476107268035413,0.003402671,1e-05,330,0.06544004380702972,0.6365875556832179
4587520,715.9,2607,1759,30.063032150268555,35,0.2,0.13918991088867189,0.1,0.7351223230361938,-0.0013808655402044677,2.2837581634521484,31.27444804906845,0.0033259136,1e-05,340,0.0659942552447319,0.7069218794116751
