time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/clip_range_vf,train/explained_variance,train/clip_fraction
421,31.567167282104492,703.58,7779,3276800,25,0.052318695932626724,240,-0.0026107448307811864,38.30994060337544,0.8330584764480591,1e-05,0.1,0.0022166632,0.5038529681740329,0.2,0.842735230922699,0.1042510986328125
438,31.84015464782715,712.73,7769,3407872,26,0.05242729187011719,250,-0.00244139257383722,38.25777444839478,0.9031728506088257,1e-05,0.1,0.0021575466,0.5293726496864111,0.2,0.8311657905578613,0.1020904541015625
455,28.437911987304688,639.57,7762,3538944,27,0.052527621388435364,260,-0.0024851084601323235,38.20848307013512,0.9327067136764526,1e-05,0.1,0.002172598,0.5749906610231846,0.2,0.8517510294914246,0.10243606567382812
472,31.56704330444336,701.92,7760,3670016,28,0.05263387784361839,270,-0.002651882109421422,38.15867589116097,0.8951238393783569,1e-05,0.1,0.0022133305,0.552499821363017,0.2,0.8758869171142578,0.10721969604492188
490,33.90738296508789,748.53,7756,3801088,29,0.05274243280291557,280,-0.002567138106041966,38.10745852589607,1.0469965934753418,1e-05,0.1,0.002231298,0.5795914104441181,0.2,0.8508548736572266,0.1087921142578125
507,32.1674919128418,717.56,7754,3932160,30,0.052867185324430466,290,-0.002378685403618874,38.05173174738884,0.9550698399543762,1e-05,0.1,0.0022494998,0.6696930156555027,0.2,0.8373302817344666,0.11249771118164062
524,30.929494857788086,688.15,7751,4063232,31,0.05298687890172005,300,-0.0025317409680155833,37.99445616900921,1.0180253982543945,1e-05,0.1,0.002157751,0.6230203978950157,0.2,0.8562942743301392,0.10638656616210937
541,32.062801361083984,709.98,7748,4194304,32,0.05309927091002464,310,-0.002292811480947421,37.939854356646535,0.9834491014480591,1e-05,0.1,0.0022268803,0.6957567896693945,0.2,0.8558148145675659,0.10811691284179688
558,32.751319885253906,733.86,7746,4325376,33,0.053210172802209854,320,-0.0022691885351378005,37.887301710247996,1.060438871383667,1e-05,0.1,0.0021466042,0.6333611039444804,0.2,0.8630143404006958,0.10795745849609376
575,33.99577331542969,762.58,7746,4456448,34,0.05330745875835419,330,-0.0023982827045074375,37.83889845609665,1.0376120805740356,1e-05,0.1,0.0023197916,0.6351983208442107,0.2,0.8602019548416138,0.11485519409179687
592,31.359203338623047,700.91,7743,4587520,35,0.05341468006372452,340,-0.002418532535148188,37.79056141078472,0.9964579343795776,1e-05,0.1,0.0022604452,0.5996538540581241,0.2,0.8666884899139404,0.10988922119140625
609,30.8479061126709,692.63,7742,4718592,36,0.053512364625930786,350,-0.0024586351938978624,37.7433219075203,0.9579781293869019,1e-05,0.1,0.0022116015,0.5953929801937192,0.2,0.8853274583816528,0.10735549926757812
626,31.067909240722656,697.08,7736,4849664,37,0.05361287295818329,360,-0.002440530924786799,37.69651678800583,1.0006780624389648,1e-05,0.1,0.0022153845,0.616067594056949,0.2,0.8802939653396606,0.10672454833984375
643,31.343351364135742,695.36,7735,4980736,38,0.05372790992259979,370,-0.002422162292532448,37.64611750841141,0.9148868322372437,1e-05,0.1,0.0021492532,0.5929016552865505,0.2,0.8921444416046143,0.10439834594726563
660,33.03286361694336,730.69,7735,5111808,39,0.05382101237773895,380,-0.0025778609354347283,37.597985818982124,0.997523307800293,1e-05,0.1,0.0022250665,0.6191395589150488,0.2,0.8881655931472778,0.10600738525390625
677,35.23124694824219,773.18,7733,5242880,40,0.053914234042167664,390,-0.0024132890072905864,37.5550075173378,0.9024055600166321,1e-05,0.1,0.0022354026,0.605976412910968,0.2,0.8850005269050598,0.11014785766601562
694,32.14775085449219,711.63,7732,5373952,41,0.05402924865484238,400,-0.0026054710824610083,37.506085100769994,0.9246842861175537,1e-05,0.1,0.0022747447,0.6388791401404887,0.2,0.8736775517463684,0.11137619018554687
712,30.1512508392334,665.26,7730,5505024,42,0.05413153022527695,410,-0.0022189041140336487,37.45611516237259,1.0301190614700317,1e-05,0.1,0.0021149497,0.6591118333628401,0.2,0.8859952688217163,0.10366744995117187
729,27.110197067260742,602.78,7726,5636096,43,0.05423789843916893,420,-0.002426107681458234,37.40779800713062,1.189753770828247,1e-05,0.1,0.0022161878,0.7585312995128334,0.2,0.8769235014915466,0.10772781372070313
746,27.156967163085938,610.94,7723,5767168,44,0.054346367716789246,430,-0.0023546529600935173,37.35772698521614,1.0111024379730225,1e-05,0.1,0.0022264933,0.7193532884120941,0.2,0.8916577696800232,0.10882568359375
763,26.480337142944336,596.21,7722,5898240,45,0.054451994597911835,440,-0.0026241139081321307,37.3090224981308,1.0854651927947998,1e-05,0.1,0.0022998643,0.7432476461865007,0.2,0.8925923109054565,0.1126861572265625
780,33.41996765136719,747.33,7722,6029312,46,0.05456430837512016,450,-0.0023953999574587216,37.25890641510487,1.0484181642532349,1e-05,0.1,0.002228042,0.6676469928584993,0.2,0.8833639621734619,0.1101898193359375
