time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/clip_range_vf,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/std,train/entropy_loss,train/learning_rate,train/clip_range
13,4824,44,212992,16.715370178222656,490.47,120,0.134222412109375,2.443290948867798,0.7029507160186768,0.2,-0.010729360845289193,0.0030871662,0.725435734540224,0.050495997071266174,36.053382468223575,1e-05,0.1
14,4807,47,229376,18.47230339050293,529.76,130,0.125372314453125,2.414337635040283,0.7568554878234863,0.2,-0.010978041094494984,0.0030133713,0.6559100322425365,0.05055701732635498,36.025710868835446,1e-05,0.1
15,4811,51,245760,20.27938461303711,574.82,140,0.1306884765625,2.365943670272827,0.7036654949188232,0.2,-0.010611639856506372,0.0030329984,0.6326993208378553,0.050625499337911606,35.996348810195926,1e-05,0.1
16,4829,54,262144,20.31201934814453,579.19,150,0.13612060546875,2.378335952758789,0.7662559151649475,0.2,-0.010779358871513978,0.0030702439,0.6041443422436714,0.0506880022585392,35.96640868186951,1e-05,0.1
17,4831,57,278528,19.923561096191406,570.02,160,0.12640380859375,2.327904224395752,0.7713563442230225,0.2,-0.010318158332665917,0.0028886492,0.6380550809204578,0.050750039517879486,35.93826017379761,1e-05,0.1
18,4829,61,294912,19.99591636657715,573.6,170,0.147064208984375,2.481006145477295,0.7748399972915649,0.2,-0.011808190552983433,0.0031820796,0.7642845932394267,0.05080832540988922,35.9109025478363,1e-05,0.1
19,4836,64,311296,19.984766006469727,567.74,180,0.1376220703125,2.3938868045806885,0.7123361825942993,0.2,-0.010326133621856571,0.0030371924,0.6623057834804058,0.050870202481746674,35.883854269981384,1e-05,0.1
20,4836,67,327680,20.553852081298828,583.55,190,0.13211669921875,2.420994758605957,0.7818981409072876,0.2,-0.01030989498249255,0.0028955708,0.709907466173172,0.05092521384358406,35.85719075202942,1e-05,0.1
21,4836,71,344064,17.881406784057617,528.12,200,0.127349853515625,2.3601889610290527,0.8337713479995728,0.2,-0.011725347633182536,0.0029851317,0.5940267963334918,0.0509902723133564,35.83036866188049,1e-05,0.1
22,4841,74,360448,15.646134376525879,477.98,210,0.133599853515625,2.3953986167907715,0.7769908308982849,0.2,-0.011547952133696526,0.0030623921,0.7309168178588152,0.051049310714006424,35.80220398902893,1e-05,0.1
23,4836,77,376832,16.707429885864258,499.11,220,0.152325439453125,2.518332004547119,0.7833297252655029,0.2,-0.012601323175476863,0.0033478294,0.7438919432461262,0.05110941827297211,35.77537405490875,1e-05,0.1
24,4849,81,393216,17.971494674682617,528.89,230,0.137841796875,2.335301399230957,0.8150933980941772,0.2,-0.011030071543063968,0.003023893,0.5968127919360995,0.051172006875276566,35.74783465862274,1e-05,0.1
25,4858,84,409600,18.0107479095459,523.62,240,0.139593505859375,2.303647518157959,0.8566761612892151,0.2,-0.010931701931986027,0.0030882792,0.6091977201402188,0.051232341676950455,35.720070886611936,1e-05,0.1
26,4872,87,425984,18.153064727783203,529.77,250,0.129779052734375,2.3931989669799805,0.7873629927635193,0.2,-0.0114318527339492,0.0030105212,0.7747976217418909,0.05129006505012512,35.69368057250976,1e-05,0.1
27,4887,90,442368,18.088397979736328,525.65,260,0.142608642578125,2.5058252811431885,0.7731086611747742,0.2,-0.011457725836953614,0.003218078,0.6771130908280611,0.05135788023471832,35.66560888290405,1e-05,0.1
28,4895,93,458752,17.956026077270508,519.4,270,0.12652587890625,2.344236373901367,0.8075670599937439,0.2,-0.01139775932097109,0.0029500131,0.5885844085365534,0.05141904577612877,35.63655488491058,1e-05,0.1
29,4905,96,475136,18.196855545043945,527.97,280,0.146539306640625,2.3076162338256836,0.8129646182060242,0.2,-0.01129782101197634,0.0032943268,0.6201539821922779,0.05148329958319664,35.6086624622345,1e-05,0.1
