time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/std,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range_vf
169,15,11591,1966080,643.4,21.980030059814453,1.8819735e-05,0.26278698444366455,0.1,0.8567907810211182,0.0,8800,-1.975089259725064,0.49221011996269226,1e-07,0.5180106946034357,-0.0001270908232072543,0.2
180,16,11587,2097152,704.12,24.755258560180664,1.5937014e-05,0.26282066106796265,0.1,0.8682538270950317,0.0,8810,-1.978150124102831,0.3480246365070343,1e-07,0.5185373788932338,-0.00010713550054788356,0.2
192,17,11574,2228224,675.15,23.609525680541992,2.775104e-05,0.2628535032272339,0.1,0.8531309962272644,0.0,8820,-1.98118583150208,0.45066550374031067,1e-07,0.48288741181604566,-0.0001370485778352304,0.2
203,18,11568,2359296,701.82,25.387849807739258,1.983036e-05,0.26288753747940063,0.1,0.8511322140693665,0.0,8830,-1.9842385809868575,0.4216800332069397,1e-07,0.5605475786840544,-0.00012484333810789395,0.2
215,19,11549,2490368,670.98,24.277393341064453,1.5308075e-05,0.262920081615448,0.1,0.8598514199256897,0.0,8840,-1.9872701880522072,0.38250038027763367,1e-07,0.506153833377175,-0.0001087883493710251,0.2
227,20,11538,2621440,628.6,21.52280044555664,1.795771e-05,0.2629525065422058,0.1,0.8569329380989075,0.0,8850,-1.9902297233231365,0.34639209508895874,1e-07,0.560234638210386,-0.00013217776840974694,0.2
238,21,11530,2752512,721.29,25.595399856567383,2.2420572e-05,0.26298582553863525,0.1,0.8599937558174133,0.0,8860,-1.993233748525381,0.4626617431640625,1e-07,0.5077746940776706,-0.0001247149342816556,0.2
250,22,11517,2883584,676.07,24.118757247924805,2.2395052e-05,0.26301833987236023,0.1,0.83392333984375,0.0,8870,-1.9962401353754102,0.4334317147731781,1e-07,0.5501420717220753,-0.0001307737655224628,0.2
261,23,11509,3014656,755.15,28.073007583618164,2.1158443e-05,0.263052761554718,0.1,0.8518821001052856,0.0,8880,-1.9992959027178585,0.3465099036693573,1e-07,0.5570405797800049,-0.00013671418009835178,0.2
273,24,11501,3145728,703.58,24.98847198486328,2.3339653e-05,0.2630849778652191,0.1,0.8427637815475464,0.0,8890,-2.0023292884230615,0.3947368264198303,1e-07,0.548203543596901,-0.00013081498464089235,0.2
285,25,11477,3276800,659.46,22.712095260620117,2.4732257e-05,0.26311779022216797,0.1,0.8543500900268555,0.0,8900,-2.0052770363166927,0.5250754952430725,1e-07,0.5716702006291599,-0.00012892949953311473,0.2
297,26,11462,3407872,661.23,23.432905197143555,1.3468516e-05,0.2631508708000183,0.1,0.845917820930481,0.0,8910,-2.008293800614774,0.6422381401062012,1e-07,0.5737600590335206,-9.716645117805456e-05,0.2
308,27,11462,3538944,671.14,23.978818893432617,1.2558374e-05,0.2631838321685791,0.1,0.8672245144844055,0.0,8920,-2.0113010255619885,0.4532131552696228,1e-07,0.5003900844370947,-0.00011072172010244685,0.2
320,28,11458,3670016,631.62,21.505516052246094,1.5824462e-05,0.2632169723510742,0.1,0.8704992532730103,0.0,8930,-2.0143063712865112,0.4911694824695587,1e-07,0.5407822805456817,-0.00011340026721882169,0.2
331,29,11458,3801088,777.28,26.791297912597656,2.8319486e-05,0.2632507085800171,0.1,0.8650715947151184,0.0,8940,-2.0173601642251016,0.3874187171459198,1e-07,0.501271967869252,-0.00014642290407209657,0.2
343,30,11458,3932160,690.15,23.908462524414062,2.0648487e-05,0.26328447461128235,0.1,0.8277130126953125,0.0,8950,-2.0204291081056,0.5643431544303894,1e-07,0.5468279073713347,-0.00011678458886308363,0.2
354,31,11460,4063232,704.68,25.3370418548584,1.7487338e-05,0.2633187770843506,0.1,0.8363420963287354,0.0,8960,-2.023532222956419,0.5029483437538147,1e-07,0.5631477202288806,-0.00011787744015236967,0.2
366,32,11454,4194304,642.29,21.868751525878906,1.4641342e-05,0.26335006952285767,0.1,0.8457832932472229,0.0,8970,-2.026514108851552,0.48260247707366943,1e-07,0.5382979386020452,-0.00010372885080869309,0.2
377,33,11452,4325376,661.0,21.822490692138672,2.0677144e-05,0.2633826434612274,0.1,0.8610635995864868,0.0,8980,-2.029427870735526,0.4528505802154541,1e-07,0.5464715484995395,-0.00012112292843085015,0.2
389,34,11454,4456448,628.78,21.032855987548828,1.8783972e-05,0.2634158134460449,0.1,0.8834956884384155,0.0,8990,-2.03241905272007,0.42737486958503723,1e-07,0.49616333772428334,-0.0001280532611417584,0.2
400,35,11454,4587520,651.6,22.533668518066406,1.7219949e-05,0.2634495198726654,0.1,0.8862678408622742,0.0,9000,-2.035474249534309,0.3443653881549835,1e-07,0.45612562939058987,-0.00011961468399022124,0.2
412,36,11451,4718592,663.66,23.0579776763916,1.9314699e-05,0.2634812593460083,0.1,0.8537790179252625,0.0,9010,-2.0384480230510236,0.3509496748447418,1e-07,0.49905316601507366,-0.00012869755646534032,0.2
423,37,11452,4849664,657.64,22.530717849731445,1.6559563e-05,0.2635144591331482,0.1,0.8698222041130066,0.0,9020,-2.041407168097794,0.35764047503471375,1e-07,0.5265672389883548,-0.00012648985584746698,0.2
434,38,11450,4980736,675.18,23.231643676757812,2.2916323e-05,0.26354700326919556,0.1,0.858483076095581,0.0,9030,-2.044403062015772,0.38714903593063354,1e-07,0.5025707406457514,-0.0001417018439497042,0.2
446,39,11447,5111808,657.95,22.71103286743164,2.0064192e-05,0.2635785937309265,0.1,0.8598371744155884,0.0,9040,-2.047321690246463,0.4887502193450928,1e-07,0.5402699127793312,-0.00012369195173960178,0.2
457,40,11448,5242880,701.13,25.22409439086914,1.8793822e-05,0.26361083984375,0.1,0.8715628981590271,0.0,9050,-2.050222171656787,0.24732880294322968,1e-07,0.4814261780818924,-0.00011446751223047613,0.2
469,41,11447,5373952,676.94,23.765052795410156,2.3042841e-05,0.2636447846889496,0.1,0.8379111886024475,0.0,9060,-2.0532411633059384,0.4613773226737976,1e-07,0.5664095040643587,-0.00012701668438239722,0.2
480,42,11453,5505024,722.59,25.716848373413086,1.37710695e-05,0.26367709040641785,0.1,0.846043586730957,0.0,9070,-2.0562542589381336,0.2888989746570587,1e-07,0.5406685608671978,-0.00010401352510598371,0.2
492,43,11451,5636096,638.22,22.21426010131836,2.6447944e-05,0.263711154460907,0.1,0.8580915331840515,0.0,9080,-2.059268929064274,0.5016974210739136,1e-07,0.5472414085874334,-0.00014661712648376125,0.2
503,44,11450,5767168,678.41,23.463359832763672,1.45992035e-05,0.2637450397014618,0.1,0.8669350147247314,0.0,9090,-2.0623581049963833,0.3802579343318939,1e-07,0.5268452723743394,-0.00012316329120949377,0.2
515,45,11448,5898240,730.86,25.849210739135742,2.6735459e-05,0.26377788186073303,0.1,0.8561654686927795,0.0,9100,-2.0653972987085583,0.27569204568862915,1e-07,0.508372695487924,-0.00014074767950660315,0.2
526,46,11447,6029312,644.66,22.635080337524414,1.9882062e-05,0.26381129026412964,0.1,0.8489048480987549,0.0,9110,-2.068400196917355,0.3289637267589569,1e-07,0.557453564601019,-0.00013426846235233824,0.2
538,47,11446,6160384,652.74,22.642549514770508,1.1990658e-05,0.2638436555862427,0.1,0.8670580387115479,0.0,9120,-2.0713911049067972,0.4477267265319824,1e-07,0.5036111085209996,-0.00010033784938059397,0.2
549,48,11448,6291456,638.44,22.295581817626953,1.5925998e-05,0.2638786733150482,0.1,0.8758847117424011,0.0,9130,-2.074462410993874,0.48137158155441284,1e-07,0.5227650381159037,-0.00011658653638733086,0.2
560,49,11451,6422528,771.39,27.621042251586914,2.4171868e-05,0.2639109790325165,0.1,0.8619786500930786,0.0,9140,-2.0775119269266726,0.45926767587661743,1e-07,0.5156656965380535,-0.0001290673435505596,0.2
572,50,11449,6553600,666.52,23.046737670898438,1.556466e-05,0.26394373178482056,0.1,0.8284041881561279,0.0,9150,-2.0804721862077713,0.3571231961250305,1e-07,0.5225523608503864,-0.00010806333366417676,0.2
583,51,11452,6684672,663.95,23.12960433959961,2.0112599e-05,0.2639766037464142,0.1,0.8541189432144165,0.0,9160,-2.083458686619997,0.5443134307861328,1e-07,0.5844362409319729,-0.00012630673745661625,0.2
595,52,11454,6815744,690.94,24.278640747070312,2.1579071e-05,0.2640087604522705,0.1,0.8726951479911804,0.0,9170,-2.0864052252843974,0.3982817232608795,1e-07,0.4956084387842566,-0.00012941020677317283,0.2
606,53,11452,6946816,752.46,26.91088104248047,2.1593683e-05,0.26404374837875366,0.1,0.8526808023452759,0.0,9180,-2.089468349516392,0.5537960529327393,1e-07,0.5526730882702395,-0.0001248850971023785,0.2
618,54,11451,7077888,671.6,22.654521942138672,1.5224472e-05,0.26407718658447266,0.1,0.8415429592132568,0.0,9190,-2.092573436908424,0.3734147250652313,1e-07,0.5554063370451331,-9.942512087945943e-05,0.2
629,55,11451,7208960,728.04,25.545621871948242,1.6600348e-05,0.2641099691390991,0.1,0.8646818995475769,0.0,9200,-2.095580571703613,0.40690091252326965,1e-07,0.48696559488307684,-0.00012109419631087804,0.2
640,56,11452,7340032,632.29,22.194181442260742,2.5891497e-05,0.2641432285308838,0.1,0.8581490516662598,0.0,9210,-2.098574574291706,0.49086958169937134,1e-07,0.5658766882726922,-0.00012696514259005198,0.2
652,57,11450,7471104,648.25,22.715818405151367,2.6622634e-05,0.26417604088783264,0.1,0.8662821650505066,0.0,9220,-2.1015746826305985,0.35380789637565613,1e-07,0.5005767054157332,-0.00014326522368719453,0.2
663,58,11451,7602176,700.5,24.830671310424805,1.2510313e-05,0.2642083764076233,0.1,0.8560032844543457,0.0,9230,-2.104527216218412,0.39557164907455444,1e-07,0.5380764204077423,-9.883369193630642e-05,0.2
