time/total_timesteps,train/action_std_24,train/action_std_10,train/action_std_17,rollout/force_onset_mean,time/time_elapsed,rollout/recovery_fwd,rollout/is_fall_mean,train/action_std_01,train/action_std_16,train/action_std_02,train/action_std_05,time/fps,rollout/episodes_fwd,rollout/episodes_down,rollout/ep_rew_mean,train/action_std_21,rollout/recovery_up,train/action_std_15,rollout/force_requested_impulse_mean,train/action_std_20,rollout/recovery_right,train/action_std_00,train/action_std_22,train/action_std_18,train/std_min,rollout/ep_len_mean,rollout/is_timeout_mean,rollout/episodes_left,train/action_std_19,train/action_std_03,time/iterations,rollout/recovery_back,train/action_std_09,rollout/recovery_left,train/action_std_12,rollout/episodes_noforce,rollout/episodes_back,rollout/episodes_right,train/action_std_13,train/action_std_14,train/action_std_08,train/action_std_23,rollout/recovery_noforce,rollout/episodes_up,train/action_std_04,train/action_std_07,train/action_std_11,train/std_max,train/action_std_06,rollout/recovery_down,rollout/action_saturation_fraction,rollout/force_direction_mean,rollout/timeouts,train/explained_variance,rollout/timeout_without_onset_fraction,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range_vf,train/std,train/learning_rate,train/clip_range,train/entropy_loss,train/n_updates,train/policy_gradient_loss
1441792,0.07277994602918625,0.07095780223608017,0.0732446163892746,1.4153483146067425,288,0.11864406779661017,0.8089887640449438,0.07256072014570236,0.07209894061088562,0.0718609020113945,0.07175595313310623,4997,59,26,320.4796142578125,0.07113515585660934,0.1509433962264151,0.07217688858509064,2.899543966955528,0.0713290423154831,0.1111111111111111,0.07156205177307129,0.0715634673833847,0.07137855142354965,0.06999988108873367,481.07,0.19101123595505617,38,0.07293662428855896,0.07260168343782425,11,0.18421052631578946,0.0725284293293953,0.2631578947368421,0.07317887991666794,8,38,45,0.06999988108873367,0.07118812203407288,0.07218363881111145,0.07252173870801926,0.875,53,0.07080145180225372,0.07217326015233994,0.07293626666069031,0.0732446163892746,0.07277094572782516,0.2692307692307692,0.0,2.183520599250936,51,0.7921627759933472,0.0,0.8665765523910522,0.10713577270507812,0.002234165,0.7225896354299038,0.2,0.07200899720191956,1e-05,0.1,30.32182723432779,1790,-0.003018657374468603
1572864,0.07298275828361511,0.07112366706132889,0.07334226369857788,1.404451612903227,315,0.0975609756097561,0.8306451612903226,0.07271313667297363,0.07222014665603638,0.07202214747667313,0.07198426127433777,4987,41,14,356.61297607421875,0.0713258683681488,0.10256410256410256,0.07232004404067993,2.7416763628756904,0.07148657739162445,0.10606060606060606,0.07176540791988373,0.07165166735649109,0.07148192822933197,0.0701221227645874,535.78,0.1693548387096774,35,0.07303396612405777,0.07277912646532059,12,0.18604651162790697,0.07265229523181915,0.14285714285714285,0.07330501824617386,10,43,66,0.0701221227645874,0.07131047546863556,0.07234101742506027,0.07264664769172668,0.9,39,0.07095517963171005,0.07233277708292007,0.07304279506206512,0.07334226369857788,0.07294624298810959,0.35714285714285715,0.0,2.125,42,0.813789427280426,0.0,1.0161696672439575,0.11126632690429687,0.002288098,0.7497831482440234,0.2,0.07215550541877747,1e-05,0.1,30.274169646203518,1800,-0.003041057542213821
1703936,0.07309082895517349,0.07131518423557281,0.07341527193784714,1.393914062500001,342,0.06666666666666667,0.8515625,0.07292503118515015,0.07243502885103226,0.07220257073640823,0.0720432922244072,4978,60,22,375.5482177734375,0.07146544754505157,0.20930232558139536,0.07242293655872345,2.9439132014102407,0.07155852019786835,0.07142857142857142,0.07188410311937332,0.07174674421548843,0.07168098539113998,0.07031731307506561,563.2,0.1484375,33,0.07327599078416824,0.07288563251495361,13,0.08163265306122448,0.07275015860795975,0.18181818181818182,0.07346245646476746,7,49,42,0.07031731307506561,0.0714990571141243,0.07251060009002686,0.07290305942296982,0.8571428571428571,43,0.07116446644067764,0.07245772331953049,0.07311125099658966,0.07346245646476746,0.07295558601617813,0.2727272727272727,0.0,2.015625,38,0.8127410411834717,0.0,1.0050227642059326,0.10811843872070312,0.002251961,0.7235738138202578,0.2,0.07229916751384735,1e-05,0.1,30.223692445456983,1810,-0.002872290681807499
1835008,0.07317919284105301,0.07148006558418274,0.07354909181594849,1.4034016393442634,369,0.09433962264150944,0.8401639344262295,0.07304966449737549,0.0727066844701767,0.07236122339963913,0.07224217057228088,4970,53,14,378.66534423828125,0.07163911312818527,0.18604651162790697,0.0724647045135498,2.8169367862550865,0.07168320566415787,0.02040816326530612,0.07210097461938858,0.07195653021335602,0.07185327261686325,0.07042600214481354,563.54,0.1598360655737705,38,0.07341086119413376,0.07308605313301086,14,0.21951219512195122,0.07285913079977036,0.15789473684210525,0.07351724803447723,6,41,49,0.07042600214481354,0.07171449065208435,0.07260236889123917,0.07304541021585464,0.8333333333333334,43,0.07126635313034058,0.07269661873579025,0.07333208620548248,0.07354909181594849,0.07316955178976059,0.35714285714285715,0.0,2.0491803278688523,39,0.8083463907241821,0.0,0.8889680504798889,0.10957794189453125,0.0022818365,0.7587142746895552,0.2,0.07245568186044693,1e-05,0.1,30.171797719597816,1820,-0.0030714074006027658
1966080,0.07336626201868057,0.07161521911621094,0.07370651513338089,1.4111846153846166,396,0.05660377358490566,0.8653846153846154,0.07318411767482758,0.07279273867607117,0.0725553035736084,0.0723949745297432,4961,53,28,359.35235595703125,0.07182152569293976,0.044444444444444446,0.07260254770517349,2.9494505541318308,0.07177918404340744,0.03773584905660377,0.07219767570495605,0.07208936661481857,0.07201364636421204,0.07064782083034515,540.2,0.1346153846153846,31,0.07360108196735382,0.07322226464748383,15,0.125,0.0729484036564827,0.0967741935483871,0.0736977607011795,10,40,53,0.07064782083034515,0.07183142006397247,0.07278836518526077,0.07313555479049683,1.0,45,0.07136612385511398,0.07280787080526352,0.07349859923124313,0.07370651513338089,0.07332350313663483,0.35714285714285715,0.0,2.1961538461538463,35,0.8093769550323486,0.0,1.0855166912078857,0.10793991088867187,0.002208721,0.7108371474780142,0.2,0.07259950786828995,1e-05,0.1,30.120422053337098,1830,-0.0029273730650857034
2097152,0.07349225878715515,0.0717722699046135,0.07380381226539612,1.4051968503937018,423,0.05172413793103448,0.9015748031496063,0.07320112735033035,0.07298047840595245,0.07274459302425385,0.0725245550274849,4955,58,10,319.1553649902344,0.07195738703012466,0.0,0.07279258221387863,2.823968874634349,0.07192253321409225,0.0851063829787234,0.07230708748102188,0.07233791798353195,0.07208962738513947,0.0708954855799675,486.37,0.0984251968503937,45,0.07370639592409134,0.0734407976269722,16,0.06666666666666667,0.07303990423679352,0.17777777777777778,0.0738634318113327,10,45,47,0.0708954855799675,0.07196428626775742,0.07283330708742142,0.0733267217874527,0.6,39,0.07148373126983643,0.07293204218149185,0.07366622984409332,0.0738634318113327,0.07343985140323639,0.1,0.0,1.858267716535433,25,0.8211348652839661,0.0,1.0271518230438232,0.1147491455078125,0.0023688776,0.733364634681493,0.2,0.07274073362350464,1e-05,0.1,30.07120451182127,1840,-0.0032346316978873802
2228224,0.07369393110275269,0.07197994738817215,0.073953777551651,1.4022371541501986,450,0.0,0.9051383399209486,0.07336904108524323,0.07308127731084824,0.07289513200521469,0.07262541353702545,4949,56,13,333.425048828125,0.07215101271867752,0.18421052631578946,0.07291362434625626,2.9636128729814275,0.07205148041248322,0.04081632653061224,0.07246323674917221,0.07246559858322144,0.07219284772872925,0.07109584659337997,503.62,0.09486166007905138,35,0.07386595010757446,0.0736376941204071,17,0.07407407407407407,0.07321952283382416,0.08571428571428572,0.07404502481222153,8,54,49,0.07109584659337997,0.07208139449357986,0.07296431809663773,0.07359599322080612,1.0,38,0.0715271532535553,0.07301165163516998,0.07381685078144073,0.07404502481222153,0.0736083835363388,0.0,0.0,1.8972332015810276,24,0.8162475824356079,0.0,1.0252299308776855,0.10612411499023437,0.0021825002,0.7506269582547247,0.2,0.07289224117994308,1e-05,0.1,30.020535461604595,1850,-0.0028273611507756867
2359296,0.0738619863986969,0.07223759591579437,0.07406573742628098,1.4077685950413235,477,0.030303030303030304,0.8429752066115702,0.07347343862056732,0.07326054573059082,0.07307153940200806,0.07271890342235565,4944,66,18,342.3598937988281,0.07230617105960846,0.16216216216216217,0.07305511087179184,2.935117503885077,0.072177454829216,0.125,0.07260879874229431,0.07261592894792557,0.07235081493854523,0.0712391585111618,510.35,0.15702479338842976,26,0.07404398173093796,0.07375988364219666,18,0.04878048780487805,0.07341058552265167,0.15384615384615385,0.07420825958251953,14,41,40,0.0712391585111618,0.07226099818944931,0.07314415276050568,0.07376262545585632,1.0,37,0.07172388583421707,0.07314420491456985,0.07393155992031097,0.07420825958251953,0.07373800873756409,0.2777777777777778,0.0,1.8057851239669422,38,0.8106105327606201,0.0,1.0917545557022095,0.10564727783203125,0.0022637367,0.7734801374841481,0.2,0.07304685562849045,1e-05,0.1,29.967785945534708,1860,-0.00300627446758881
2490368,0.07399281859397888,0.07238834351301193,0.07420747727155685,1.3999047619047629,504,0.06666666666666667,0.8388278388278388,0.07365716993808746,0.07340043038129807,0.07334235310554504,0.07283806055784225,4938,75,17,315.3413391113281,0.0724954605102539,0.15151515151515152,0.07323476672172546,2.8517761273538316,0.07231301069259644,0.05357142857142857,0.07264791429042816,0.07277196645736694,0.07243523001670837,0.07139860093593597,475.39,0.16117216117216118,23,0.07428628206253052,0.07383580505847931,19,0.1320754716981132,0.07354016602039337,0.2608695652173913,0.0743577629327774,16,53,56,0.07139860093593597,0.0724114179611206,0.07330562174320221,0.07388708740472794,0.875,33,0.07181952148675919,0.07325673848390579,0.07400713115930557,0.0743577629327774,0.07396776229143143,0.23529411764705882,0.0,1.7142857142857142,44,0.8054837584495544,0.0,0.9458858966827393,0.10684585571289062,0.002253973,0.7003189089708031,0.2,0.07319195568561554,1e-05,0.1,29.916939429938793,1870,-0.002965612069965573
2621440,0.07414812594652176,0.07262979447841644,0.07435008883476257,1.4148661417322845,531,0.02127659574468085,0.8622047244094488,0.07377854734659195,0.07350780814886093,0.07352706789970398,0.07294254004955292,4933,47,19,339.8196105957031,0.07260014116764069,0.15384615384615385,0.07335776090621948,2.9411760003209015,0.07244475185871124,0.09259259259259259,0.07285616546869278,0.07296658307313919,0.07258869707584381,0.07152651995420456,509.79,0.1377952755905512,29,0.0744037851691246,0.07395266741514206,20,0.07272727272727272,0.07372552901506424,0.2413793103448276,0.07450588792562485,11,55,54,0.07152651995420456,0.0726207047700882,0.07346716523170471,0.07400880753993988,0.7272727272727273,39,0.07199758291244507,0.07344186305999756,0.0742003470659256,0.07450588792562485,0.07418122887611389,0.21052631578947367,0.0,2.02755905511811,35,0.808612048625946,0.0,1.0454466342926025,0.10515060424804687,0.0022058212,0.7891881815623492,0.2,0.07334920018911362,1e-05,0.1,29.864996583759783,1880,-0.002751451489075407
2752512,0.0741991475224495,0.07278662919998169,0.07439512759447098,1.4022109704641363,558,0.0,0.8481012658227848,0.07388539612293243,0.0736626461148262,0.07366397976875305,0.07309206575155258,4929,58,13,351.2323913574219,0.07274570316076279,0.12121212121212122,0.07348369061946869,2.8084715610176954,0.07260988652706146,0.14583333333333334,0.07304305583238602,0.07313624769449234,0.07275567203760147,0.07161344587802887,525.23,0.1518987341772152,29,0.07451864331960678,0.07408764958381653,21,0.125,0.07383580505847931,0.034482758620689655,0.0746803879737854,16,40,48,0.07161344587802887,0.07280965894460678,0.07355129718780518,0.07410939782857895,0.9375,33,0.07209808379411697,0.07358046621084213,0.07431082427501678,0.0746803879737854,0.0743691474199295,0.3076923076923077,0.0,1.7848101265822784,36,0.8058329224586487,0.0,1.1211059093475342,0.10724105834960937,0.0022235927,0.7578865583520382,0.2,0.07348096370697021,1e-05,0.1,29.81598645746708,1890,-0.003016601320450718
2883584,0.07435916364192963,0.0729919821023941,0.0744982659816742,1.4069230769230778,585,0.08928571428571429,0.8307692307692308,0.07404221594333649,0.07380972057580948,0.0737871453166008,0.0732043981552124,4924,56,17,343.8741149902344,0.07291699945926666,0.18181818181818182,0.07366672158241272,2.7395886704656833,0.07274064421653748,0.04081632653061224,0.07314399629831314,0.07325104624032974,0.07293929159641266,0.07190167158842087,512.28,0.16923076923076924,48,0.07463439553976059,0.07422517240047455,22,0.11627906976744186,0.07394376397132874,0.16666666666666666,0.07484933733940125,14,43,49,0.07190167158842087,0.07294393330812454,0.07383839040994644,0.07427111268043518,0.7857142857142857,33,0.07227092236280441,0.07380558550357819,0.07443185150623322,0.07484933733940125,0.07448091357946396,0.4117647058823529,0.0,1.8807692307692307,44,0.8096694946289062,0.0,0.8736750483512878,0.10192489624023438,0.002133435,0.7019208719488234,0.2,0.0736379474401474,1e-05,0.1,29.766821758449076,1900,-0.002750291531356197
3014656,0.07450006157159805,0.07307423651218414,0.07460859417915344,1.3952979591836745,612,0.07352941176470588,0.8938775510204081,0.07428149878978729,0.0740523561835289,0.07399321347475052,0.07331901043653488,4921,68,11,323.9510498046875,0.07312938570976257,0.12,0.07385266572237015,2.9035420392124047,0.07292629778385162,0.023255813953488372,0.07333453744649887,0.07339208573102951,0.07296633720397949,0.07198156416416168,488.1,0.10612244897959183,34,0.0747261643409729,0.07441762089729309,23,0.057692307692307696,0.07407508045434952,0.029411764705882353,0.07494078576564789,12,52,43,0.07198156416416168,0.07308639585971832,0.07389797270298004,0.07442180812358856,0.6666666666666666,25,0.07239800691604614,0.07396744191646576,0.0746263712644577,0.07494078576564789,0.07457304745912552,0.45454545454545453,0.0,1.6,26,0.8007111549377441,0.0,1.111154556274414,0.10807266235351562,0.0022228837,0.7516770872287453,0.2,0.07378169894218445,1e-05,0.1,29.715759232640266,1910,-0.00297001110502606
3145728,0.07466171681880951,0.07325069606304169,0.07473979890346527,1.4173863636363646,639,0.05454545454545454,0.8674242424242424,0.07443850487470627,0.07417059689760208,0.07406558096408844,0.07344694435596466,4917,55,22,354.5666809082031,0.0732753798365593,0.14285714285714285,0.07395099103450775,2.987369398328396,0.07316409051418304,0.023809523809523808,0.07344155013561249,0.07352815568447113,0.07300564646720886,0.07207480818033218,530.48,0.13257575757575757,42,0.0748262107372284,0.07448498159646988,24,0.047619047619047616,0.07422632724046707,0.21428571428571427,0.07507801800966263,12,63,42,0.07207480818033218,0.07319771498441696,0.07394519448280334,0.07459688186645508,1.0,28,0.07267505675554276,0.07407847046852112,0.07480689138174057,0.07507801800966263,0.07479731738567352,0.13636363636363635,0.0,1.8295454545454546,35,0.8091095089912415,0.0,1.0745751857757568,0.10838470458984376,0.002248795,0.7575073625892401,0.2,0.07391709834337234,1e-05,0.1,29.668604359030724,1920,-0.002905687573911564
3276800,0.07492895424365997,0.07341550290584564,0.07492472231388092,1.4111063829787245,666,0.038461538461538464,0.8382978723404255,0.07457070052623749,0.07428917288780212,0.07415063679218292,0.07352808862924576,4913,52,18,385.5288391113281,0.0733380913734436,0.0967741935483871,0.07419321686029434,2.7921605082438834,0.07319837063550949,0.1836734693877551,0.0736021175980568,0.07367712259292603,0.07324496656656265,0.07223036140203476,574.65,0.16170212765957448,41,0.07488400489091873,0.07456076145172119,25,0.10810810810810811,0.07439018040895462,0.17073170731707318,0.07517015933990479,7,37,49,0.07223036140203476,0.07331161946058273,0.07404594123363495,0.0747007429599762,1.0,31,0.07272882759571075,0.07416099309921265,0.07493548840284348,0.07517015933990479,0.0750231072306633,0.3333333333333333,0.0,2.0127659574468084,38,0.8159819841384888,0.0,0.9757616519927979,0.10459518432617188,0.0021830478,0.7171953400596977,0.2,0.07404815405607224,1e-05,0.1,29.624047261476516,1930,-0.002877088026070851
3407872,0.0750652402639389,0.07359939813613892,0.0750451311469078,1.4056615384615394,694,0.05,0.8038461538461539,0.07464512437582016,0.07437274605035782,0.07441293448209763,0.07367663085460663,4908,60,28,348.9491271972656,0.07350007444620132,0.17647058823529413,0.07435516268014908,2.844411279606397,0.073299840092659,0.1590909090909091,0.07364420592784882,0.07393492758274078,0.07339325547218323,0.07241816073656082,526.11,0.19615384615384615,36,0.07503945380449295,0.07471460103988647,26,0.13333333333333333,0.07450643926858902,0.1111111111111111,0.07537567615509033,13,45,44,0.07241816073656082,0.07345841825008392,0.07412654161453247,0.07472550123929977,1.0,34,0.07285555452108383,0.0743834376335144,0.07504528760910034,0.07537567615509033,0.07514432072639465,0.42857142857142855,0.0,1.9692307692307693,51,0.8035528659820557,0.0,0.9667190313339233,0.10516281127929687,0.0022235888,0.7037276839837432,0.2,0.07418952137231827,1e-05,0.1,29.577579948306084,1940,-0.0028291915774389053
