time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_range_vf,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/adaptive_lr
1786,491.5,2200,30,18.646381378173828,3932160,0.2,38.36702097654343,0.001859115,0.08429641723632812,-0.002626560388262078,0.05218429118394852,0.6031464612111449,0.9551159143447876,6.6666666666666675e-06,0.1,0.8725550174713135,290,6.6666666666666675e-06
1846,489.34,2200,31,19.1921443939209,4063232,0.2,38.33213968276978,0.0018351544,0.08004684448242187,-0.0024338740656730806,0.05225781351327896,0.5886351446155459,0.8705847263336182,6.6666666666666675e-06,0.1,0.8724840879440308,300,6.6666666666666675e-06
1905,495.27,2201,32,19.322708129882812,4194304,0.2,38.29720176756382,0.0018733507,0.08122329711914063,-0.0026319116988361203,0.05233147740364075,0.5655304610263556,0.937066376209259,6.6666666666666675e-06,0.1,0.8703120350837708,310,6.6666666666666675e-06
1964,483.72,2201,33,18.673885345458984,4325376,0.2,38.26256431043148,0.0018707247,0.0810791015625,-0.002461817149651324,0.052401699125766754,0.577271462441422,0.9607291221618652,6.6666666666666675e-06,0.1,0.8590813875198364,320,6.6666666666666675e-06
2024,514.35,2201,34,19.698810577392578,4456448,0.2,38.22900666296482,0.0018788134,0.0822906494140625,-0.0027211162766434425,0.052473340183496475,0.5396636715391651,0.8358840942382812,6.6666666666666675e-06,0.1,0.8846391439437866,330,6.6666666666666675e-06
2083,484.92,2201,35,18.922969818115234,4587520,0.2,38.19481139481068,0.0018397446,0.08149795532226563,-0.0024383356447287953,0.05254536122083664,0.5318609138950705,0.9010376930236816,6.6666666666666675e-06,0.1,0.8856650590896606,340,6.6666666666666675e-06
2142,503.13,2201,36,19.535869598388672,4718592,0.2,38.15894458591938,0.0018913187,0.08356094360351562,-0.0025450921482843116,0.052623238414525986,0.5351620827568695,0.8845449686050415,6.6666666666666675e-06,0.1,0.8898723721504211,350,6.6666666666666675e-06
2202,525.25,2202,37,20.37137794494629,4849664,0.2,38.12212085723877,0.0018368205,0.08020553588867188,-0.002555109367403929,0.05269995704293251,0.5316138820955529,0.9343893527984619,6.6666666666666675e-06,0.1,0.8908888101577759,360,6.6666666666666675e-06
2261,589.16,2202,38,22.883256912231445,4980736,0.2,38.08704070150852,0.001898169,0.0827728271484375,-0.0024624830537959496,0.052771903574466705,0.5281717700650915,0.8857269883155823,6.6666666666666675e-06,0.1,0.8811587691307068,370,6.6666666666666675e-06
2320,549.88,2202,39,21.37238121032715,5111808,0.2,38.05046334862709,0.0018551867,0.08046951293945312,-0.0025158447999729106,0.052853360772132874,0.5009981709998101,0.8330541849136353,6.6666666666666675e-06,0.1,0.8852996826171875,380,6.6666666666666675e-06
2379,529.55,2203,40,20.638072967529297,5242880,0.2,38.01407177150249,0.0019307402,0.08469924926757813,-0.002838003489705443,0.052926067262887955,0.5037653331412002,0.8846968412399292,6.6666666666666675e-06,0.1,0.8924267888069153,390,6.6666666666666675e-06
2439,515.39,2203,41,20.19976234436035,5373952,0.2,37.978858947753906,0.0018638258,0.0829193115234375,-0.0025069779507248314,0.05300254747271538,0.5548361026681959,0.9242485761642456,6.6666666666666675e-06,0.1,0.8812388181686401,400,6.6666666666666675e-06
2498,528.52,2203,42,20.400815963745117,5505024,0.2,37.941019627451894,0.0018439025,0.07966842651367187,-0.0024350269604838104,0.0530863031744957,0.5518172699259594,0.886918306350708,6.6666666666666675e-06,0.1,0.8902003169059753,410,6.6666666666666675e-06
