rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/std,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/clip_fraction,train/approx_kl
125.41,5767168,44,8379,688,5.26730489730835,1.4359326362609863,0.6618654727935791,430,0.1,-0.0015895400302724737,0.2,0.6983455114997923,1e-05,-42.64947069883347,-1.4676401615142822,0.05417556762695312,0.0022759838
134.79,5898240,45,8380,703,5.612614631652832,1.4480912685394287,0.661296010017395,440,0.1,-0.0013367109363571217,0.2,0.7108981653116644,1e-05,-42.85070110559464,-1.4703408479690552,0.048734283447265624,0.0022221291
127.29,6029312,46,8379,719,5.455573081970215,1.4601256847381592,0.6475334167480469,450,0.1,-0.0012774851438734913,0.2,0.7080203937366605,1e-05,-43.050627866387366,-1.4722003936767578,0.050670623779296875,0.0022062315
109.32,6160384,47,8383,734,4.623701572418213,1.4725227355957031,0.6616504192352295,460,0.1,-0.001275259360409109,0.2,0.724340634746477,1e-05,-43.251310867071155,-1.4148292541503906,0.049954986572265624,0.002193333
126.41,6291456,48,8385,750,5.332176685333252,1.4850642681121826,0.6518902778625488,470,0.1,-0.0012492118168665912,0.2,0.7232884581200778,1e-05,-43.45488080084324,-1.4690890312194824,0.047332763671875,0.0021929222
138.51,6422528,49,8385,765,5.784929275512695,1.4978561401367188,0.6697633862495422,480,0.1,-0.001405416649140534,0.2,0.7044452399946749,1e-05,-43.6600560426712,-1.495206594467163,0.048907470703125,0.0022469023
132.94,6553600,50,8389,781,5.548973560333252,1.5102958679199219,0.6656165719032288,490,0.1,-0.0013719674892854528,0.2,0.710630087601021,1e-05,-43.861254426836965,-1.4356502294540405,0.04798202514648438,0.002177442
131.85,6684672,51,8394,796,5.476292610168457,1.523148536682129,0.6716279983520508,500,0.1,-0.0012561454850583686,0.2,0.7102828414179385,1e-05,-44.06248917281628,-1.4650170803070068,0.046834564208984374,0.0021909105
135.13,6815744,52,8396,811,5.6818528175354,1.5360279083251953,0.6640989780426025,510,0.1,-0.0012847086381952977,0.2,0.7166786228306592,1e-05,-44.26531584560871,-1.5052669048309326,0.04659957885742187,0.0021947094
130.37,6946816,53,8397,827,5.522131443023682,1.5488733053207397,0.659960925579071,520,0.1,-0.0009723474772727059,0.2,0.729845659993589,1e-05,-44.46552164554596,-1.4774209260940552,0.04087753295898437,0.0020891249
135.03,7077888,54,8402,842,5.70975399017334,1.561798334121704,0.6517713069915771,530,0.1,-0.000994839895520272,0.2,0.7217105904594063,1e-05,-44.66502190828324,-1.5188672542572021,0.04163818359375,0.0020942944
136.35,7208960,55,8407,857,5.7163310050964355,1.5751025676727295,0.66886305809021,540,0.1,-0.0011210655558897998,0.2,0.7057451261673122,1e-05,-44.86681826114655,-1.5287718772888184,0.04403533935546875,0.002157102
129.75,7340032,56,8408,872,5.467938423156738,1.5883169174194336,0.671940803527832,550,0.1,-0.0010012465466388675,0.2,0.6957477190997452,1e-05,-45.06890130341053,-1.5501550436019897,0.03955535888671875,0.0020791711
135.09,7471104,57,8411,888,5.639053821563721,1.6016604900360107,0.669044554233551,560,0.1,-0.0010935748472547858,0.2,0.6910792350303382,1e-05,-45.2695369631052,-1.531981348991394,0.043201446533203125,0.0021322884
127.01,7602176,58,8413,903,5.396697998046875,1.6152305603027344,0.6751157641410828,570,0.1,-0.0011086974243880831,0.2,0.6883109977003187,1e-05,-45.47092615067959,-1.642491340637207,0.04325790405273437,0.0021294332
123.06,7733248,59,8420,918,5.199087619781494,1.6291215419769287,0.6797868013381958,580,0.1,-0.001297137994424702,0.2,0.6935639029368759,1e-05,-45.675573161244394,-1.635437250137329,0.045599365234375,0.0021891221
136.78,7864320,60,8425,933,5.711282730102539,1.642919898033142,0.6681935787200928,590,0.1,-0.0012330407514127728,0.2,0.6984658903907984,1e-05,-45.879144969582555,-1.579935908317566,0.04476165771484375,0.0021549487
146.34,7995392,61,8432,948,6.077783584594727,1.6570791006088257,0.6763935089111328,600,0.1,-0.001153957586211618,0.2,0.6964801683090627,1e-05,-46.08375125229359,-1.6211069822311401,0.043849945068359375,0.002151669
131.43,8126464,62,8439,962,5.489777088165283,1.6712472438812256,0.678580641746521,610,0.1,-0.00110787093944964,0.2,0.6762424930464477,1e-05,-46.28797350823879,-1.6506171226501465,0.04334869384765625,0.0021327534
134.58,8257536,63,8446,977,5.609127044677734,1.685145378112793,0.6814752817153931,620,0.1,-0.0010066476192150732,0.2,0.6850065725389868,1e-05,-46.48918480873108,-1.6619081497192383,0.042910003662109376,0.002088189
138.24,8388608,64,8451,992,5.70465087890625,1.6995699405670166,0.6911418437957764,630,0.1,-0.0010316411309759133,0.2,0.6780486924573779,1e-05,-46.69187889695168,-1.6931136846542358,0.041851043701171875,0.002125433
130.46,8519680,65,8456,1007,5.506235122680664,1.714049220085144,0.6652053594589233,640,0.1,-0.0011712685362908815,0.2,0.6976323657203466,1e-05,-46.89526293873787,-1.6671342849731445,0.0440765380859375,0.0021734382
124.63,8650752,66,8458,1022,5.345980167388916,1.7284750938415527,0.6746472120285034,650,0.1,-0.0011722772351276944,0.2,0.6927151429932564,1e-05,-47.09767211675644,-1.6945040225982666,0.044140625,0.0021182736
138.68,8781824,67,8462,1037,5.8312087059021,1.743222951889038,0.6772276163101196,660,0.1,-0.0011764014820982993,0.2,0.6845954540651291,1e-05,-47.30049426555634,-1.6237766742706299,0.042645263671875,0.0021341993
130.87,8912896,68,8464,1052,5.515989303588867,1.7579835653305054,0.679295003414154,670,0.1,-0.0011519756261805015,0.2,0.6763287342619151,1e-05,-47.50335454344749,-1.74149489402771,0.0443511962890625,0.002139818
125.49,9043968,69,8466,1068,5.2957048416137695,1.7731856107711792,0.6828516125679016,680,0.1,-0.0012677526544393914,0.2,0.6734505402389914,1e-05,-47.7084803879261,-1.65838623046875,0.04552764892578125,0.0022096774
129.55,9175040,70,8466,1083,5.510167121887207,1.7882544994354248,0.6916555166244507,690,0.1,-0.001277988461424684,0.2,0.6664879121817648,1e-05,-47.91230906844139,-1.7585877180099487,0.045122528076171876,0.002144863
132.31,9306112,71,8471,1098,5.5759196281433105,1.8032166957855225,0.6868293285369873,700,0.1,-0.0010315506297956744,0.2,0.6797680109739304,1e-05,-48.1137902289629,-1.7354726791381836,0.04287033081054688,0.0020918245
145.35,9437184,72,8477,1113,6.102389335632324,1.8188451528549194,0.680336594581604,710,0.1,-0.0011572674890885537,0.2,0.682538072951138,1e-05,-48.31791039705276,-1.7851347923278809,0.04239501953125,0.0021463968
143.35,9568256,73,8480,1128,5.9837541580200195,1.83408522605896,0.6777758598327637,720,0.1,-0.0009443264511901361,0.2,0.6703718626871705,1e-05,-48.52044732272625,-1.7654671669006348,0.040354156494140626,0.0020936197
