rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/clip_range_vf,train/loss,train/value_loss,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate
573.08,934,11010048,84,11784,19.83145523071289,0.8742626905441284,7040,0.2,0.7038335204124451,0.561374947335571,0.2251911163330078,0.1,-0.0011787259413722495,0.00087309035,1.7394297159276904,0.0058319091796875,1e-06
567.31,945,11141120,85,11778,19.605560302734375,0.8840749263763428,7050,0.2,0.6039286255836487,0.5526637361850589,0.22540202736854553,0.1,-0.0012283381716770236,0.0009207862,1.7166431504301727,0.008263397216796874,1e-06
551.03,957,11272192,86,11773,18.072490692138672,0.8882445096969604,7060,0.2,0.5663583278656006,0.4869313366478309,0.2256169319152832,0.1,-0.001338371550627926,0.00096712896,1.6939606667496263,0.0104278564453125,1e-06
545.96,968,11403264,87,11769,18.404088973999023,0.8790576457977295,7070,0.2,0.601765513420105,0.564260751195252,0.22582945227622986,0.1,-0.0011547677049748017,0.0009145891,1.6712735511362553,0.0080047607421875,1e-06
631.66,980,11534336,88,11763,21.9370174407959,0.8822689652442932,7080,0.2,0.6930339336395264,0.5027807808481157,0.22604762017726898,0.1,-0.0010699612568714656,0.0008497047,1.6483419443480671,0.005043792724609375,1e-06
612.93,992,11665408,89,11758,21.552648544311523,0.8781335949897766,7090,0.2,0.6026977896690369,0.5420600558863953,0.22626054286956787,0.1,-0.001205056992421305,0.00090114,1.6254872464574874,0.0072662353515625,1e-06
642.06,1003,11796480,90,11753,22.834768295288086,0.8764258027076721,7100,0.2,0.5011743307113647,0.5197111965855583,0.22647449374198914,0.1,-0.0011377682957572689,0.00089231017,1.602851863205433,0.007817840576171875,1e-06
505.25,1015,11927552,91,11747,16.3981876373291,0.8715813159942627,7110,0.2,0.6730529069900513,0.5594506763853133,0.2266855686903,0.1,-0.0012995992673495494,0.001020987,1.5803622069768608,0.011180877685546875,1e-06
612.58,1027,12058624,92,11740,20.903587341308594,0.8900055885314941,7120,0.2,0.6822679042816162,0.5193339712219313,0.2268989533185959,0.1,-0.0011957674446421152,0.00092162006,1.5578780024312437,0.007208251953125,1e-06
568.88,1038,12189696,93,11735,18.408422470092773,0.869572639465332,7130,0.2,0.6632989645004272,0.5585422954522073,0.22711274027824402,0.1,-0.0011810343724391714,0.00091607403,1.5352654619142414,0.006955718994140625,1e-06
575.66,1050,12320768,94,11730,19.809120178222656,0.8897790312767029,7140,0.2,0.5744414329528809,0.5105773081770166,0.22732219099998474,0.1,-0.0011876320370902249,0.0009399863,1.512951578386128,0.00733795166015625,1e-06
614.46,1062,12451840,95,11724,21.287860870361328,0.8729148507118225,7150,0.2,0.5636802911758423,0.5302677057683468,0.22753994166851044,0.1,-0.0011692325495459954,0.0009038485,1.4903427480719984,0.0066558837890625,1e-06
608.08,1073,12582912,96,11721,21.31130599975586,0.8933698534965515,7160,0.2,0.6707887649536133,0.48221194206271323,0.22774986922740936,0.1,-0.0012561971273498784,0.0009999932,1.4678379773162304,0.009174346923828125,1e-06
613.25,1085,12713984,97,11716,20.86376953125,0.8784013390541077,7170,0.2,0.6398515105247498,0.5186483630677685,0.22796201705932617,0.1,-0.0010635452965289006,0.00084983115,1.4456072100438178,0.00491943359375,1e-06
556.95,1096,12845056,98,11710,18.76634979248047,0.8711975812911987,7180,0.2,0.5389527082443237,0.536948973336257,0.22817890346050262,0.1,-0.0012076888793671968,0.0009652961,1.423017418384552,0.008356475830078125,1e-06
571.96,1108,12976128,99,11704,19.468509674072266,0.8905153870582581,7190,0.2,0.598204493522644,0.5091402613325045,0.22839578986167908,0.1,-0.0012512084911577403,0.00095818704,1.4002038359642028,0.0090789794921875,1e-06
669.73,1120,13107200,100,11701,23.698524475097656,0.862838625907898,7200,0.2,0.7277083992958069,0.5658828336047008,0.22860854864120483,0.1,-0.0012246400120602629,0.00095504255,1.3776631210930645,0.008646392822265625,1e-06
590.31,1131,13238272,101,11696,20.48672103881836,0.8688905239105225,7210,0.2,0.5202469229698181,0.5176110179862008,0.22882620990276337,0.1,-0.001151773470428452,0.0009928842,1.3550681410357357,0.011403656005859375,1e-06
573.39,1143,13369344,102,11692,19.3216495513916,0.87199467420578,7220,0.2,0.6633903384208679,0.5806708379415795,0.22904255986213684,0.1,-0.001167631521639123,0.0009739915,1.3322925071232021,0.01038665771484375,1e-06
593.65,1155,13500416,103,11687,20.974777221679688,0.8975147008895874,7230,0.2,0.4591226577758789,0.47525447560474277,0.22925464808940887,0.1,-0.0012665923959502834,0.00095044455,1.3098879865370692,0.009777069091796875,1e-06
600.33,1166,13631488,104,11681,20.137086868286133,0.8685884475708008,7240,0.2,0.6787588596343994,0.5739694717573002,0.22946958243846893,0.1,-0.001158095136997872,0.0009411718,1.2875132645480334,0.006233978271484375,1e-06
624.87,1178,13762560,105,11681,21.685928344726562,0.8855922818183899,7250,0.2,0.5284116864204407,0.5252735027810559,0.22968915104866028,0.1,-0.0011672934102534781,0.000918829,1.2647710165940225,0.00641632080078125,1e-06
591.71,1189,13893632,106,11681,20.545976638793945,0.8791705369949341,7260,0.2,0.759783148765564,0.531578931864351,0.22990505397319794,0.1,-0.001093573300204298,0.00089230173,1.2420373839326202,0.005889892578125,1e-06
607.97,1200,14024704,107,11680,21.399580001831055,0.8772332072257996,7270,0.2,0.6054216027259827,0.5311777879251167,0.23011967539787292,0.1,-0.0011517609941620321,0.0008549262,1.219601079635322,0.005670928955078125,1e-06
588.61,1212,14155776,108,11679,20.257648468017578,0.8616054058074951,7280,0.2,0.6336511373519897,0.5878928139572963,0.23033812642097473,0.1,-0.0011911409300410015,0.0009335746,1.1969935117289423,0.007703399658203125,1e-06
551.99,1223,14286848,109,11677,18.760351181030273,0.8951272368431091,7290,0.2,0.5491464138031006,0.4891883392818272,0.23055627942085266,0.1,-0.0013654493862304661,0.0010436275,1.1742709127254785,0.011664581298828126,1e-06
634.47,1234,14417920,110,11675,22.05990982055664,0.8786234855651855,7300,0.2,0.49929559230804443,0.5287061314331367,0.23077361285686493,0.1,-0.0011347155466864933,0.0009135867,1.1516052631661295,0.00743408203125,1e-06
561.2,1246,14548992,111,11675,18.987159729003906,0.8763461112976074,7310,0.2,0.5961782932281494,0.5610291360178963,0.23099248111248016,0.1,-0.0011560200934127352,0.00095329306,1.1289145461283625,0.009233856201171875,1e-06
668.44,1257,14680064,112,11674,23.313142776489258,0.8885043263435364,7320,0.2,0.39017540216445923,0.4874783247243613,0.23121273517608643,0.1,-0.0011617755346378545,0.00087673694,1.106128187570721,0.007163238525390625,1e-06
593.5,1268,14811136,113,11672,20.297008514404297,0.8710640668869019,7330,0.2,0.6575551629066467,0.565603120950982,0.23142755031585693,0.1,-0.001156330888352386,0.00094814086,1.0835728574544192,0.007627105712890625,1e-06
653.15,1280,14942208,114,11669,22.70317840576172,0.888184130191803,7340,0.2,0.6385106444358826,0.4907510047545657,0.23164544999599457,0.1,-0.0010491887014723034,0.00080351427,1.0611356804147363,0.00503692626953125,1e-06
628.38,1291,15073280,115,11667,21.989826202392578,0.8851297497749329,7350,0.2,0.6506254076957703,0.5040572215104475,0.23186591267585754,0.1,-0.0011494677248265362,0.0009098456,1.0383797551505267,0.00776214599609375,1e-06
626.72,1303,15204352,116,11665,21.892606735229492,0.8744713664054871,7360,0.2,0.47132712602615356,0.5112829821417109,0.2320835441350937,0.1,-0.0012344595170361572,0.0009868671,1.0157321938313544,0.010347747802734375,1e-06
681.55,1314,15335424,117,11665,24.126968383789062,0.8667521476745605,7370,0.2,0.5599183440208435,0.538413760648109,0.23230698704719543,0.1,-0.0010546634810452815,0.00093204505,0.9929126150906086,0.008000946044921875,1e-06
636.82,1325,15466496,118,11664,21.998641967773438,0.8597142100334167,7380,0.2,0.5503947734832764,0.5262637361418456,0.23253077268600464,0.1,-0.0012065875514963408,0.0009694792,0.9698369490914047,0.00962066650390625,1e-06
591.61,1337,15597568,119,11664,19.907251358032227,0.8660071492195129,7390,0.2,0.6199948787689209,0.5899444375885651,0.23274342715740204,0.1,-0.0011765000353079814,0.000974141,0.9473750495351851,0.009683990478515625,1e-06
563.9,1348,15728640,120,11663,18.31623077392578,0.8986632227897644,7400,0.2,0.4209479093551636,0.44677878234069796,0.2329583615064621,0.1,-0.0012102216000130285,0.00093142013,0.9253130404278636,0.007302093505859375,1e-06
