time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/n_updates,train/adaptive_lr,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_range_vf,train/clip_fraction
16,18.02714729309082,458.73,2097152,2200,952,0.7535730600357056,150,5.062500000000001e-05,0.006654732,0.1,5.062500000000001e-05,0.3832577617140487,0.839440107345581,38.42706832587719,0.0030616602447480546,0.05206909030675888,0.2,0.30019073486328124
17,17.236295700073242,443.8,2228224,2184,1020,0.7703404426574707,160,5.062500000000001e-05,0.006569472,0.1,5.062500000000001e-05,0.39582118231337515,0.8428139686584473,38.3439704477787,0.003072030416251437,0.052230216562747955,0.2,0.29615478515625
18,18.788585662841797,496.21,2359296,2175,1084,0.7447713613510132,170,5.062500000000001e-05,0.0064949743,0.1,5.062500000000001e-05,0.36025827410630884,0.8685668110847473,38.2693551003933,0.0027764533302615745,0.05238692834973335,0.2,0.2902488708496094
19,19.700407028198242,518.08,2490368,2171,1146,0.7246512174606323,180,5.062500000000001e-05,0.0065421034,0.1,5.062500000000001e-05,0.33110067644156516,0.8869531750679016,38.194987568259236,0.0025296971670741185,0.05254598706960678,0.2,0.29548797607421873
20,21.12777328491211,557.85,2621440,2154,1216,0.7099827527999878,190,5.062500000000001e-05,0.0063556223,0.1,5.062500000000001e-05,0.3356086219428107,0.8835722804069519,38.11548127830029,0.0024824844610066067,0.05271340534090996,0.2,0.2906341552734375
21,19.818256378173828,516.42,2752512,2150,1280,0.7518632411956787,200,5.062500000000001e-05,0.0064718868,0.1,5.062500000000001e-05,0.34013043376617136,0.8954223990440369,38.0319567412138,0.002462033195570257,0.052889928221702576,0.2,0.29311065673828124
22,18.729068756103516,480.29,2883584,2147,1343,0.7899117469787598,210,5.062500000000001e-05,0.0062763994,0.1,5.062500000000001e-05,0.4308805830543861,0.8883463144302368,37.94847811758518,0.0027590672858423203,0.05306986719369888,0.2,0.2903251647949219
23,18.18861198425293,459.16,3014656,2144,1405,0.8079254627227783,220,5.062500000000001e-05,0.0063906237,0.1,5.062500000000001e-05,0.4259206715039909,0.9006483554840088,37.858365076780316,0.0022602336406635005,0.05326487496495247,0.2,0.2888206481933594
24,17.785253524780273,444.77,3145728,2142,1468,0.9306378364562988,230,5.062500000000001e-05,0.006413491,0.1,5.062500000000001e-05,0.49694740888662636,0.8925018310546875,37.769717189669606,0.0022693063112001256,0.05345320329070091,0.2,0.28589019775390623
25,17.777538299560547,450.05,3276800,2140,1530,0.8770366311073303,240,5.062500000000001e-05,0.0061142403,0.1,5.062500000000001e-05,0.519295964227058,0.8955184817314148,37.689042031764984,0.0025808587333813193,0.05362492427229881,0.2,0.28082733154296874
