rollout/force_direction_mean,train/action_std_10,train/std_max,train/action_std_15,train/action_std_05,rollout/is_timeout_mean,train/action_std_08,rollout/recovery_noforce,train/action_std_17,train/action_std_02,time/time_elapsed,train/action_std_24,rollout/episodes_noforce,rollout/ep_rew_mean,train/action_std_22,train/std_min,train/action_std_03,rollout/force_requested_impulse_mean,train/action_std_19,train/action_std_18,rollout/ep_len_mean,train/action_std_06,train/action_std_16,train/action_std_11,train/action_std_14,train/action_std_12,time/fps,rollout/force_onset_mean,train/action_std_13,train/action_std_01,time/total_timesteps,train/action_std_20,train/action_std_23,train/action_std_04,rollout/action_saturation_fraction,train/action_std_21,time/iterations,train/action_std_07,train/action_std_09,rollout/is_fall_mean,train/action_std_00,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,rollout/timeouts,train/explained_variance,train/clip_range_vf,rollout/timeout_without_onset_fraction,train/loss,train/value_loss
-1.0,0.06909384578466415,0.07057061791419983,0.06903073191642761,0.06968517601490021,0.8840579710144928,0.06902454048395157,0.8840579710144928,0.06963745504617691,0.06845737248659134,824,0.06961694359779358,69,656.56396484375,0.0690024122595787,0.06799660623073578,0.07057061791419983,0.0,0.06892584264278412,0.06799660623073578,958.73,0.06976255029439926,0.07006175071001053,0.06880314648151398,0.06886576861143112,0.0699365884065628,4293,1.419072463768117,0.06912511587142944,0.06896677613258362,3538944,0.06859304010868073,0.06952647864818573,0.06914130598306656,0.0,0.06892944127321243,27,0.06938628852367401,0.07014130055904388,0.11594202898550725,0.0685049295425415,1e-06,1790,0.1,31.287886080145835,-0.0024581721803770052,0.032659149169921874,0.0013661296,0.06923144310712814,61,0.811881422996521,0.2,0.0,0.3591746985912323,0.06229187863355037
-1.0,0.06910420954227448,0.07057192921638489,0.06904403865337372,0.06971265375614166,0.9792746113989638,0.06904269754886627,0.9792746113989638,0.06966990232467651,0.06848941743373871,856,0.06963605433702469,193,678.7542114257812,0.06901639699935913,0.06800926476716995,0.07057192921638489,0.0,0.06895120441913605,0.06800926476716995,990.23,0.06976570934057236,0.07008800655603409,0.06880482286214828,0.06888878345489502,0.06995343416929245,4285,1.4101658031088091,0.06914376467466354,0.06897634267807007,3670016,0.06861857324838638,0.06953804939985275,0.06916727125644684,0.0,0.06895649433135986,28,0.06939038634300232,0.07016149163246155,0.02072538860103627,0.06851430237293243,1e-06,1800,0.1,31.28188150972128,-0.0025007358914081123,0.0307769775390625,0.0013810315,0.06924860924482346,189,0.8404057025909424,0.2,0.0,0.43308088183403015,0.0862462498495006
-1.0,0.06912381201982498,0.07058846950531006,0.06905906647443771,0.06973589211702347,0.9014084507042254,0.06906014680862427,0.9014084507042254,0.06968790292739868,0.06850806623697281,887,0.06964870542287827,71,665.77978515625,0.0690360814332962,0.06803706288337708,0.07058846950531006,0.0,0.06896457076072693,0.06803706288337708,962.25,0.06978302448987961,0.07011178880929947,0.06882084906101227,0.06891171634197235,0.06997613608837128,4285,1.4162535211267615,0.06915019452571869,0.06899460405111313,3801088,0.06863760203123093,0.06956388801336288,0.06919082999229431,0.0,0.0689772516489029,29,0.06940677016973495,0.07017942517995834,0.09859154929577464,0.06854462623596191,1e-06,1810,0.1,31.27532222867012,-0.00236057251559032,0.0317718505859375,0.0013694287,0.06926794350147247,64,0.8036432266235352,0.2,0.0,0.34281784296035767,0.07399387213372392
-1.0,0.06912405043840408,0.07059898972511292,0.06908050924539566,0.06975910812616348,0.9789473684210527,0.06908062100410461,0.9789473684210527,0.06970945745706558,0.06853469461202621,918,0.06967014819383621,190,685.0865478515625,0.06904690712690353,0.06805236637592316,0.07059898972511292,0.0,0.06898455321788788,0.06805236637592316,997.01,0.06980197876691818,0.0701279416680336,0.06884215027093887,0.06892615556716919,0.06999000161886215,4280,1.3922736842105272,0.06916555762290955,0.06901600956916809,3932160,0.06865512579679489,0.06957639008760452,0.06919973343610764,0.0,0.06899001449346542,30,0.06942468136548996,0.07018466293811798,0.021052631578947368,0.06856375187635422,1e-06,1820,0.1,31.26884189248085,-0.002395973582270017,0.029906463623046876,0.0013408603,0.06928422302007675,186,0.8510767221450806,0.2,0.0,0.38904160261154175,0.07232784668449313
-1.0,0.06914501637220383,0.07061794400215149,0.06910324841737747,0.06977137923240662,1.0,0.06911027431488037,1.0,0.06971763074398041,0.06855757534503937,949,0.06968656182289124,69,687.6715698242188,0.06907033920288086,0.06805983930826187,0.07061794400215149,0.0,0.0690118595957756,0.06805983930826187,997.01,0.06981853395700455,0.07014260441064835,0.06887245923280716,0.06894984096288681,0.07001958042383194,4278,1.4335942028985518,0.0691872164607048,0.06904491782188416,4063232,0.06867963820695877,0.06959505379199982,0.06921902298927307,0.0,0.06900614500045776,31,0.06945773959159851,0.07019148766994476,0.0,0.06857938319444656,1e-06,1830,0.1,31.262226663529873,-0.00205632883034923,0.024239349365234374,0.0012261206,0.06930460780858994,69,0.8146311640739441,0.2,0.0,0.36998990178108215,0.06589129630447133
-1.0,0.06913813948631287,0.0706443190574646,0.06910668313503265,0.06977982819080353,0.9639175257731959,0.06912139058113098,0.9639175257731959,0.06973723322153091,0.06857794523239136,981,0.06970430165529251,194,662.8739013671875,0.06908082962036133,0.06808608770370483,0.0706443190574646,0.0,0.06903211772441864,0.06808608770370483,961.29,0.06984551250934601,0.0701558068394661,0.06887554377317429,0.06896131485700607,0.07003579288721085,4273,1.4074536082474238,0.06920628249645233,0.06905721873044968,4194304,0.06870052963495255,0.06961772590875626,0.06923112273216248,0.0,0.06902100890874863,32,0.06947572529315948,0.0702010914683342,0.03608247422680412,0.06860613822937012,1e-06,1840,0.1,31.255684998631477,-0.002310906039474503,0.030756378173828126,0.0013114337,0.06931998580694199,187,0.7075060606002808,0.2,0.0,0.3383515179157257,0.033994672891276424
-1.0,0.06915362179279327,0.0706673264503479,0.0691278874874115,0.0697999820113182,0.918918918918919,0.06914984434843063,0.918918918918919,0.06975484639406204,0.06859138607978821,1012,0.06972213834524155,74,660.4894409179688,0.06909418106079102,0.06810689717531204,0.0706673264503479,0.0,0.06905573606491089,0.06810689717531204,957.75,0.06986647844314575,0.0701824352145195,0.06889425218105316,0.06898240000009537,0.07006017118692398,4271,1.4383513513513522,0.06923362612724304,0.06907068938016891,4325376,0.06873577833175659,0.06963500380516052,0.06924685835838318,0.0,0.06903865188360214,33,0.06949449330568314,0.07021721452474594,0.08108108108108109,0.06861655414104462,1e-06,1850,0.1,31.24947244822979,-0.0024784425505458784,0.03187484741210937,0.0013920148,0.06933993846178055,68,0.8336580395698547,0.2,0.0,0.41994327306747437,0.10717241213424131
-1.0,0.06916408985853195,0.07068154960870743,0.06913942843675613,0.06982181966304779,0.9842105263157894,0.06916508078575134,0.9842105263157894,0.06977511942386627,0.06860453635454178,1044,0.0697399452328682,190,684.4129028320312,0.06911490112543106,0.06810769438743591,0.07068154960870743,0.0,0.06907007843255997,0.06810769438743591,991.31,0.06987204402685165,0.07019543647766113,0.06890509277582169,0.06899608671665192,0.07006478309631348,4268,1.4149684210526325,0.06925484538078308,0.06909048557281494,4456448,0.06876681745052338,0.06965161114931107,0.06926736235618591,0.0,0.06905713677406311,34,0.06950966268777847,0.07023370265960693,0.015789473684210527,0.0686265379190445,1e-06,1860,0.1,31.243046943843364,-0.0023393305903482544,0.029141998291015624,0.0013067483,0.06935502588748932,187,0.8247233629226685,0.2,0.0,0.3651984930038452,0.06755666096432833
-1.0,0.06918355077505112,0.07071136683225632,0.06915370374917984,0.06983684748411179,0.8961038961038961,0.06919638812541962,0.8961038961038961,0.06979870051145554,0.06861525028944016,1075,0.06975694000720978,77,663.844970703125,0.06912388652563095,0.06812039762735367,0.07071136683225632,0.0,0.0690789446234703,0.06812039762735367,964.51,0.06988783180713654,0.07022318989038467,0.06892743706703186,0.06901681423187256,0.07008563727140427,4266,1.4083636363636376,0.06927566975355148,0.06910679489374161,4587520,0.06878995895385742,0.06967020034790039,0.06928630918264389,0.0,0.06906932592391968,35,0.06953397393226624,0.07025209069252014,0.1038961038961039,0.0686502680182457,1e-06,1870,0.1,31.236948056519033,-0.002361672312963492,0.029863739013671876,0.0013113854,0.06937406212091446,69,0.8383247256278992,0.2,0.0,0.340273380279541,0.049694256525253874
-1.0,0.0692014992237091,0.07072611898183823,0.06917492300271988,0.06986387819051743,0.967391304347826,0.06921029090881348,0.967391304347826,0.06982086598873138,0.06863562017679214,1106,0.0697689801454544,184,674.9955444335938,0.06914108991622925,0.0681304782629013,0.07072611898183823,0.0,0.06909399479627609,0.0681304782629013,981.27,0.06990813463926315,0.07024172693490982,0.06895244121551514,0.0690382719039917,0.07009147107601166,4265,1.3944130434782618,0.06929127871990204,0.06911956518888474,4718592,0.06879518926143646,0.06969403475522995,0.06930489838123322,0.0,0.06908828020095825,36,0.06953540444374084,0.07026176154613495,0.03260869565217391,0.06867027282714844,1e-06,1880,0.1,31.230580691993236,-0.002402608818556473,0.02566680908203125,0.0012757834,0.06939041614532471,178,0.8188475370407104,0.2,0.0,0.39809784293174744,0.07915990983892698
